scenario,log,iteration,planner,sig_reference,n_tracks_reference,collision_reference,min_clearance_reference,log_deviation_mean_reference,log_deviation_final_reference,ok_reference,sig_identity_equals_reference,n_tracks_identity,collision_identity,min_clearance_identity,log_deviation_mean_identity,log_deviation_final_identity,ok_identity
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,4,idm,b9d13c68ffccea3b41cb76a1bdcc2d794d768c8f,150,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1,True,150,0.0,8.960132550597558,58.683398064484734,58.68284640606385,1.0
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,17,idm,e13a866047855a65d1c9ab67db5d7a86ec7106dc,150,0.0,8.994951436877015,58.68348020246428,58.68284818565253,1,True,150,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,30,idm,acde2e5ed5abae276555905e970f44ffd13b5ef2,149,0.0,8.994407074393873,58.68353388395234,58.682937042212515,1,True,149,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,43,idm,384f7320f75b1ddbdd7aa63b1bd0787af322f067,152,0.0,9.007169595970172,58.68351232855636,58.68295488526293,1,True,152,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,57,idm,7f4e5bfa84371bc23ce06abc7393243c0b4af9c2,159,0.0,9.017457649728502,58.6835604524454,58.6830106613536,1,True,159,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,70,idm,ab15d6c886bb96c9317087d813d6d5d7dbb775e6,155,0.0,8.975665261201643,58.68281219887622,58.676685433746464,1,True,155,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,83,idm,3e319d904817053a9752f9455d9ca9181ba0cb43,154,0.0,8.974546710057146,58.667866189408784,58.5682545768505,1,True,154,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,96,idm,25039243308894c2717f57997404ad515b52520e,151,0.0,8.888750040817756,58.54183070399647,57.78295562739817,1,True,151,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,110,idm,60188f7b4c5044aafc2cabc83b9728575dbcbb7a,148,0.0,8.938263619588874,58.10066829943648,55.84181942748596,1,True,148,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,123,idm,7d1eba1a5bf7f11eaab6a9be217545883e6ffa72,150,0.0,8.871313287384876,57.24997314364585,53.10685429335127,1,True,150,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,136,idm,ab62787060774d972b013368220f7c7443803103,152,0.0,8.887857040869989,55.89231565108741,49.95114167401479,1,True,152,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,149,idm,5deb93e763dd005fce46bab9a4c60a3c2be6b21b,163,0.0,8.915964308005643,54.00381403432532,46.69879895232711,1,True,163,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,163,idm,7788e77bfc7641c7471e0485f7c011039b91e1be,178,0.0,8.871696373760047,51.35635748510015,42.963141383188756,1,True,178,0.0,8.871696373760047,51.35635748510015,42.963141383188756,1.0
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,176,idm,b577cf309fcd9d34059cc95dfd4ccd0dca918bee,190,0.0,9.404057457755211,48.36788097108653,39.06978595594508,1,True,190,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,189,idm,b47981758b07bb3a34fa7b84ded04df42f3bf975,202,0.0,8.315501161325837,45.080386656894994,35.10918355344827,1,True,202,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,202,idm,2254dcd1e42a70c03ad41e1aea2f00ae5dd4c1eb,213,0.0,6.723381806967057,41.61977082846214,31.027838811667497,1,True,213,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,216,idm,98aab356a54fc87c407f7081373b20c4aa3c9eb2,222,0.0,6.408891242835367,37.5341616158677,26.28319069889185,1,True,222,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,229,idm,ea62074d0894df66ccff89577241fb5a57e0442f,237,0.0,6.427757589448307,33.50498377123542,21.795759786916058,1,True,237,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,242,idm,eade236866a867b9d52b29e65733a3ed4d23c5b8,274,0.0,5.557521351094022,29.393574165826305,17.42538920479377,1,True,274,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,255,idm,faab02c955d31dd928e2f1461627ade45b014686,295,0.0,4.822196971916167,25.135130440067257,13.140700594233337,1,True,295,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,269,idm,a7fb4eaeae08b4e52edf46b7da3ca3c2651aafb9,298,0.0,4.6064421943948455,20.413665682886442,8.677806027336377,1,True,298,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,282,idm,6e9acbce2209b98ced016fbd9bdd5123c0497773,300,0.0,4.886819852627386,16.182761404820265,5.0209742394891075,1,True,300,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,295,idm,7728fb9133b13c279a4e0b59d08ec16c0055129c,321,0.0,5.730969119355301,12.19605666737268,2.4657011188989,1,True,321,,,,,
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,309,idm,a626b1b812de802cb5a3fd6282d56662df95f03d,331,0.0,6.88186000506342,8.857030031525529,4.583142733396878,1,True,331,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,4,idm,3deef39bc4669590d55399936c165331fb9488ce,37,0.0,0.09081655092156354,0.8135589384279791,1.243294431478496,1,True,37,0.0,0.09081655092156354,0.8135589384279791,1.243294431478496,1.0
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,17,idm,34d7c0a0236c9778ac819552695a10586ded516b,33,0.0,0.09571706334549102,0.8007190681003075,1.219515185348828,1,True,33,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,30,idm,bfe900e790464b59bc29383dd1c65e5d77cb4a14,32,0.0,0.10568826890139706,0.7976825465790744,1.2142826877985695,1,True,32,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,43,idm,41130ded651f3a04fba729dffc07fc3ecd3a1252,32,0.0,0.09947260793151821,0.7867566957421095,1.19320203282041,1,True,32,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,57,idm,cba3bcd2e23bd978e379e6616504e6f7b362f354,32,0.0,0.09963315698748473,0.7996349279439514,1.2181152253862404,1,True,32,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,70,idm,f21a74616dad59c4b39ef2a660292284aeff0daf,33,0.0,0.09118272583903933,0.811472422702792,1.2400018089335791,1,True,33,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,83,idm,e6aa92a7e447e5901916ff4e23882300eaa23cb7,30,0.0,0.09114543090757105,0.8023775520130259,1.2233279190357167,1,True,30,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,97,idm,5ea8fc18cd3d7396fe41efeda8a8259f0174b210,32,0.0,0.10677290442185329,0.808245329783158,1.2343215757079173,1,True,32,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,110,idm,51a442ac61cfb2b4551494b3edba0874077cb3be,33,0.0,0.09782575969495264,0.7773869312283759,1.1766567211142962,1,True,33,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,123,idm,f88d499dff43fe89da5a79c7aa8b751a87ee4154,32,0.0,0.09721199944224454,0.8135838929265093,1.2448457114376887,1,True,32,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,137,idm,1930932605947d0ed7c5b5fdcf873272c24a6396,33,0.0,0.0987151398719852,0.8002667033158315,1.2194272583405636,1,True,33,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,150,idm,4b57175cb2280805edb450d483380d37347d8f4d,35,0.0,0.0949160771903264,0.8126584740854891,1.2432507198178593,1,True,35,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,163,idm,5bf7938a18d3d49cf7f5b2e11a1e7d82c7469c69,36,0.0,0.10239195026209248,0.81117118637618,1.2401686118114879,1,True,36,0.0,0.10239195026209248,0.81117118637618,1.2401686118114879,1.0
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,176,idm,efa9cfc9bf78bf4718e6085d04bd4709fde60cc1,38,0.0,0.09473693126078665,0.7974747091199387,1.2144101997911123,1,True,38,,,,,
043c7c1fabd85c6e,2021.08.30.14.54.34_veh-40_00439_00835,190,idm,128a5926857430712bf347a4ccbe445b9a09f7ef,34,0.0,0.09687204543163451,0.8071251605951391,1.2327439718270237,1,True,34,,,,,
