seq,frame,sample_token
scene-0001,0,e93e98b63d3b40209056d129dc53ceee
scene-0001,1,14d5adfe50bb4445bc3aa5fe607691a8
scene-0001,2,ae4e0c3aa3f24c91aab599e8b54e9264
scene-0001,3,8de7ec06e1ac48c689c4d24d6cc64fd7
scene-0001,4,ba94cb79ebc74614bc2442185cb53c26
scene-0001,5,4dfab70f0b3f405bbf17f7c534d2dd91
scene-0001,6,140c678882194ae69e47136c81168b6d
scene-0001,7,b8002d4effb540c0b1bb70addf423f32
scene-0001,8,1e19d0a5189b46f4b62aa47508f2983e
scene-0001,9,b7f4a3b32d654cc2b69c1c260a5f34a0
scene-0001,10,917a76cd5f564387bcacc22537010630
scene-0001,11,c0cd427afacb4c2bb974461eec1dbd79
scene-0001,12,c36eb85918a84a788e236f5c9eef2b05
scene-0001,13,5d054297a2bf43638a1d37cbb2ea2365
scene-0001,14,fcd37961086342abaf431243971cbc9b
scene-0001,15,6ec48adcac3b407ca77de01d2c600bf4
scene-0001,16,7ff1f84a3c184434a366282773ca9572
scene-0001,17,9253e18a84404e25b1eb4433905ad579
scene-0001,18,0037a705a2e04559b1bba6c01beca1cf
scene-0001,19,2acfc4b99f084778bc484fa1eef1b79f
scene-0001,20,5c95b81d9d404c219b4393da7e020280
scene-0001,21,e5bb15af564245e99b4def0019b2b045
scene-0001,22,2d0f28162f864ad391ddeefb4aaf5b05
scene-0001,23,026155aa1c554e2f87914ec9ba80acae
scene-0001,24,ec82914025214e10b88b887d91adf6e7
scene-0001,25,52a22c3edca1431789ecfb9bb65a01ff
scene-0001,26,2531f1309b364aa58fef2bb536d6639b
scene-0001,27,e380df67fa3d49c7add4657b69605cdc
scene-0001,28,903d85bfc48b437ea725fe1c32bf3401
scene-0001,29,a62e12cf09b94b25a116bf70cf35e861
scene-0001,30,e84aea79175942398074b3f7f93f7fea
scene-0001,31,fb90e4c770134c2ebbfb7312f08e059e
scene-0001,32,847d19905eb24a379479a944ac3dc6d5
scene-0001,33,bdf525c2d1d841199bf52a46e91e5d5e
scene-0001,34,84b5d2fbf0c24b23893f4d037c306b3a
scene-0001,35,d73b8f7d5b574b2ea0f11de439db47d9
scene-0001,36,54fc3928a8bf4fa483ae707a07c9da60
scene-0001,37,1735e827e28040969f9172469b5f71a5
scene-0001,38,6518b3cced45431b8f8809c040fa0bd7
scene-0001,39,40e413c922184255a94f08d3c10037e0
scene-0002,0,9e28820bd2ba4eb480e1b9079f17c30c
scene-0002,1,3a9918ace7f3435ea3fe8a024cb3f181
scene-0002,2,513cdbd6707a4bf9b7699d549ff65e6f
scene-0002,3,828a847cc7174a7d9c8058734ca6dd6e
scene-0002,4,25fbd2d7377449aabfd2173c3a0a418f
scene-0002,5,244e2876a6744249814936b24b6b03ea
scene-0002,6,cc175ce81d9448c9b797dd81e1981460
scene-0002,7,7778e7e99779472cbb886e43dbc9a1ea
scene-0002,8,0bcb08a96d264c8ca9f2119c6b0dbeb2
scene-0002,9,a71b19643dbc488e97323303442d1a21
scene-0002,10,ecc288c7de6746348af26a0b368a945d
scene-0002,11,1f1a315571894e99a53928e74e5efcad
scene-0002,12,694bf9809dd34036b8e22b164be1f842
scene-0002,13,eac9992171c446dabf9d738c23a96cde
scene-0002,14,fa88c561566341479ad9bfcd557b096b
scene-0002,15,3623e20bb2e647a280cbb6d8a0b50874
scene-0002,16,7616699455044566a7bf555d476f5799
scene-0002,17,6b72920576b04269ab1b929599e8dc79
scene-0002,18,6b615c1f0be2421dbb6337ea8d5ee04e
scene-0002,19,bb4f4d9a36754178a62d5dfbd55998b9
scene-0002,20,d6515448fc1e4af98571ae1663b33efe
scene-0002,21,b143df90cc734dd780de782bdd261ab1
scene-0002,22,4dd38dcd4e8549d6a37938285f886117
scene-0002,23,5b426b1475f746f7904f2bf1db929852
scene-0002,24,40a982ccf9564c6ea574f1d75f8a7dc0
scene-0002,25,9d601e6912d04c77951c173f6012ee6f
scene-0002,26,a05edf71b4b14052bb477918d0997c88
scene-0002,27,cc0a7d86675248779f21b34ae891159c
scene-0002,28,5b89841bc40a436891223751749416b3
scene-0002,29,d8a6a5c6a7c444a9aba383526e5e1161
scene-0002,30,a0c1b7a7cec84f6f8e2955ac370637ad
scene-0002,31,a0197f52509f48feb1292b78c9188d1f
scene-0002,32,65282c155f014646868b295b7c6d6e52
scene-0002,33,d9b482ce80634d5a819aac651c1e31d3
scene-0002,34,b0c254b0902d464798cc86878317ec06
scene-0002,35,aadec83b3fa24b9c87651c3d2ac53035
scene-0002,36,36d4e4bf966e467bbee01dd6e63d5cce
scene-0002,37,8df9376254584396bdfaa521242b4757
scene-0002,38,b008a79c9b33493ea958075001f1d72a
scene-0002,39,d0dc3c18dfc64c779bc9e4ee6e9e2e3b
scene-0003,0,fd8420396768425eabec9bdddf7e64b6
scene-0003,1,6eb8a3ff0abf4f3a9380a48f2a0b87ef
scene-0003,2,b10f0cd792b64d16a1a5e8349b20504c
scene-0003,3,163b70e627854893b88575caf85a56ea
scene-0003,4,f56a544064a548a39a81f18cc8f633c5
scene-0003,5,f286cdaef36648cba3b6a24d2178dc8a
scene-0003,6,877f55a6d8324fefb5e0f5e0bac3d7c1
scene-0003,7,49f8376cd6b34f07b20ed6d5b5b42acd
scene-0003,8,cc50000970584ba5aaf14760b1ced696
scene-0003,9,21b99febc5c14f7385e787fe81e96670
scene-0003,10,cd908fdce67249f3a8a14b987f00592e
scene-0003,11,6b9af38cbf654171870cb14b4ae89fd6
scene-0003,12,a0edf6edd121431785948038c54e036e
scene-0003,13,9281ea172d9e43528e65fca81e2006d4
scene-0003,14,6180726fc8744ea2b129ebaad6f79cee
scene-0003,15,1ac0914c98b8488cb3521efeba354496
scene-0003,16,2f5de0aeca704127925cf8490ff5a21d
scene-0003,17,e4df3ac5874d49b7a3553035cd735902
scene-0003,18,dc878ebb5b1e43eb9442d9361854613e
scene-0003,19,e617edf72860495abd928aaf57dfa5fa
scene-0003,20,7c0aa537b98344bea85226ba8148ae98
scene-0003,21,02651ca22b08484294d473d9c26cd9af
scene-0003,22,37b3d16060b442d5b6175cbebefd09a7
scene-0003,23,9c75ddb5976343c3b7b33e8148d3eeb0
scene-0003,24,5e4e25f87ec84942ac459a55fe064330
scene-0003,25,c1ab33c3994041ceae32b0fe1b51e611
scene-0003,26,23dc1b528c734082b8b3bfd9757f0eb3
scene-0003,27,3064a6b9b3f04e5d8e51eefb4be8506a
scene-0003,28,1c8ec6c1dd614d3fb8b8849dc8756a9a
scene-0003,29,57a79294b87e4b55a7bcf58f7f8c6326
scene-0003,30,3be45164a35e465cbfbc3c20ef060718
scene-0003,31,7d1d71e3ce5745f7b49b9c2e5991a45b
scene-0003,32,77f6617716654cfb8e313f0cd69e04a6
scene-0003,33,08254b97198045d98009af51d144d147
scene-0003,34,1b5a6659994e466991ba17e9998fc05e
scene-0003,35,b214d0d42c404d4f925aa56ee9cac607
scene-0003,36,fd96de719c3a4ca3869bf96166095368
scene-0003,37,d41e43b5f85b4c8298180efc246d529e
scene-0003,38,df87d08ce3644995bc7ad5721a725899
scene-0003,39,20684b77c01641e7a5ada48308a0b1e1
scene-0004,0,556a590f3e1741fb87d7e4dc8ea687e4
scene-0004,1,2a05c724ab044e5ab0c9edad7aa4472c
scene-0004,2,0dc36bc3a7aa4b3bb221ca96d15c29ec
scene-0004,3,d7f97118ac7846abb2172790c5aaa95b
scene-0004,4,5560b4eacfe54b1fba1364ab9458c11d
scene-0004,5,4e5e68d8f6c14b9685cb129fce75da81
scene-0004,6,f900e1dbe5c1427f9818a984feb6309e
scene-0004,7,b4c467c0d1e44b9eb0f34b553aed0b88
scene-0004,8,96253fd0fbb140268a12a15c98cc8e34
scene-0004,9,6563266bf0644b3f970a0575c1e58a5e
scene-0004,10,a9d4af56bbfc41c78f10b252380c107c
scene-0004,11,25ec1486a7af4c66ad8360acf66c544a
scene-0004,12,3c4087cf9e8a43f1b8d7506a2998d3bd
scene-0004,13,a467997a0d97430aa3c55840868b97fe
scene-0004,14,22cf2c4cb66d47c9878b6f9aec065ab5
scene-0004,15,91212fa9ee054c10ba740448c0641a0e
scene-0004,16,93615fdfcffb43e18dbf1059e20ae727
scene-0004,17,5c39883457854ab5994a1f32ea05d76f
scene-0004,18,b759dba900ae4a9e95b2ca991184c7fc
scene-0004,19,df48fe7222474bc59c0e1fdfa6fdefc5
scene-0004,20,d59d3c7fb1a1445785274b1a08b5daa1
scene-0004,21,062df314784749bab11d0598c1e3dc8c
scene-0004,22,f1bdcd378c1449999d0f3fa42fbf3730
scene-0004,23,d8e4b034554d4fd4b6d50a2f3dfa001f
scene-0004,24,921f0a18faa347819d5696a600ae54b2
scene-0004,25,876b6b9b6d1e498b9cd5d7f2513431dd
scene-0004,26,b9a86512fa73430b9bae8549b1a211b7
