group,figure,cell,statistic,old,new,delta
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,nDG@20% of ego speed,0.0816202958107923,0.0518274222297834,-0.029792873581008905
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,nDG@20% of random,0.08261244085000886,0.08261244085000886,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,nDG@20% of ego speed,0.0263866757142319,-0.0031189424896909,-0.0295056182039228
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,nDG@20% of random,0.07066353527529641,0.07066353527529641,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,nDG@20% of ego speed,-0.0232005866033221,-0.01843725901409,0.004763327589232098
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,nDG@20% of random,0.017227636377870635,0.017227636377870635,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,nDG@20% of ego speed,-0.0120162476818635,-0.0031343782526303,0.0088818694292332
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,nDG@20% of random,0.09257932507570367,0.09257932507570367,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,nDG@20% of ego speed,0.0443934602117986,0.037671114291312,-0.006722345920486601
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,nDG@20% of random,0.05467464560519161,0.05467464560519161,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,nDG@20% of ego speed,-0.0142379103479729,0.0056835479831381,0.019921458331111
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,nDG@20% of random,0.06947426865276217,0.06947426865276217,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,ego speed above random,False,False,
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows where ego speed beats random,3,3,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,which rows,KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%,KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%,
