dataset,pair,geometry,system,cell,n_frames,affected_off,affected_on,affected_delta,harmed_off,harmed_on,harmed_delta,rho_off,rho_on,rho_delta,all_full_off,all_full_on,all_full_delta,oracle20_off,oracle20_on,oracle20_delta,within_tolerance
nuScenes,YOLOv8s 320->640,mono,q_brake,nuScenes mono Y8 320->640,3376,486,462,-24,0.4547325102880658,0.47186147186147187,0.017128961573406043,0.5354762833963242,0.48793557509515134,-0.04754070830117291,0.1299447335931296,0.14128493431978043,0.011340200726650818,0.2797375654858041,0.2759124193133201,-0.003825146172483973,True
nuScenes,YOLOv8s 320->640,oracle,q_brake,nuScenes oracle Y8 320->640,3376,295,285,-10,0.4847457627118644,0.48771929824561405,0.002973535533749627,0.6021266017262223,0.4990709243854739,-0.10305567734074844,0.09958698093321115,0.1358519589728693,0.036264978039658155,0.25029816359998336,0.2711999873559148,0.020901823755931415,False
KITTI,RT-DETR-l 320->640,mono,q_brake,KITTI mono RT-DETR 320->640,8008,3567,3497,-70,0.455564900476591,0.4435230197311982,-0.012041880745392808,0.7960162625078837,0.7343502904647872,-0.06166597204309654,0.08234554788845154,0.10595313571378405,0.02360758782533251,0.4017878295278262,0.39697994108687723,-0.004807888440948982,False
KITTI,RT-DETR-l 320->640,mono,q_traj,KITTI mono RT-DETR 320->640,8008,1166,1016,-150,0.40051457975986277,0.41929133858267714,0.018776758822814377,0.31650528235835657,0.5531535721706692,0.23664828981231262,0.12828750421063526,0.05641949758952015,-0.07186800662111512,0.18769348306492267,0.1262614940519775,-0.061431989012945165,False
KITTI,RT-DETR-l 480->640,mono,q_brake,KITTI mono RT-DETR 480->640,8008,3091,3050,-41,0.44548689744419284,0.4340983606557377,-0.01138853678845514,0.8048020416752143,0.7879994203346671,-0.01680262134054722,0.05941604260124558,0.06482847271623551,0.00541243011498993,0.30391028423323196,0.3052398583846397,0.0013295741514077197,True
KITTI,RT-DETR-l 480->640,mono,q_traj,KITTI mono RT-DETR 480->640,8008,730,660,-70,0.4136986301369863,0.45606060606060606,0.04236197592361973,0.5480288170458063,0.743844060969416,0.19581524392360972,0.03706473372294283,0.01659030312677924,-0.020474430596163593,0.08200685158880944,0.06476641997669473,-0.017240431612114707,False
KITTI,YOLOv8s 320->640,mono,q_brake,KITTI mono Y8 320->640,8008,3026,2958,-68,0.4071381361533377,0.39215686274509803,-0.014981273408239681,0.19152415505145867,0.18263024495525143,-0.008893910096207241,0.5016626047116192,0.5031148561575396,0.0014522514459204272,0.6199579483173769,0.6149697885306517,-0.004988159786725288,True
KITTI,YOLOv8s 320->640,mono,q_traj,KITTI mono Y8 320->640,8008,1355,1206,-149,0.35202952029520296,0.3598673300165838,0.007837809721380817,0.06219486441839134,0.09103131316791696,0.028836448749525623,0.424294266112015,0.35483811536184756,-0.06945615075016742,0.4524332934569339,0.39037441058450534,-0.062058882872428556,True
KITTI,YOLOv8s 320->640,oracle,q_brake,KITTI oracle Y8 320->640,8008,1846,1810,-36,0.3412784398699892,0.318232044198895,-0.023046395671094178,0.09109588298414505,0.08358518456490033,-0.0075106984192447185,0.6752883148104513,0.6791300210196239,0.0038417062091726795,0.742969805250284,0.7410727211968781,-0.0018970840534059397,True
KITTI,YOLOv8s 320->640,oracle,q_traj,KITTI oracle Y8 320->640,8008,779,716,-63,0.09499358151476252,0.06284916201117319,-0.03214441950358933,0.004000053212079966,0.0038200502004225477,-0.00018000301165741871,0.6896389125273614,0.6888993206747741,-0.000739591852587318,0.692408583706688,0.6915410421715207,-0.0008675415351673266,True
KITTI,YOLOv8s 384->640,mono,q_brake,KITTI mono Y8 384->640,8008,2646,2634,-12,0.4459561602418745,0.43242217160212604,-0.013533988639748473,0.5512850317471811,0.5078711097190947,-0.04341392202808647,0.16267845116400656,0.17824962817631504,0.01557117701230848,0.362542956383722,0.36220110563833935,-0.0003418507453826769,True
KITTI,YOLOv8s 384->640,mono,q_traj,KITTI mono Y8 384->640,8008,920,836,-84,0.4543478260869565,0.4688995215311005,0.014551695444143975,0.21065344354519142,0.3411732176249595,0.13051977407976809,0.17819163559951962,0.11943779647523427,-0.05875383912428535,0.2257457565911603,0.18128861738842297,-0.044457139202737334,False
KITTI,YOLOv8s 512->640,mono,q_brake,KITTI mono Y8 512->640,8008,2325,2284,-41,0.4572043010752688,0.45621716287215414,-0.0009871382031146902,0.6794995286298516,0.6799785476158781,0.0004790189860264249,0.07984635537649912,0.07855333902977006,-0.0012930163467290562,0.24913022759422127,0.2454627289656931,-0.003667498628528165,True
KITTI,YOLOv8s 512->640,mono,q_traj,KITTI mono Y8 512->640,8008,624,590,-34,0.40705128205128205,0.4694915254237288,0.062440243372446746,0.43522822619035645,1.0042868104792404,0.569058584288884,0.04721799483964695,-0.0002628676814789483,-0.0474808625211259,0.08360544387893236,0.06132010798049908,-0.022285335898433276,False
