registry_version,track,geometry,system,target,signal,budget_level,unit,budget_per_frame,overhead,overhead_provenance,n_frames,k_zero_overhead,feasible,all_cheap_loss,O_0_share,G_rank_zero_overhead_equals_scorer,note,share_after_overhead,k_after_overhead,stream_rate_realised,O_o_share,G_rank_share,G_stream_share,gap_share,term_overhead_share,term_ranking_share,term_causal_share,term_causal_sign,tau,tie_p,tie_draws,gap_share_lo,gap_share_hi,term_overhead_share_lo,term_overhead_share_hi,term_ranking_share_lo,term_ranking_share_hi,term_causal_share_lo,term_causal_share_hi
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,0.2,ms,16.5801677512718,3.925717499981829,measured on nuScenes,955,191,False,246.6178238736764,0.191907477467463,True,infeasible: overhead 3.9257 ms exceeds the headroom 3.8703 ms,,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,gate_ridge,0.5,ms,22.38554650102742,3.925717499981829,measured on nuScenes,955,477,True,246.6178238736764,0.191907477467463,True,,0.2971337787316417,283.0,0.20523560209424083,0.191907477467463,0.09909873474494903,0.09808520398982555,0.09382227347763744,0.0,0.09280874272251398,0.0010135307551234673,positive,0.066357169,0.9770832733241264,1.0,0.038767885629974665,0.14220848432157562,0.0,0.0,0.026526864847121696,0.18352330600819292,-0.09044360957232861,0.044620428175418066
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,0.2,ms,16.5801677512718,21.376582500010954,measured on nuScenes,955,191,False,246.6178238736764,0.191907477467463,True,infeasible: overhead 21.3766 ms exceeds the headroom 3.8703 ms,,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,gate_gbm,0.5,ms,22.38554650102742,21.376582500010954,measured on nuScenes,955,477,False,246.6178238736764,0.191907477467463,True,infeasible: overhead 21.3766 ms exceeds the headroom 9.6756 ms,,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_reg,0.2,ms,16.5801677512718,0.6491920000541995,measured on nuScenes,955,191,True,246.6178238736764,0.191907477467463,True,,0.16645221467687044,158.0,0.09633507853403141,0.191907477467463,0.0366875694104904,0.0039720758062258,0.1879354016612372,0.0,0.1552199080569726,0.0327154936042646,positive,0.238707411,0.8636085344896003,32.0,0.09524258617550654,0.29712128725393117,0.0,0.0,0.09160310125975896,0.2329681825679224,2.8999073591854515e-18,0.0881863076189998
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_reg,0.5,ms,22.38554650102742,0.6491920000541995,measured on nuScenes,955,477,True,246.6178238736764,0.191907477467463,True,,0.4664522146768704,445.0,0.4178010471204188,0.191907477467463,0.06460453831363462,0.04684403988323114,0.14506343758423185,0.0,0.1273029391538284,0.017760498430403483,positive,0.045458757,0.6636085344895832,32.0,0.08096906566814176,0.2440015132924895,0.0,0.0,0.057631375942995,0.24038849546563396,-0.005254392133100831,0.049978709148395924
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_clf,0.2,ms,16.5801677512718,0.6491920000541995,measured on nuScenes,955,191,True,246.6178238736764,0.191907477467463,True,,0.16645221467687044,158.0,0.1162303664921466,0.191907477467463,0.004053392969187365,0.008925087973133402,0.1829823894943296,0.0,0.18785408449827565,-0.004871695003946036,negative,0.01316684,0.8636085344896003,32.0,0.07984367470591464,0.28703388163204563,0.0,0.0,0.0839293744837498,0.2932217731192171,-0.016606699412934776,2.853639778566503e-18
2026-09-23.1,nuScenes,oracle,brake,J,R1_mlp_clf,0.5,ms,22.38554650102742,0.6491920000541995,measured on nuScenes,955,477,True,246.6178238736764,0.191907477467463,True,,0.4664522146768704,445.0,0.4083769633507853,0.191907477467463,0.06927825016072299,0.056400680036397755,0.13550679743106525,0.0,0.12262922730674,0.012877570124325239,positive,3.5e-08,0.8318042672447916,32.0,0.06850757272948567,0.20794697375428833,0.0,0.0,0.046766387793910735,0.2212760598978524,-0.05284072378782703,0.05808655531808292
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_reg,0.2,ms,16.5801677512718,15.909292499998173,measured on nuScenes,955,191,False,246.6178238736764,0.191907477467463,True,infeasible: overhead 15.9093 ms exceeds the headroom 3.8703 ms,,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,nuScenes,oracle,brake,J,R1_gbm_reg,0.5,ms,22.38554650102742,15.909292499998173,measured on nuScenes,955,477,False,246.6178238736764,0.191907477467463,True,infeasible: overhead 15.9093 ms exceeds the headroom 9.6756 ms,,,,,,,,,,,,,,,,,,,,,,
