registry_version,section,track,geometry,system,target,objective,pool,quota,e_dec_defined_test,n_signals,optimal_dec,optimal_perc,no_shared_optimum,argmax_dec,argmax_perc,kendall_tau,n_val,n_affected_val_dec,n_affected_val_perc,included,drop_reason,selected_dec,selected_perc,same_winner,gain_test_dec_selected,gain_test_perc_selected,diff_gain,all_cheap_loss,diff_share,diff_share_lo,diff_share_hi,diff_gain_lo,diff_gain_hi,note_gain_interval,n_cells,n_same_winner,cells
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P1,0.1,True,4.0,criticality_cheap,criticality_cheap,False,criticality_cheap,criticality_cheap,0.0,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P1,0.2,True,4.0,criticality_cheap,uncertainty,True,criticality_cheap,uncertainty,-0.3333333333333334,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P1,0.3,True,4.0,criticality_cheap,uncertainty,True,criticality_cheap,uncertainty,0.0,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P1,0.5,True,4.0,trivial_ego_speed,uncertainty,True,trivial_ego_speed,uncertainty,-0.3333333333333334,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P2,0.1,True,10.0,criticality_cheap,criticality_cheap,False,criticality_cheap,criticality_cheap,-0.3146266024828463,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P2,0.2,True,10.0,criticality_cheap,uncertainty,True,criticality_cheap,uncertainty,0.022222222222222223,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P2,0.3,True,10.0,gate_ridge,uncertainty,True,gate_ridge,uncertainty,0.022222222222222223,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,P2,0.5,True,10.0,trivial_ego_speed,uncertainty,True,trivial_ego_speed,uncertainty,-0.37777777777777777,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,old,0.1,True,16.0,dE_E6_risk_weighted,dE_exact|dE_E1_fn_only,True,dE_E6_risk_weighted,dE_exact,0.23628902321631962,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,old,0.2,True,16.0,dE_E6_risk_weighted,dE_exact|dE_E1_fn_only,True,dE_E6_risk_weighted,dE_exact,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,old,0.3,True,16.0,dE_E6_risk_weighted,dE_exact|dE_E1_fn_only,True,dE_E6_risk_weighted,dE_exact,0.3277310924369748,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_dE,old,0.5,True,16.0,trivial_ego_speed,dE_exact|dE_E1_fn_only,True,trivial_ego_speed,dE_exact,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P1,0.1,True,4.0,criticality_cheap,criticality_cheap,False,criticality_cheap,criticality_cheap,0.0,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P1,0.2,True,4.0,criticality_cheap,criticality_cheap,False,criticality_cheap,criticality_cheap,0.0,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P1,0.3,True,4.0,criticality_cheap,criticality_cheap,False,criticality_cheap,criticality_cheap,0.3333333333333334,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P1,0.5,True,4.0,trivial_ego_speed,uncertainty,True,trivial_ego_speed,uncertainty,-0.3333333333333334,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P2,0.1,True,10.0,criticality_cheap,criticality_cheap,False,criticality_cheap,criticality_cheap,-0.40451991747794525,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P2,0.2,True,10.0,criticality_cheap,R1_gbm_clf,True,criticality_cheap,R1_gbm_clf,0.4222222222222222,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P2,0.3,True,10.0,gate_ridge,R1_gbm_reg,True,gate_ridge,R1_gbm_reg,0.28888888888888886,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,P2,0.5,True,10.0,trivial_ego_speed,uncertainty,True,trivial_ego_speed,uncertainty,0.022222222222222223,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,old,0.1,True,16.0,dE_E6_risk_weighted,dE_E6_risk_weighted,False,dE_E6_risk_weighted,dE_E6_risk_weighted,0.4050668969422622,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,old,0.2,True,16.0,dE_E6_risk_weighted,dE_E6_risk_weighted,False,dE_E6_risk_weighted,dE_E6_risk_weighted,0.5798319327731093,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,old,0.3,True,16.0,dE_E6_risk_weighted,dE_E6_risk_weighted,False,dE_E6_risk_weighted,dE_E6_risk_weighted,0.5126050420168068,,,,,,,,,,,,,,,,,,,,,
2026-09-23.1,test_disagreement,nuScenes,oracle,brake,J,E_perc_risk,old,0.5,True,16.0,trivial_ego_speed,dE_E6_risk_weighted,True,trivial_ego_speed,dE_E6_risk_weighted,0.24369747899159666,,,,,,,,,,,,,,,,,,,,,
