group,track,geometry,trained_for,evaluated_on,diagonal,signal,quota,coverage,n_test_frames,n_test_units,gain,gain_random,delta_vs_random,gain_share_all_cheap,ndg,official_ndg,matches_3dp,undefined_reason,ndg_diag,transfer_regret,delta_lo_all_draws,delta_hi_all_draws,beats_random_all_draws,delta_lo_filtered,beats_random_filtered,draws_dropped_by_filter,delta_share_lo_all_draws,n_entries,median_transfer_regret,off_diag_beating_random_all_draws,off_diag_beating_random_filtered,diag_beating_random_all_draws,n_diag_entries
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.1,1.0,3536.0,6.0,77.4922358151288,87.77748347507921,-10.285247659950414,0.009803670234943135,0.03863112561575271,0.0386311256157527,True,,0.03863112561575271,0.0,-185.9110771053863,307.2105414359879,False,-185.9110771053863,False,2.0,-0.02351991620570155,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.2,1.0,3536.0,6.0,344.3691837147124,175.30700795729098,169.06217575742141,0.043566711951244,0.15592321410855306,0.155923214108553,True,,0.15592321410855306,0.0,-232.97148427260643,349.8816721275656,False,-232.99147953852292,False,4.0,-0.02947360573519514,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.3,1.0,3536.0,6.0,528.5338295660732,263.08449143237016,265.44933813370307,0.06686568426595614,0.2393091407950029,0.2393091407950029,True,,0.2393091407950029,0.0,-146.2778860065714,456.0022580559121,False,-147.03634315838974,False,4.0,-0.018505855999486568,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_ridge,0.5,1.0,3536.0,6.0,448.1877510844982,438.39149938966113,9.796251694837053,0.05670096970044295,0.20293010518348978,0.2029301051834897,True,,0.20293010518348978,0.0,-346.41743482896004,417.15267641998116,False,-346.41743482896004,False,4.0,-0.043825839569272,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.1,1.0,3536.0,6.0,113.03116735857793,87.77748347507921,25.253683883498724,0.014299758929369133,0.05634785445010887,0.0563478544501088,True,,0.05634785445010887,0.0,-123.52243812151796,395.41968053280186,False,-123.52243812151796,False,2.0,-0.01562702685270971,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.2,1.0,3536.0,6.0,349.5383324553413,175.30700795729098,174.2313244980503,0.044220669462153805,0.15826369729915046,0.1582636972991504,True,,0.15826369729915046,0.0,-191.10082465945456,674.3612648995334,False,-191.79389915740376,False,4.0,-0.024176479706386544,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.3,1.0,3536.0,6.0,609.8910889613381,263.08449143237016,346.806597528968,0.07715832499234734,0.2761460181228015,0.2761460181228015,True,,0.2761460181228015,0.0,-121.15648154884273,782.6166995277528,False,-121.15648154884273,False,4.0,-0.015327705794480857,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,gate_gbm,0.5,1.0,3536.0,6.0,805.0815737453796,438.39149938966113,366.6900743557185,0.10185219432896855,0.36452421567995447,0.3645242156799544,True,,0.36452421567995447,0.0,32.58559111747602,897.6372381560316,True,32.693368049620005,True,4.0,0.004122456738615087,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.1,1.0,3536.0,6.0,170.84733324033866,87.77748347507921,83.06984976525945,0.02161417718806769,0.08517014281623507,0.085170142816235,True,,0.08517014281623507,0.0,-32.63321281773502,358.90790005842564,False,-32.63321281773502,False,2.0,-0.004128481438257001,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.2,1.0,3536.0,6.0,393.5510114089413,175.30700795729098,218.24400345165031,0.04978878588154453,0.17819172422056748,0.1781917242205674,True,,0.17819172422056748,0.0,21.275955009597283,594.8423830456816,True,21.275955009597283,True,4.0,0.0026916560691988274,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.3,1.0,3536.0,6.0,593.1314642143881,263.08449143237016,330.0469727820179,0.07503803729446144,0.268557608121625,0.268557608121625,True,,0.268557608121625,0.0,118.87289440749974,644.045184955007,True,118.90818211964267,True,4.0,0.015038805428515259,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.5,1.0,3536.0,6.0,802.0469238394716,438.39149938966113,363.6554244498104,0.10146827577708938,0.36315018922985437,0.3631501892298543,True,,0.36315018922985437,0.0,56.129560573475544,686.0544792240719,True,59.878010025825425,True,4.0,0.0071010430465240195,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.1,1.0,3536.0,6.0,190.7931273599754,87.77748347507921,103.01564388489618,0.024137552414838614,0.09511344190983533,0.0951134419098353,True,,0.09511344190983533,0.0,-17.232441920983867,223.93643554730804,False,-17.232441920983867,False,2.0,-0.0021801045764013624,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.2,1.0,3536.0,6.0,380.23725971930537,175.30700795729098,204.9302517620144,0.04810444125292271,0.17216353397166592,0.1721635339716659,True,,0.17216353397166592,0.0,24.61134497419533,536.9001237274339,True,24.641362345050013,True,4.0,0.0031136217406483803,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.3,1.0,3536.0,6.0,592.3426995552678,263.08449143237016,329.25820812289766,0.07493824937984456,0.26820047186599777,0.2682004718659977,True,,0.26820047186599777,0.0,57.2764174257859,716.1972935938506,True,57.309884171534364,True,4.0,0.007246133793596523,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.5,1.0,3536.0,6.0,830.8542575764587,438.39149938966113,392.4627581867976,0.10511273895891227,0.37619355164026647,0.3761935516402664,True,,0.37619355164026647,0.0,38.59415178896174,820.2082218497699,True,38.59415178896177,True,4.0,0.004882609633808675,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.1,1.0,3536.0,6.0,182.31452401369688,87.77748347507921,94.53704053861767,0.02306491035740591,0.0908867218072224,0.0908867218072224,True,,0.0908867218072224,0.0,-7.184596116410045,496.12328412868044,False,-6.764507986558136,False,2.0,-0.0009089350740191976,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.2,1.0,3536.0,6.0,444.4685122680024,175.30700795729098,269.16150431071145,0.056230442679272574,0.20124611109304952,0.2012461110930495,True,,0.20124611109304952,0.0,7.215850846106886,864.313902681735,True,7.215850846106875,True,4.0,0.0009128891612900967,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.3,1.0,3536.0,6.0,765.3054303460532,263.08449143237016,502.220938913683,0.09682004899204595,0.3465144040679966,0.3465144040679966,True,,0.3465144040679966,0.0,16.379240759087374,991.0365887418924,True,15.988498094506014,True,4.0,0.002072164693814176,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.5,1.0,3536.0,6.0,961.5307429637614,438.39149938966113,523.1392435741003,0.12164483610029286,0.43536115017567256,0.4353611501756725,True,,0.43536115017567256,0.0,20.135851955148183,988.0885540713017,True,20.89502413519845,True,4.0,0.002547419756204381,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.1,1.0,3536.0,6.0,326.1953931997287,87.77748347507921,238.4179097246495,0.04126751581560929,0.16261364867625122,0.1626136486762512,True,,0.16261364867625122,0.0,32.47899288683968,542.1290580380885,True,32.39672920893796,True,2.0,0.00410897082109323,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.2,1.0,3536.0,6.0,474.75498974845397,175.30700795729098,299.447981791163,0.06006203476941086,0.21495919906984853,0.2149591990698485,True,,0.21495919906984853,0.0,23.46303799087959,900.9977526129917,True,23.463037990879606,True,4.0,0.002968347535116785,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.3,1.0,3536.0,6.0,767.0270143982342,263.08449143237016,503.94252296586404,0.09703784942265406,0.3472939015708756,0.3472939015708756,True,,0.3472939015708756,0.0,74.29881376694061,960.0431154702384,True,74.37588755319467,True,4.0,0.009399665158149086,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.5,1.0,3536.0,6.0,887.4977513910193,438.39149938966113,449.10625200135814,0.11227880054523418,0.40184054919862233,0.4018405491986223,True,,0.40184054919862233,0.0,-80.2307937467882,895.0493090540052,False,-80.2307937467882,False,4.0,-0.010150129704061138,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_ridge,0.1,1.0,3536.0,6.0,-0.1064117321922597,-11.33348138528256,11.2270696530903,-2.2671411220245285e-05,-0.0004297027257454224,,,,0.057114494101975714,-0.057544196827721134,-20.747945916321765,100.99586044221364,False,-20.747945916321765,False,9.0,-0.004420426245805958,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_ridge,0.2,1.0,3536.0,6.0,14.210256399899517,-22.634947286425906,36.84520368632542,0.003027547430627,0.0573826380116225,,,,0.2978137617129643,-0.24043112370134181,-41.73835241874449,212.29290649891607,False,-42.00508651419241,False,9.0,-0.008892509611921404,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_ridge,0.3,1.0,3536.0,6.0,30.94265007989374,-33.96842867170846,64.91107875160219,0.006592445492175289,0.1249499543630613,,,,0.2233739652056846,-0.09842401084262328,-63.742480100310125,273.331219608677,False,-64.03122027951794,False,9.0,-0.013580570006523683,,,,,,
