group,file,item,statistic,old,new,delta,note
0 registered reading,,Q1,holds,True,True,0.0,
0 registered reading,,Q1,rows,40,40,0.0,
0 registered reading,,Q1,min_harmed,0.3832923832923833,0.3410852713178294,-0.0422071119745539,
0 registered reading,,Q1,min_rho,0.2081050218078653,0.3384817201866347,0.1303766983787694,
0 registered reading,,Q2,holds,True,True,0.0,
0 registered reading,,Q2,min_sign_disagreement,0.2923976608187134,0.25,-0.04239766081871338,
0 registered reading,,Q2,max_spearman,0.1010680843072239,0.1059203278807516,0.004852243573527704,
0 registered reading,,Q3,holds,True,False,-1.0,REVERSES
0 registered reading,,Q4,holds,True,True,0.0,
0 registered reading,,Q5,holds,True,True,0.0,
0 registered reading,,Q5,B_minus_C_reading,inconclusive,inconclusive,,
0 registered reading,,Q6,holds,True,True,0.0,
0 registered reading,,Q6,uniform_stronger_cells,11,11,0.0,
0 registered reading,,Q6,cells,14,14,0.0,
0 registered reading,,Q7,holds,True,False,-1.0,REVERSES
0 registered reading,,Q7,max_rho,0.1915241550514586,0.3474308489839061,0.1559066939324475,
0 registered reading,,Q7,max_rho_S4_reported_only,0.3150406572486852,0.693936989785071,0.3788963325363858,
0 registered reading,,Q8,holds,True,True,0.0,
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,affected,295,141,-154.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,harm_rate,0.4847457627118644,0.3546099290780142,-0.13013583363385023,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,rho,0.6021266017262225,0.4181636073595283,-0.18396299436669417,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,all_full_reduction,0.0995869809332111,0.1400599661990445,0.040472985265833414,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,oracle20_reduction,0.2502981635999833,0.2407205323878569,-0.009577631212126403,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,harm_rate_lo,0.3698137627708801,0.2222222222222222,-0.14759154054865786,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,harm_rate_hi,0.5962655216169673,0.4891640786749482,-0.10710144294201912,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,rho_lo,0.2996245808908872,0.1895971635777323,-0.11002741731315493,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S0 | all,rho_hi,1.07493236956548,0.7619166867316243,-0.3130156828338557,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,affected,224,109,-115.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,harm_rate,0.4375,0.3853211009174312,-0.052178899082568786,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,rho,0.5854868983160186,0.5397001036803504,-0.04578679463566826,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,all_full_reduction,0.0818130400772433,0.0852117584806564,0.0033987184034131035,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,oracle20_reduction,0.1973714214215997,0.1851222630332339,-0.012249158388365794,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,harm_rate_lo,0.3488882211538461,0.273535406475658,-0.07535281467818811,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,harm_rate_hi,0.5255179888856951,0.5048645886561063,-0.020653400229588836,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,rho_lo,0.2935530509749819,0.252052018256494,-0.04150103271848793,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S1 | all,rho_hi,1.029563070216519,0.9789398712190124,-0.05062319899750667,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,affected,249,116,-133.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,harm_rate,0.4578313253012048,0.3448275862068966,-0.11300373909430822,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,rho,0.5114919999439795,0.3871023570717967,-0.12438964287218285,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,all_full_reduction,0.1049443827039465,0.1268130970370263,0.02186871433307981,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,oracle20_reduction,0.2148263338408216,0.2069074640769693,-0.007918869763852282,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,harm_rate_lo,0.3606435815504307,0.2221955128205128,-0.13844806872991788,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,harm_rate_hi,0.545853199358346,0.455885294117647,-0.08996790524069898,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,rho_lo,0.2549380312792336,0.1645571792879382,-0.09038085199129539,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S2 | all,rho_hi,0.8583068996628903,0.7080602130519424,-0.15024668661094787,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,affected,271,129,-142.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,harm_rate,0.4575645756457565,0.3410852713178294,-0.11647930432792708,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,rho,0.5295486058671101,0.4082854000890177,-0.12126320577809235,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,all_full_reduction,0.1095016708675155,0.1326051144220472,0.0231034435545317,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,oracle20_reduction,0.2327587339162703,0.224103164670935,-0.00865556924533531,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,harm_rate_lo,0.3720181654855774,0.234867967132911,-0.13715019835266642,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,harm_rate_hi,0.5461563876651981,0.4565523576240048,-0.08960403004119333,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,rho_lo,0.299332125759678,0.1828801736337215,-0.11645195212595649,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S3 | all,rho_hi,0.9204473981876948,0.7326516596193594,-0.18779573856833542,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,affected,268,176,-92.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,harm_rate,0.4626865671641791,0.4147727272727273,-0.047913839891451815,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,rho,0.5383480113587714,0.4409187924457811,-0.09742921891299033,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,all_full_reduction,0.1056971829930538,0.1817012696537895,0.07600408666073569,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,oracle20_reduction,0.2289542460418087,0.3249997803515305,0.09604553430972179,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,harm_rate_lo,0.370618842364532,0.2716028942850135,-0.09901594807951852,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,harm_rate_hi,0.542875830564784,0.5511639246947082,0.008288094129924262,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,rho_lo,0.2778855371852475,0.2052642736709358,-0.0726212635143117,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_brake | S4 | all,rho_hi,0.9291714763528192,0.8580395197893695,-0.07113195656344962,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,affected,1226,1179,-47.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes oracle Y8 320->640 q_plan | S0 | all,harm_rate,0.5138662316476346,0.5089058524173028,-0.004960379230331768,outside Task 22 tolerance
