setting,system,side,term,n_inputs,n_side,total,term_sum,share,n_side_term_nonzero,core_run,planner_b_run
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,harm,shortfall,8008,1040,3222.742637774996,778.7775516160641,0.2416505564197759,573,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,harm,collision,8008,1040,3222.742637774996,24.0,0.007447073098139095,4,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,harm,excess,8008,1040,3222.742637774996,2396.2750861589325,0.743551488744797,1030,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,harm,jerk,8008,1040,3222.742637774996,23.69,0.007350881737288132,1040,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,benefit,shortfall,8008,1314,4598.983848450727,2004.8717248032433,0.4359379790991504,730,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,benefit,collision,8008,1314,4598.983848450727,42.0,0.009132452164220725,7,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,benefit,excess,8008,1314,4598.983848450727,2536.632123647484,0.5515636077961019,1258,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_cheap_320tort_full_640__mono,brake,benefit,jerk,8008,1314,4598.983848450727,15.48,0.003365960940527067,1313,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,harm,shortfall,8008,821,2276.333100412342,536.9299553030536,0.23587494958703206,465,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,harm,collision,8008,821,2276.333100412342,6.0,0.0026358181054051983,1,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,harm,excess,8008,821,2276.333100412342,1732.1331451092885,0.760931317475252,813,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,harm,jerk,8008,821,2276.333100412342,1.27,0.0005579148323107669,821,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,benefit,shortfall,8008,1126,3160.082666790391,403.6761920719734,0.12774228861613174,547,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,benefit,collision,8008,1126,3160.082666790391,24.0,0.007594738027652972,4,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,benefit,excess,8008,1126,3160.082666790391,2717.966474718418,0.8600934726429108,1119,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__RT-DETR-l__rt_mid_480tort_full_640__mono,brake,benefit,jerk,8008,1126,3160.082666790391,14.440000000000001,0.0045695007133045385,1125,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,harm,shortfall,8008,710,2000.7260696034687,370.3935493625842,0.18512956620592938,466,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,harm,collision,8008,710,2000.7260696034687,12.0,0.0059978225816682265,2,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,harm,excess,8008,710,2000.7260696034687,1585.9625202408843,0.7926934847983522,703,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,harm,jerk,8008,710,2000.7260696034687,32.37,0.01617912641405004,710,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,benefit,shortfall,8008,1365,11919.386645679606,10967.7216891954,0.9201582275352101,1125,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,benefit,collision,8008,1365,11919.386645679606,60.0,0.005033816066512791,10,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,benefit,excess,8008,1365,11919.386645679606,906.3449564842061,0.07603956339588389,1078,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__mono,brake,benefit,jerk,8008,1365,11919.386645679606,-14.68,-0.001231606997606796,1364,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,harm,shortfall,8008,319,887.4897814651347,10.06518295704296,0.011341181799779826,168,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,harm,collision,8008,319,887.4897814651347,-0.0,-0.0,0,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,harm,excess,8008,319,887.4897814651347,852.0945985080915,0.9601176445112302,319,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,harm,jerk,8008,319,887.4897814651347,25.330000000000002,0.028541173688989792,319,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,benefit,shortfall,8008,977,11060.645586091861,10758.243171281174,0.9726596054039611,909,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,benefit,collision,8008,977,11060.645586091861,60.0,0.005424638149101046,10,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,benefit,excess,8008,977,11060.645586091861,270.39241481068717,0.02444635014349347,693,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_320tofull_640__oracle,brake,benefit,jerk,8008,977,11060.645586091861,-27.990000000000002,-0.0025305936965556376,976,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,brake,harm,shortfall,8008,705,1995.4323026496731,482.9261855156188,0.24201582026829774,467,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,brake,harm,collision,8008,705,1995.4323026496731,24.0,0.012027468918956128,4,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
KITTI__YOLOv8s__cheap_384tofull_640__mono,brake,harm,excess,8008,705,1995.4323026496731,1463.5961171340546,0.7334732003639464,694,20260925_084550_core_matrix_ego,20260925_084549_planner_b_ego
