quantity_id,description,artifact_file,track,geometry,system,target,split,units_scope,quota_or_budget,signal_or_policy,estimate,ci_lo,ci_hi,interval_method,n_units,n_affected,denominator,notes
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|harm_rate,"harm rate: harmed among affected inputs (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.4041666666666667,0.30133561643835616,0.506728595691646,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",85,240,affected inputs (V != 0),"97 harmed of 240 affected, 3376 inputs"
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|harm_ratio,"harm ratio rho = sum of harm / sum of benefit (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.42140513212355013,0.1929010879756061,0.7615513828849616,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",85,240,gross benefit of escalation (sum of positive V),
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|all_full_reduction,"loss reduction, uniform escalation (all FULL) (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.14212640543824925,,,none (a count or a point value),85,240,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|oracle20_reduction,"loss reduction, oracle at 20% (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.2456406258145354,,,none (a count or a point value),85,240,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|cheap_precision,"CHEAP precision at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.6541266350272023,,,none (a count or a point value),85,240,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|cheap_recall,"CHEAP recall at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.3439406900484745,,,none (a count or a point value),85,240,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|cheap_det_per_frame,"CHEAP det per frame at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",2.5589454976303316,,,none (a count or a point value),85,240,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|full_precision,"FULL precision at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.5787010777084515,,,none (a count or a point value),85,240,detections,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|full_recall,"FULL recall at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.49871685201026517,,,none (a count or a point value),85,240,reference objects,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|full_det_per_frame,"FULL det per frame at t = 0.25 (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",4.177725118483412,,,none (a count or a point value),85,240,inputs,
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|sign_disagreement_exact_FN,"share of frames where perception gain exact_FN and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.3464052287581699,,,none (a count or a point value),85,240,frames where both the gain and V are non-zero,n = 153
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|sign_disagreement_FN_FP,"share of frames where perception gain FN_FP and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.38,,,none (a count or a point value),85,240,frames where both the gain and V are non-zero,n = 200
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|sign_disagreement_E5_combined,"share of frames where perception gain E5_combined and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.37872340425531914,,,none (a count or a point value),85,240,frames where both the gain and V are non-zero,n = 235
cal|nuScenes oracle Y8 320->640 q_brake|S0|all|sign_disagreement_E_risk,"share of frames where perception gain E_risk and V disagree in sign (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,all,"SETTING: all units (train, validation and test); not an allocator result",,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.3424657534246575,,,none (a count or a point value),85,240,frames where both the gain and V are non-zero,n = 146
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|harm_rate,"harm rate: harmed among affected inputs (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.32608695652173914,0.13153021442495128,0.5135328185328185,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",24,46,affected inputs (V != 0),"15 harmed of 46 affected, 955 inputs"
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|harm_ratio,"harm ratio rho = sum of harm / sum of benefit (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.2629863500898979,0.035921552810151906,0.9734462819011771,"unit bootstrap of per-unit counts, 1000 draws, default_rng(0) in 102's cell order, no filter; 95% percentile (needs 50 finite draws)",24,46,gross benefit of escalation (sum of positive V),
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|all_full_reduction,"loss reduction, uniform escalation (all FULL) (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.14430737594533458,,,none (a count or a point value),24,46,all-cheap loss,
cal|nuScenes oracle Y8 320->640 q_brake|S0|test|oracle20_reduction,"loss reduction, oracle at 20% (nuScenes oracle Y8 320->640 q_brake, S0)",calibration_cells.csv,nuScenes,oracle,brake,q_brake: braking controller loss,test,ALLOCATOR: frozen test split,,"uniform escalation, operating-point scheme S0 (t_c 0.25, t_f 0.25)",0.1958001401506424,,,none (a count or a point value),24,46,all-cheap loss,
