pair,geometry,system,n,latency_added_s,affected,harmed,rho,all_full,oracle20,n_frames,dets_per_frame_cheap,dets_per_frame_full,harmed_ratio_to_n1,rho_ratio_to_n1,reading,settings,section,reference,shipped_affected,shipped_harmed,shipped_rho,shipped_all_full,shipped_oracle20,reproduced_3dp
RT-DETR-l 320->640,mono,q_brake,1,0.0,3567.0,0.455564900476591,0.7960162625078837,0.08234554788845154,0.4017878295278262,8008.0,9.326173826173827,13.042207792207792,1.0,1.0,,,,,,,,,,
RT-DETR-l 320->640,mono,q_traj,1,0.0,1166.0,0.40051457975986277,0.31650528235835657,0.12828750421063526,0.18769348306492267,8008.0,9.326173826173827,13.042207792207792,1.0,1.0,,,,,,,,,,
RT-DETR-l 320->640,mono,q_brake,2,0.1,3417.0,0.47673397717295873,0.7907248709900967,0.08691401485537613,0.41433412829261884,8008.0,7.639360639360639,11.162337662337663,1.0464677517390424,0.9933526590259397,,,,,,,,,,
RT-DETR-l 320->640,mono,q_traj,2,0.1,1086.0,0.40607734806629836,0.2627456857552671,0.14704494764858483,0.19944942309252264,8008.0,7.639360639360639,11.162337662337663,1.0138890532019356,0.8301462894947159,,,,,,,,,,
RT-DETR-l 320->640,mono,q_brake,3,0.2,3277.0,0.4757400061031431,0.7153169872636123,0.11927405839229516,0.41845744856283673,8008.0,6.339035964035964,9.453546453546453,1.044285908781484,0.898621072149927,no material change,,,,,,,,,
RT-DETR-l 320->640,mono,q_traj,3,0.2,1061.0,0.4052780395852969,0.2409098187766428,0.15779933634441043,0.20787956457307866,8008.0,6.339035964035964,9.453546453546453,1.0118933493714266,0.7611557601237051,no material change,,,,,,,,,
RT-DETR-l 480->640,mono,q_brake,1,0.0,3091.0,0.44548689744419284,0.8048020416752143,0.05941604260124558,0.30391028423323196,8008.0,12.661213786213786,13.042207792207792,1.0,1.0,,,,,,,,,,
RT-DETR-l 480->640,mono,q_traj,1,0.0,730.0,0.4136986301369863,0.5480288170458063,0.03706473372294283,0.08200685158880944,8008.0,12.661213786213786,13.042207792207792,1.0,1.0,,,,,,,,,,
RT-DETR-l 480->640,mono,q_brake,2,0.1,2989.0,0.4610237537638006,0.8767171407087707,0.03710947135396309,0.30099882660769933,8008.0,10.762737262737263,11.162337662337663,1.0348761240986983,1.08935750073877,,,,,,,,,,
RT-DETR-l 480->640,mono,q_traj,2,0.1,705.0,0.3943262411347518,0.5565920195319999,0.03713572286975773,0.08375068673902238,8008.0,10.762737262737263,11.162337662337663,0.9531727020806914,1.0156254602310042,,,,,,,,,,
RT-DETR-l 480->640,mono,q_brake,3,0.2,2827.0,0.4651574106827025,0.8401207910120628,0.04656493900461183,0.2912507467317145,8008.0,9.121253746253746,9.453546453546453,1.0441550881773662,1.0438850145848682,no material change,,,,,,,,,
RT-DETR-l 480->640,mono,q_traj,3,0.2,670.0,0.3880597014925373,0.5223549569303025,0.04103749532797368,0.08591630107629074,8008.0,9.121253746253746,9.453546453546453,0.9380251062567955,0.9531523538234709,no material change,,,,,,,,,
YOLOv8s 320->640,mono,q_brake,1,0.0,3026.0,0.4071381361533377,0.19152415505145867,0.5016626047116192,0.6199579483173769,8008.0,3.6225024975024973,6.131993006993007,1.0,1.0,,,,,,,,,,
