geometry,target,signal,deployable,quota,eta,lo,hi,boot_dropped,n_frames,n_scenes
oracle,brake,random,True,0.1,0.06323782600434455,,,0,3376,85
oracle,brake,random,True,0.2,0.12241984124591584,,,0,3376,85
oracle,brake,random,True,0.3,0.19249603594248293,,,0,3376,85
oracle,brake,uncertainty (cheap),True,0.1,0.08069988126404189,0.01600128570953547,0.17833244257587239,0,3376,85
oracle,brake,uncertainty (cheap),True,0.2,0.06290992555743567,-0.06247352186994875,0.20735007443366874,0,3376,85
oracle,brake,uncertainty (cheap),True,0.3,0.16296462552236546,-0.005089101285205917,0.3246309000193538,0,3376,85
oracle,brake,linear (OOF by scene),True,0.1,0.12102847501190386,-0.008672803285372215,0.27922355712512964,0,3376,85
oracle,brake,linear (OOF by scene),True,0.2,0.21093065666090843,0.05485036380365275,0.3811303003080231,0,3376,85
oracle,brake,linear (OOF by scene),True,0.3,0.3197072586713373,0.12931186268454445,0.48969971893299846,0,3376,85
oracle,brake,gbm (OOF by scene),True,0.1,0.2186720127693538,0.04772443119465449,0.37312287563208923,0,3376,85
oracle,brake,gbm (OOF by scene),True,0.2,0.30939876431306834,0.14563873710772351,0.4774395795622732,0,3376,85
oracle,brake,gbm (OOF by scene),True,0.3,0.46448974805478144,0.28604368021950716,0.5968694731725814,0,3376,85
oracle,brake,decision oracle,False,0.1,1.0,1.0,1.0,0,3376,85
oracle,brake,decision oracle,False,0.2,1.0,1.0,1.0,0,3376,85
oracle,brake,decision oracle,False,0.3,1.0,1.0,1.0,0,3376,85
oracle,plan,random,True,0.1,0.03784955716508727,,,0,2655,85
oracle,plan,random,True,0.2,0.06139849455764053,,,0,2655,85
oracle,plan,random,True,0.3,0.10148473665283715,,,0,2655,85
oracle,plan,uncertainty (cheap),True,0.1,0.10595772882229353,0.01887869092768009,0.21212890290498435,0,2655,85
oracle,plan,uncertainty (cheap),True,0.2,0.12525973287766912,0.03690707841621744,0.22959356307441112,0,2655,85
oracle,plan,uncertainty (cheap),True,0.3,0.1676376302896733,0.034793295312838333,0.2747588173262194,0,2655,85
oracle,plan,linear (OOF by scene),True,0.1,0.1390269360672986,-0.007432422114235899,0.2366010891671678,0,2655,85
oracle,plan,linear (OOF by scene),True,0.2,0.117920332836753,-0.027225227991661292,0.24043574045956448,0,2655,85
oracle,plan,linear (OOF by scene),True,0.3,0.1509508013680844,-0.03140361084107793,0.3021294203356568,0,2655,85
oracle,plan,gbm (OOF by scene),True,0.1,0.08033699300987339,-0.07393342988837591,0.16350389418524458,0,2655,85
oracle,plan,gbm (OOF by scene),True,0.2,0.07888936798312,-0.05055968020571586,0.21463305033639293,0,2655,85
oracle,plan,gbm (OOF by scene),True,0.3,0.12491896538743437,-0.050820075337536685,0.2763056292790159,0,2655,85
oracle,plan,decision oracle,False,0.1,1.0,1.0,1.0,0,2655,85
oracle,plan,decision oracle,False,0.2,1.0,1.0,1.0,0,2655,85
oracle,plan,decision oracle,False,0.3,1.0,1.0,1.0,0,2655,85
