geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
oracle,brake,random,True,0.1,0.058252577225260505,338.0,0,3376,,,,,,,,,
oracle,brake,unc_sum (eta-table uncertainty),True,0.1,-0.045206232478658154,338.0,0,3376,-0.1704268034349105,0.10561542391724733,-0.09399007293986726,-0.21274749870597054,0.04088548540340803,0.92,,,
oracle,brake,feat_ent_mean (gate uncertainty),True,0.1,0.0806998812640422,338.0,0,3376,0.016001285709534307,0.17833244257587236,0.022358050263854547,-0.04416486231067875,0.12647052190503402,0.3325,0.11634812320372183,-0.03814397337462207,0.30060710468135504
oracle,brake,crit_sum (GT geometry),False,0.1,0.06198330909325217,338.0,0,3376,-0.09983501035204921,0.2717740084569572,0.021428104088268944,-0.1416175128863461,0.197599237580341,0.4225,0.11541817702813621,-0.08937422126764383,0.32484920945487217
oracle,brake,dE_E6_risk_weighted (needs FULL),False,0.1,0.39892613932742094,338.0,0,3376,0.19030200242521486,0.648861751555167,0.35272145714607844,0.14265508412418407,0.5807913746775925,0.0,0.44671153008594566,0.23946429830512803,0.6729988567358408
oracle,brake,linear (OOF by scene),True,0.1,0.12102847501190402,338.0,0,3376,-0.0128681562065623,0.2914859252722353,0.07622597685762282,-0.06491392138187815,0.23976246845235405,0.1625,0.1702160497974901,-0.030993704136294275,0.38890759395472285
oracle,brake,linear (OOF by scene) [escalate only pred>0],True,0.1,0.12102847501190402,338.0,0,3376,-0.0128681562065623,0.2914859252722353,0.07622597685762282,-0.06491392138187815,0.23976246845235405,0.1625,0.1702160497974901,-0.030993704136294275,0.38890759395472285
oracle,brake,gbm (OOF by scene),True,0.1,0.21867201276935408,338.0,0,3376,0.04468301734964407,0.36363742117875253,0.1505743672797779,-0.00041252981680766157,0.30867261831603193,0.0275,0.24456444021964516,0.0192711743072872,0.47613343227440136
oracle,brake,gbm (OOF by scene) [escalate only pred>0],True,0.1,0.21867201276935408,338.0,0,3376,0.04468301734964407,0.36363742117875253,0.1505743672797779,-0.00041252981680766157,0.30867261831603193,0.0275,0.24456444021964516,0.0192711743072872,0.47613343227440136
oracle,brake,random,True,0.2,0.11633280954748769,675.0,0,3376,,,,,,,,,
oracle,brake,unc_sum (eta-table uncertainty),True,0.2,0.004778936820656357,675.0,0,3376,-0.23579597201741692,0.1859979720628351,-0.1299513138808096,-0.3201525984520228,0.06495344349632892,0.91,,,
oracle,brake,feat_ent_mean (gate uncertainty),True,0.2,0.06290992555743645,675.0,0,3376,-0.06247352186994852,0.20735007443366818,-0.03383237900630748,-0.1702497083647725,0.11074252799228282,0.69,0.09611893487450213,-0.16514069860259623,0.3213257943678816
oracle,brake,crit_sum (GT geometry),False,0.2,0.18193207218701035,675.0,0,3376,-0.08683360155375648,0.42029637945332454,0.04918739384050792,-0.162216409624389,0.27978822149340343,0.3325,0.1791387077213175,-0.07897902919149712,0.41898474559588217
