geometry,target,model,feature,weight,kind,rank
oracle,brake,linear,feat_crit_small_sum,0.07725478250599799,standardised coefficient,1
oracle,brake,linear,feat_overlap_max,0.019158856542557366,standardised coefficient,2
oracle,brake,linear,feat_crit_p90,0.0183605231948627,standardised coefficient,3
oracle,brake,linear,feat_riskw_ent_sum,-0.016886057768373753,standardised coefficient,4
oracle,brake,linear,feat_crit_sum_corridor,0.016241708376371896,standardised coefficient,5
oracle,brake,linear,feat_ent_sum,-0.015540283814510704,standardised coefficient,6
oracle,brake,linear,feat_motion_mean,0.014343681062295995,standardised coefficient,7
oracle,brake,linear,feat_img_edge_density,0.01384946053368974,standardised coefficient,8
oracle,brake,linear,feat_n_in_corridor,-0.013461756983022473,standardised coefficient,9
oracle,brake,linear,feat_conf_frac_low,0.012895879249603295,standardised coefficient,10
oracle,brake,linear,feat_n_small,-0.01242559152683813,standardised coefficient,11
oracle,brake,linear,feat_motion_p95,-0.011245674787500607,standardised coefficient,12
oracle,brake,linear,feat_binent_sum,-0.010988912409353428,standardised coefficient,13
oracle,brake,linear,feat_conf_inv_sum,-0.010837525917250509,standardised coefficient,14
oracle,brake,linear,feat_img_contrast_p95_p5,0.01077483606582561,standardised coefficient,15
oracle,plan,linear,feat_crit_borderline_sum,0.03955673614622544,standardised coefficient,1
oracle,plan,linear,feat_crit_borderline_max,0.02590434690620884,standardised coefficient,2
oracle,plan,linear,feat_ent_mean,0.015771002153164057,standardised coefficient,3
oracle,plan,linear,feat_img_edge_density,-0.01492616355398591,standardised coefficient,4
oracle,plan,linear,feat_overlap_pairs,-0.012920028373038432,standardised coefficient,5
oracle,plan,linear,feat_ttc_min,0.012667350252858117,standardised coefficient,6
oracle,plan,linear,feat_nms_ratio,0.012457408501581356,standardised coefficient,7
oracle,plan,linear,feat_n_ttc_lt4,0.011428068864282803,standardised coefficient,8
oracle,plan,linear,feat_spread_y,-0.01107690050335701,standardised coefficient,9
oracle,plan,linear,feat_ent_sum,0.010809254313843586,standardised coefficient,10
oracle,plan,linear,feat_conf_std,-0.010745704757862589,standardised coefficient,11
oracle,plan,linear,feat_area_frac_mean,-0.01059282250262726,standardised coefficient,12
oracle,plan,linear,feat_riskw_unc_sum,0.010404432079285745,standardised coefficient,13
oracle,plan,linear,feat_n_ttc_lt2,0.010225125549575912,standardised coefficient,14
oracle,plan,linear,feat_z_min_corridor,-0.010190676198743587,standardised coefficient,15
mono,brake,linear,feat_crit_small_sum,0.10148942524258836,standardised coefficient,1
mono,brake,linear,feat_crit_sum_corridor,0.08204660721196891,standardised coefficient,2
mono,brake,linear,feat_riskw_unc_sum,0.048117031565756446,standardised coefficient,3
mono,brake,linear,feat_riskw_unc_mean,0.04254531737072078,standardised coefficient,4
mono,brake,linear,feat_n_ttc_lt2,0.04108957018019146,standardised coefficient,5
mono,brake,linear,feat_crit_sum,-0.03297533025585815,standardised coefficient,6
mono,brake,linear,feat_ent_sum,-0.029214530775562006,standardised coefficient,7
mono,brake,linear,feat_img_bright_std,-0.026680817288262423,standardised coefficient,8
mono,brake,linear,feat_motion_mean,0.02156542276204887,standardised coefficient,9
mono,brake,linear,feat_riskw_ent_sum,-0.02035880292223733,standardised coefficient,10
mono,brake,linear,feat_crit_borderline_sum,-0.02031744458715135,standardised coefficient,11
mono,brake,linear,feat_ent_max,-0.019724648262026818,standardised coefficient,12
mono,brake,linear,feat_conf_p25,-0.019566640745200394,standardised coefficient,13
mono,brake,linear,feat_overlap_max,0.018295788612133074,standardised coefficient,14
mono,brake,linear,feat_spread_x,0.018141286777824957,standardised coefficient,15
mono,plan,linear,feat_crit_borderline_sum,0.14132786667019528,standardised coefficient,1
mono,plan,linear,feat_area_frac_mean,-0.11862649535593565,standardised coefficient,2
mono,plan,linear,feat_crit_sum_corridor,0.11371178746126821,standardised coefficient,3
mono,plan,linear,feat_ent_mean,0.08295539839221897,standardised coefficient,4
mono,plan,linear,feat_area_frac_std,0.06889930109813934,standardised coefficient,5
mono,plan,linear,feat_h_median_px,0.06458072073173596,standardised coefficient,6
mono,plan,linear,feat_crit_borderline_max,-0.060398101806100835,standardised coefficient,7
mono,plan,linear,feat_h_min_px,0.053630604935930616,standardised coefficient,8
mono,plan,linear,feat_ent_sum,0.051009921157476976,standardised coefficient,9
mono,plan,linear,feat_conf_frac_low,0.04801587535002628,standardised coefficient,10
mono,plan,linear,feat_area_frac_max,0.04548964075726795,standardised coefficient,11
mono,plan,linear,feat_conf_n_low,-0.04434792609879047,standardised coefficient,12
mono,plan,linear,feat_img_lap_var,-0.043716508557249706,standardised coefficient,13
mono,plan,linear,feat_img_bright_frac,-0.041177577426496144,standardised coefficient,14
mono,plan,linear,feat_margin_mean,0.0381348486828417,standardised coefficient,15
