track,geometry,system,target,quota,val_frames,ap50_conditioned,ap50_skipping,chosen
KITTI,mono,brake,J,0.1,1152,0.33858979843896475,0.3234266305846259,R1_gbm_reg
KITTI,mono,brake,J,0.2,1152,0.3669105365700688,0.3477321321199929,R1_gbm_reg
KITTI,mono,brake,J,0.3,1152,0.3982512505610625,0.37325548124912533,R1_gbm_reg
KITTI,mono,brake,J,0.5,1152,0.4427586249912877,0.42770096163814053,R1_gbm_reg
KITTI,mono,traj,JB,0.1,1152,0.33858979843896475,0.3236706718687045,R1_gbm_reg
KITTI,mono,traj,JB,0.2,1152,0.3669105365700688,0.3473557891490417,R1_gbm_reg
KITTI,mono,traj,JB,0.3,1152,0.3982512505610625,0.3733904373668516,R1_gbm_reg
KITTI,mono,traj,JB,0.5,1152,0.4427586249912877,0.42868109501046214,R1_gbm_reg
KITTI,oracle,brake,J,0.1,1152,0.33858979843896475,0.32306000875922564,R1_gbm_reg
KITTI,oracle,brake,J,0.2,1152,0.3669105365700688,0.34763443761211654,R1_gbm_reg
KITTI,oracle,brake,J,0.3,1152,0.3982512505610625,0.37325548124912533,R1_gbm_reg
KITTI,oracle,brake,J,0.5,1152,0.4427586249912877,0.4286766186975253,R1_gbm_reg
KITTI,oracle,traj,JB,0.1,1152,0.33858979843896475,0.3235494623220443,R1_gbm_reg
KITTI,oracle,traj,JB,0.2,1152,0.3669105365700688,0.34836772669429117,R1_gbm_reg
KITTI,oracle,traj,JB,0.3,1152,0.3982512505610625,0.37325548124912533,R1_gbm_reg
KITTI,oracle,traj,JB,0.5,1152,0.4427586249912877,0.4284830809114846,R1_gbm_reg
nuScenes,mono,brake,J,0.1,636,0.3313532908285221,0.31616803107764846,R1_gbm_reg
nuScenes,mono,brake,J,0.2,636,0.35269887021412916,0.3267370746217425,R1_gbm_reg
nuScenes,mono,brake,J,0.3,636,0.37056754381172874,0.3382308559533967,R1_gbm_reg
nuScenes,mono,brake,J,0.5,636,0.40012262875711757,0.3635090976627632,R1_gbm_reg
nuScenes,mono,plan_ade,JC_ade,0.1,499,0.31357720426265806,0.305411529713878,R1_gbm_reg
nuScenes,mono,plan_ade,JC_ade,0.2,499,0.3329112310604373,0.31503630768631924,R1_gbm_reg
nuScenes,mono,plan_ade,JC_ade,0.3,499,0.3527192984163291,0.3267562009568045,R1_gbm_reg
nuScenes,mono,plan_ade,JC_ade,0.5,499,0.37967252038856164,0.3522980852626705,R1_gbm_reg
nuScenes,mono,plan_fde,JC_fde,0.1,499,0.31357720426265806,0.305411529713878,R1_gbm_reg
nuScenes,mono,plan_fde,JC_fde,0.2,499,0.3329112310604373,0.31503630768631924,R1_gbm_reg
nuScenes,mono,plan_fde,JC_fde,0.3,499,0.3527192984163291,0.3266804943687023,R1_gbm_reg
nuScenes,mono,plan_fde,JC_fde,0.5,499,0.37967252038856164,0.3522980852626705,R1_gbm_reg
nuScenes,oracle,brake,J,0.1,636,0.3313532908285221,0.31616803107764846,R1_gbm_reg
nuScenes,oracle,brake,J,0.2,636,0.35269887021412916,0.3268638821587934,R1_gbm_reg
nuScenes,oracle,brake,J,0.3,636,0.37056754381172874,0.3382308559533967,R1_gbm_reg
nuScenes,oracle,brake,J,0.5,636,0.40012262875711757,0.3635090976627632,R1_gbm_reg
nuScenes,oracle,plan_ade,JC_ade,0.1,499,0.31357720426265806,0.305411529713878,R1_gbm_reg
nuScenes,oracle,plan_ade,JC_ade,0.2,499,0.3329112310604373,0.31503630768631924,R1_gbm_reg
nuScenes,oracle,plan_ade,JC_ade,0.3,499,0.3527192984163291,0.3267562009568045,R1_gbm_reg
nuScenes,oracle,plan_ade,JC_ade,0.5,499,0.37967252038856164,0.3522980852626705,R1_gbm_reg
nuScenes,oracle,plan_fde,JC_fde,0.1,499,0.31357720426265806,0.305411529713878,R1_gbm_reg
nuScenes,oracle,plan_fde,JC_fde,0.2,499,0.3329112310604373,0.31503630768631924,R1_gbm_reg
nuScenes,oracle,plan_fde,JC_fde,0.3,499,0.3527192984163291,0.3267562009568045,R1_gbm_reg
nuScenes,oracle,plan_fde,JC_fde,0.5,499,0.37967252038856164,0.3522980852626705,R1_gbm_reg
