cell,units,label,against,spearman,n
KITTI mono brake J,fit,Q,dE_exact,0.5086663713326097,4472
KITTI mono brake J,fit,Q,dE_E5_combined,0.6174420023531895,4472
KITTI mono brake J,fit,Q,dE_E6_risk_weighted,0.33834767986735614,4472
KITTI mono brake J,fit,G,dE_exact,0.7679517968367199,4472
KITTI mono brake J,fit,G,dE_E5_combined,0.7456472006485657,4472
KITTI mono brake J,fit,G,dE_E6_risk_weighted,0.5320327692756325,4472
KITTI mono brake J,fit,Q,G,0.6658719876242798,4472
KITTI mono brake J,fit,G,G context 1000 (code default),0.9988204665832,4472
KITTI mono brake J,test,Q,dE_exact,0.5519364462090854,3536
KITTI mono brake J,test,Q,dE_E5_combined,0.6374173429175877,3536
KITTI mono brake J,test,Q,dE_E6_risk_weighted,0.4620180863098383,3536
KITTI mono brake J,test,G,dE_exact,0.6958974012106215,3536
KITTI mono brake J,test,G,dE_E5_combined,0.6181749858036694,3536
KITTI mono brake J,test,G,dE_E6_risk_weighted,0.5827348112864735,3536
KITTI mono brake J,test,Q,G,0.6966667583581732,3536
KITTI mono brake J,test,G,G context 1000 (code default),0.9966669424240481,3536
KITTI mono traj JB,fit,Q,dE_exact,0.5086663713326097,4472
KITTI mono traj JB,fit,Q,dE_E5_combined,0.6174420023531895,4472
KITTI mono traj JB,fit,Q,dE_E6_risk_weighted,0.33834767986735614,4472
KITTI mono traj JB,fit,G,dE_exact,0.7679517968367199,4472
KITTI mono traj JB,fit,G,dE_E5_combined,0.7456472006485657,4472
KITTI mono traj JB,fit,G,dE_E6_risk_weighted,0.5320327692756325,4472
KITTI mono traj JB,fit,Q,G,0.6658719876242798,4472
KITTI mono traj JB,fit,G,G context 1000 (code default),0.9988204665832,4472
KITTI mono traj JB,test,Q,dE_exact,0.5519364462090854,3536
KITTI mono traj JB,test,Q,dE_E5_combined,0.6374173429175877,3536
KITTI mono traj JB,test,Q,dE_E6_risk_weighted,0.4620180863098383,3536
KITTI mono traj JB,test,G,dE_exact,0.6958974012106215,3536
KITTI mono traj JB,test,G,dE_E5_combined,0.6181749858036694,3536
KITTI mono traj JB,test,G,dE_E6_risk_weighted,0.5827348112864735,3536
KITTI mono traj JB,test,Q,G,0.6966667583581732,3536
KITTI mono traj JB,test,G,G context 1000 (code default),0.9966669424240481,3536
KITTI oracle brake J,fit,Q,dE_exact,0.5086663713326097,4472
KITTI oracle brake J,fit,Q,dE_E5_combined,0.6174420023531895,4472
KITTI oracle brake J,fit,Q,dE_E6_risk_weighted,0.33834767986735614,4472
KITTI oracle brake J,fit,G,dE_exact,0.7679517968367199,4472
KITTI oracle brake J,fit,G,dE_E5_combined,0.7456472006485657,4472
KITTI oracle brake J,fit,G,dE_E6_risk_weighted,0.5320327692756325,4472
KITTI oracle brake J,fit,Q,G,0.6658719876242798,4472
KITTI oracle brake J,fit,G,G context 1000 (code default),0.9988204665832,4472
KITTI oracle brake J,test,Q,dE_exact,0.5519364462090854,3536
KITTI oracle brake J,test,Q,dE_E5_combined,0.6374173429175877,3536
KITTI oracle brake J,test,Q,dE_E6_risk_weighted,0.4620180863098383,3536
KITTI oracle brake J,test,G,dE_exact,0.6958974012106215,3536
KITTI oracle brake J,test,G,dE_E5_combined,0.6181749858036694,3536
KITTI oracle brake J,test,G,dE_E6_risk_weighted,0.5827348112864735,3536
KITTI oracle brake J,test,Q,G,0.6966667583581732,3536
KITTI oracle brake J,test,G,G context 1000 (code default),0.9966669424240481,3536
KITTI oracle traj JB,fit,Q,dE_exact,0.5086663713326097,4472
KITTI oracle traj JB,fit,Q,dE_E5_combined,0.6174420023531895,4472
KITTI oracle traj JB,fit,Q,dE_E6_risk_weighted,0.33834767986735614,4472
KITTI oracle traj JB,fit,G,dE_exact,0.7679517968367199,4472
KITTI oracle traj JB,fit,G,dE_E5_combined,0.7456472006485657,4472
KITTI oracle traj JB,fit,G,dE_E6_risk_weighted,0.5320327692756325,4472
KITTI oracle traj JB,fit,Q,G,0.6658719876242798,4472
KITTI oracle traj JB,fit,G,G context 1000 (code default),0.9988204665832,4472
KITTI oracle traj JB,test,Q,dE_exact,0.5519364462090854,3536
KITTI oracle traj JB,test,Q,dE_E5_combined,0.6374173429175877,3536
KITTI oracle traj JB,test,Q,dE_E6_risk_weighted,0.4620180863098383,3536
KITTI oracle traj JB,test,G,dE_exact,0.6958974012106215,3536
KITTI oracle traj JB,test,G,dE_E5_combined,0.6181749858036694,3536
KITTI oracle traj JB,test,G,dE_E6_risk_weighted,0.5827348112864735,3536
KITTI oracle traj JB,test,Q,G,0.6966667583581732,3536
