pair,system,mono_affected,mono_harmed,mono_rho,mono_all_full,mono_oracle20,reference_affected,reference_harmed,reference_rho,reference_all_full,reference_oracle20,harmed_ratio,rho_ratio,reading,pairs,section,geometry,n,reference,affected,harmed,rho,all_full,oracle20,shipped_affected,shipped_harmed,shipped_rho,shipped_all_full,shipped_oracle20,reproduced_3dp
YOLOv8s 320->640,q_brake,2075.0,0.3421686746987952,0.16785478389768213,0.5168494285990892,0.6211048487666122,1296.0,0.24614197530864199,0.08023851542455199,0.6785748142109286,0.7377725916889776,0.7193585898104677,0.47802340547804895,persists without lifting error,,,,,,,,,,,,,,,,
YOLOv8s 320->640,q_traj,678.0,0.4837758112094395,0.2824709509652807,0.1278204919151454,0.17813981480903146,463.0,0.03023758099352052,0.0033946367285793266,0.6834446714145355,0.6857726203389918,0.06250329241953327,0.0120176489546232,geometry-driven,,,,,,,,,,,,,,,,
YOLOv8s 384->640,q_brake,1771.0,0.39808018068887635,0.4731134004370671,0.19380767715798808,0.36783565442498867,885.0,0.3525423728813559,0.29462269092415966,0.32373187766541245,0.45894852797229163,0.8856064430821011,0.6227316551422643,persists without lifting error,,,,,,,,,,,,,,,,
YOLOv8s 384->640,q_traj,458.0,0.4868995633187773,0.4585841134217043,0.059702726427005706,0.11027147135323649,136.0,0.051470588235294115,0.001560908233966729,0.31858778948372407,0.3190858532193566,0.1057108942231601,0.0034037555778373653,geometry-driven,,,,,,,,,,,,,,,,
YOLOv8s 512->640,q_brake,1470.0,0.42857142857142855,0.6152373049046556,0.09725994774130227,0.2527790479199168,635.0,0.3968503937007874,0.4673088384575038,0.15529342711095656,0.2915261943924108,0.925984251968504,0.7595586852944873,persists without lifting error,,,,,,,,,,,,,,,,
YOLOv8s 512->640,q_traj,266.0,0.5375939849624061,1.114138429663965,-0.00589026124569438,0.05160629301661071,47.0,0.1702127659574468,0.05096688477913346,0.11029764279419564,0.1162210686067854,0.3166195506621038,0.04574555856089227,geometry-driven,,,,,,,,,,,,,,,,
RT-DETR-l 320->640,q_brake,2354.0,0.44180118946474084,0.7007510232636827,0.12634550989699628,0.42220866141281954,1658.0,0.4752714113389626,0.6906548895614864,0.16393606138444783,0.5299455393106411,1.075758559896075,0.9855924096190762,persists without lifting error,,,,,,,,,,,,,,,,
RT-DETR-l 320->640,q_traj,517.0,0.49709864603481624,0.7624495469329581,0.023022549545892244,0.09691646237102643,136.0,0.19852941176470587,0.022837913013657576,0.12826549927405825,0.1312632786129074,0.3993762874799725,0.029953343280910504,geometry-driven,,,,,,,,,,,,,,,,
RT-DETR-l 480->640,q_brake,1947.0,0.4216743708269132,0.7203397317211169,0.08521560207270736,0.30471115041529184,1404.0,0.4707977207977208,0.8836211820682492,0.0459738548050271,0.3950362756905482,1.1164959347054353,1.2266728366586166,persists without lifting error,,,,,,,,,,,,,,,,
RT-DETR-l 480->640,q_traj,295.0,0.43389830508474575,0.5789355639166351,0.02938719191461261,0.0697926241122733,57.0,0.3684210526315789,0.14078155527512323,0.013370690300989004,0.015561456324730471,0.849095394736842,0.24317309913162516,persists without lifting error,,,,,,,,,,,,,,,,
summary over pairs,q_brake,,,,,,,,,,,,,persists without lifting error,5.0,,,,,,,,,,,,,,,
summary over pairs,q_traj,,,,,,,,,,,,,geometry-driven,5.0,,,,,,,,,,,,,,,
YOLOv8s 320->640,q_brake,,,,,,,,,,,,,,,sanity,oracle,1.0,calibration_cells.csv S0 all,1296.0,0.24614197530864199,0.08023851542455199,0.6785748142109286,0.7377725916889776,1296.0,0.2461419753086419,0.0802385154245519,0.6785748142109286,0.7377725916889776,True
YOLOv8s 320->640,q_traj,,,,,,,,,,,,,,,sanity,oracle,1.0,calibration_cells.csv S0 all,463.0,0.03023758099352052,0.0033946367285793266,0.6834446714145355,0.6857726203389918,463.0,0.0302375809935205,0.0033946367285793,0.6834446714145355,0.6857726203389918,True
