section,signal,rate_target,variant,shipped_B_minus_C_point,shipped_B_minus_C_lo,shipped_B_minus_C_hi,shipped_A_minus_C_point,B_minus_C_point,B_minus_C_lo,B_minus_C_hi,A_minus_C_point,match_B_point_3dp,match_B_ci_2dp,match_A_point_2dp,passed,ties_at_threshold_rows,gate_scores_run,v1_scores_run,policy,val_median_abs_dev,val_mean_ndg_minus_C,chosen,qualifies,W,gP,gI,capacity,track,geometry,system,target,n_test_frames,n_test_units,n_affected,ndg_defined,pooled_cell,gain,gain_C,oracle_prize,ndg,ndg_C,ndg_minus_C,ndg_minus_C_lo,ndg_minus_C_hi,rate_realised,rate_abs_dev,rate_unit_min,rate_unit_max,tie_draws,score_draws,hyperparameters,n_rows,ndg_minus_C_boot_mean,rows_improved_over_C,rows_rate_miss_gt_5pp,median_abs_rate_dev,draws_kept,reading
sanity,all_learned,0.2,V1,-0.064,-0.13,0.01,0.011,-0.06417155520361681,-0.12814369202923223,0.014327954881749531,0.010835912135166686,True,True,True,True,48.0,20260922_110512_budget_gate_scores_ego,20260922_124603_streaming_v1_scores_ego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.04226611635220126,-0.1062600370801544,False,False,10.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.03446180555555556,-0.09258659053105414,False,False,10.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.030121527777777782,-0.07940346879856347,False,False,10.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.039315025252525254,-0.11160977334679432,False,False,10.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.03351372884658206,-0.08472868272425044,False,False,10.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.027851629502572903,-0.07968224404012522,False,False,10.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.032389937106918246,-0.1017065739724151,False,False,10.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.027943007226574362,-0.09118477905477732,False,False,10.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.025190002646803045,-0.08883614694940739,False,False,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperparameters,,0.1,,,,,,,,,,,,,,,,,D,0.03963684945648874,-0.10360853990045478,False,False,30.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
