architecture,label,track,geometry,system,target,quota,minus_V,minus_V_lo,minus_V_hi,status
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.1,-0.0018024696185785782,-0.09824315340915997,0.09751123414041792,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.2,-0.032569203155725535,-0.12997945740544997,0.08230097961637482,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.3,-0.04295513361106948,-0.1696910972981818,0.09670369684603868,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,brake,J,0.5,0.014572878005037815,-0.1482477517057303,0.13442103917853626,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.1,3.1673021255826384e-05,-0.12201377167138858,0.13202146554570285,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.2,0.0041755763969895665,-0.11612041546723194,0.0996765685343168,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.3,-0.018735056095290775,-0.0977276217818791,0.05087211214473447,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,brake,J,0.5,0.011306558203802441,-0.058992221448896785,0.11098775910689976,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.1,-0.08391223847647199,-0.24601571761303004,0.03182076924968675,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.2,-0.13183743610659931,-0.2419086198515155,0.05286432141981551,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.3,-0.1390672918142383,-0.27777477898413694,0.01195441411327364,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,brake,J,0.5,-0.13263896193198021,-0.216898835468529,0.02956147335922284,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.1,0.006251796153618844,-0.11187893732586632,0.1451973754414246,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.2,-0.07043747847378562,-0.17494576921021515,0.0863324835547691,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.3,-0.11650930067108384,-0.17707970935607506,0.08349482847731089,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,brake,J,0.5,-0.13882947106270538,-0.24114716436341482,0.08488823057320137,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.1,0.06467010521801453,-0.05941085642538879,0.1278094070012226,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.2,0.007303701382827293,-0.07430764288255767,0.08959439699504768,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.3,-0.025993799579909493,-0.08953728662704238,0.07041411773330077,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,rankV,KITTI,mono,brake,J,0.5,-0.04578450573325299,-0.12400988548548324,0.12272081631293719,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.1,0.03815349175375102,-0.008737188671927488,0.11400221979031583,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.2,-0.010152937209720825,-0.023129811743615974,0.0860085682410888,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.3,0.032687074577737174,-0.03859789437445716,0.07988340427047014,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,secdfV,KITTI,mono,brake,J,0.5,0.009563357135734085,-0.041385668570094236,0.17572260932692818,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,brake,J,0.1,-0.025932234827053105,-0.27399591636048265,0.07056707818272989,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,brake,J,0.2,-0.16577307711411754,-0.33798136479235774,0.05025623731984834,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,brake,J,0.3,-0.259020923589251,-0.3801381830120694,0.02140993630195748,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,Q,KITTI,mono,brake,J,0.5,-0.22155488032565454,-0.3160023060419193,-0.01164456485194194,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,brake,J,0.1,0.029563108236886446,-0.15053838973821418,0.15348646293340576,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,brake,J,0.2,-0.05676980702324644,-0.22779624049846545,0.10834218953953025,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,brake,J,0.3,-0.18530657911654863,-0.28869613875317246,0.05693580218435068,post-hoc (decided after Task 24's test results were seen)
R1_gbm_reg,G,KITTI,mono,brake,J,0.5,-0.20374919594356808,-0.30497749287016945,0.02835590691407838,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,traj,JB,0.1,-0.48865329327708495,-0.9869517267291623,0.009230993039171874,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,traj,JB,0.2,-0.7519040062770153,-1.2726182237940984,-0.013635870914581823,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,traj,JB,0.3,-0.4983368386769379,-1.183796770646604,-0.0017044939171490534,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,rankV,KITTI,mono,traj,JB,0.5,-0.37227900752015075,-0.6105895927656829,0.10769537218662673,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,traj,JB,0.1,0.07376824788018958,-0.24968391211086713,0.4057419352461942,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,traj,JB,0.2,-0.1731889942614235,-0.8407547172631847,0.5988867809205087,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,traj,JB,0.3,0.007249071657707523,-0.6298427161008824,0.770995995379041,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,secdfV,KITTI,mono,traj,JB,0.5,0.3216425131819891,-0.20211445981364745,0.6172634107076667,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.1,-0.16969055459640847,-0.429915067060352,0.3844295972396213,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.2,-0.26285595406545903,-0.6723780996646713,0.4117392212560794,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.3,-0.2674814336796249,-1.0119817457015532,0.5630565157496985,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,Q,KITTI,mono,traj,JB,0.5,-0.1129105346751097,-0.3346847132901734,0.3023270258509304,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,traj,JB,0.1,0.11297181311974124,-0.16606796062605622,0.4410176638772695,post-hoc (decided after Task 24's test results were seen)
R1_mlp_reg,G,KITTI,mono,traj,JB,0.2,0.11129688899896056,-0.07912718855111081,0.634143763882165,post-hoc (decided after Task 24's test results were seen)
