check,where,mode,threshold,columns_compared,columns_differing,ok,metrics,columns
C1,20260912_071140_core_matrix/oracle,ns_cheap_320,0.25,6.0,{},True,,
C1,20260912_071140_core_matrix/oracle,ns_full_640,0.25,6.0,{},True,,
C2,20260912_071140_core_matrix/oracle,,,,{},True,4.0,
C1,20260912_071140_core_matrix/mono,ns_cheap_320,0.25,6.0,{},True,,
C1,20260912_071140_core_matrix/mono,ns_full_640,0.25,6.0,{},True,,
C2,20260912_071140_core_matrix/mono,,,,{},True,4.0,
C1,20260913_133004_core_matrix_postreview/oracle,ns_cheap_320,0.25,6.0,{},True,,
C1,20260913_133004_core_matrix_postreview/oracle,ns_full_640,0.25,6.0,{},True,,
C2,20260913_133004_core_matrix_postreview/oracle,,,,{},True,4.0,
C1,20260913_133004_core_matrix_postreview/mono,ns_cheap_320,0.25,6.0,{},True,,
C1,20260913_133004_core_matrix_postreview/mono,ns_full_640,0.25,6.0,{},True,,
C2,20260913_133004_core_matrix_postreview/mono,,,,{},True,4.0,
C1,nusc_mono__c0.100000__f0.100000.npz,ns_cheap_320,0.1,6.0,{},True,,
C1,nusc_mono__c0.100000__f0.100000.npz,ns_full_640,0.1,6.0,{},True,,
C1,nusc_mono__c0.150000__f0.150000.npz,ns_cheap_320,0.15,6.0,{},True,,
C1,nusc_mono__c0.150000__f0.150000.npz,ns_full_640,0.15,6.0,{},True,,
C1,nusc_mono__c0.150000__f0.450000.npz,ns_cheap_320,0.15,6.0,{},True,,
C1,nusc_mono__c0.150000__f0.450000.npz,ns_full_640,0.45,6.0,{},True,,
C1,nusc_mono__c0.200000__f0.200000.npz,ns_cheap_320,0.2,6.0,{},True,,
C1,nusc_mono__c0.200000__f0.200000.npz,ns_full_640,0.2,6.0,{},True,,
C1,nusc_mono__c0.250000__f0.250000.npz,ns_cheap_320,0.25,6.0,{},True,,
C1,nusc_mono__c0.250000__f0.250000.npz,ns_full_640,0.25,6.0,{},True,,
C1,nusc_mono__c0.300000__f0.300000.npz,ns_cheap_320,0.3,6.0,{},True,,
C1,nusc_mono__c0.300000__f0.300000.npz,ns_full_640,0.3,6.0,{},True,,
C1,nusc_mono__c0.340000__f0.340000.npz,ns_cheap_320,0.34,6.0,{},True,,
C1,nusc_mono__c0.340000__f0.340000.npz,ns_full_640,0.34,6.0,{},True,,
C1,nusc_mono__c0.350000__f0.350000.npz,ns_cheap_320,0.35,6.0,{},True,,
C1,nusc_mono__c0.350000__f0.350000.npz,ns_full_640,0.35,6.0,{},True,,
C1,nusc_mono__c0.400000__f0.400000.npz,ns_cheap_320,0.4,6.0,{},True,,
C1,nusc_mono__c0.400000__f0.400000.npz,ns_full_640,0.4,6.0,{},True,,
C1,nusc_mono__c0.450000__f0.150000.npz,ns_cheap_320,0.45,6.0,{},True,,
C1,nusc_mono__c0.450000__f0.150000.npz,ns_full_640,0.15,6.0,{},True,,
C1,nusc_mono__c0.450000__f0.450000.npz,ns_cheap_320,0.45,6.0,{},True,,
C1,nusc_mono__c0.450000__f0.450000.npz,ns_full_640,0.45,6.0,{},True,,
C1,nusc_mono__c0.498047__f0.498047.npz,ns_cheap_320,0.498046875,6.0,{},True,,
C1,nusc_mono__c0.498047__f0.498047.npz,ns_full_640,0.498046875,6.0,{},True,,
C1,nusc_mono__c0.500000__f0.500000.npz,ns_cheap_320,0.5,6.0,{},True,,
C1,nusc_mono__c0.500000__f0.500000.npz,ns_full_640,0.5,6.0,{},True,,
C1,nusc_mono__c0.550000__f0.550000.npz,ns_cheap_320,0.55,6.0,{},True,,
C1,nusc_mono__c0.550000__f0.550000.npz,ns_full_640,0.55,6.0,{},True,,
C1,nusc_mono__c0.600000__f0.600000.npz,ns_cheap_320,0.6,6.0,{},True,,
C1,nusc_mono__c0.600000__f0.600000.npz,ns_full_640,0.6,6.0,{},True,,
C1,nusc_mono__c0.650000__f0.650000.npz,ns_cheap_320,0.65,6.0,{},True,,
C1,nusc_mono__c0.650000__f0.650000.npz,ns_full_640,0.65,6.0,{},True,,
C1,nusc_mono__c0.700000__f0.700000.npz,ns_cheap_320,0.7,6.0,{},True,,
C1,nusc_mono__c0.700000__f0.700000.npz,ns_full_640,0.7,6.0,{},True,,
C1,nusc_oracle__c0.100000__f0.100000.npz,ns_cheap_320,0.1,6.0,{},True,,
C1,nusc_oracle__c0.100000__f0.100000.npz,ns_full_640,0.1,6.0,{},True,,
C1,nusc_oracle__c0.150000__f0.150000.npz,ns_cheap_320,0.15,6.0,{},True,,
C1,nusc_oracle__c0.150000__f0.150000.npz,ns_full_640,0.15,6.0,{},True,,
C1,nusc_oracle__c0.200000__f0.200000.npz,ns_cheap_320,0.2,6.0,{},True,,
C1,nusc_oracle__c0.200000__f0.200000.npz,ns_full_640,0.2,6.0,{},True,,
C1,nusc_oracle__c0.250000__f0.250000.npz,ns_cheap_320,0.25,6.0,{},True,,
C1,nusc_oracle__c0.250000__f0.250000.npz,ns_full_640,0.25,6.0,{},True,,
C1,nusc_oracle__c0.300000__f0.300000.npz,ns_cheap_320,0.3,6.0,{},True,,
C1,nusc_oracle__c0.300000__f0.300000.npz,ns_full_640,0.3,6.0,{},True,,
C1,nusc_oracle__c0.340000__f0.340000.npz,ns_cheap_320,0.34,6.0,{},True,,
C1,nusc_oracle__c0.340000__f0.340000.npz,ns_full_640,0.34,6.0,{},True,,
C1,nusc_oracle__c0.350000__f0.350000.npz,ns_cheap_320,0.35,6.0,{},True,,
C1,nusc_oracle__c0.350000__f0.350000.npz,ns_full_640,0.35,6.0,{},True,,
C1,nusc_oracle__c0.400000__f0.400000.npz,ns_cheap_320,0.4,6.0,{},True,,
C1,nusc_oracle__c0.400000__f0.400000.npz,ns_full_640,0.4,6.0,{},True,,
C1,nusc_oracle__c0.450000__f0.450000.npz,ns_cheap_320,0.45,6.0,{},True,,
C1,nusc_oracle__c0.450000__f0.450000.npz,ns_full_640,0.45,6.0,{},True,,
C1,nusc_oracle__c0.498047__f0.498047.npz,ns_cheap_320,0.498046875,6.0,{},True,,
C1,nusc_oracle__c0.498047__f0.498047.npz,ns_full_640,0.498046875,6.0,{},True,,
