setting,source,affected_shipped,affected_recomputed,affected_ok,harmed_shipped,harmed_recomputed,harmed_ok,rho_shipped,rho_recomputed,rho_ok,all_full_shipped,all_full_recomputed,all_full_ok,oracle20_shipped,oracle20_recomputed,oracle20_ok,ok
NS_320 mono q_brake,calibration_cells.csv S0 all,486,486,True,0.4547325102880658,0.4547325102880658,True,0.535476283396324,0.5354762833963242,True,0.1299447335931296,0.1299447335931296,True,0.2797375654858041,0.2797375654858041,True,True
NS_320 oracle q_brake,calibration_cells.csv S0 all,295,295,True,0.4847457627118644,0.4847457627118644,True,0.6021266017262225,0.6021266017262223,True,0.0995869809332111,0.09958698093321115,True,0.2502981635999833,0.25029816359998336,True,True
RT_320 mono q_brake,the shipped per-frame tables,3567,3567,True,0.455564900476591,0.455564900476591,True,0.7960162625078838,0.7960162625078837,True,0.08234554788845153,0.08234554788845154,True,0.4017878295278262,0.4017878295278262,True,True
RT_320 mono q_traj,the shipped per-frame tables,1166,1166,True,0.40051457975986277,0.40051457975986277,True,0.31650528235835657,0.31650528235835657,True,0.12828750421063528,0.12828750421063526,True,0.1876934830649227,0.18769348306492267,True,True
RT_480 mono q_brake,calibration_cells.csv S0 all,3091,3091,True,0.4454868974441928,0.44548689744419284,True,0.8048020416752141,0.8048020416752143,True,0.0594160426012455,0.05941604260124558,True,0.3039102842332319,0.30391028423323196,True,True
RT_480 mono q_traj,calibration_cells.csv S0 all,730,730,True,0.4136986301369863,0.4136986301369863,True,0.5480288170458065,0.5480288170458063,True,0.0370647337229428,0.03706473372294283,True,0.0820068515888094,0.08200685158880944,True,True
Y8_320 mono q_brake,calibration_cells.csv S0 all,3026,3026,True,0.4071381361533377,0.4071381361533377,True,0.1915241550514586,0.19152415505145867,True,0.5016626047116192,0.5016626047116192,True,0.6199579483173769,0.6199579483173769,True,True
Y8_320 mono q_traj,calibration_cells.csv S0 all,1355,1355,True,0.3520295202952029,0.35202952029520296,True,0.0621948644183913,0.06219486441839134,True,0.424294266112015,0.424294266112015,True,0.4524332934569339,0.4524332934569339,True,True
Y8_320 oracle q_brake,calibration_cells.csv S0 all,1846,1846,True,0.3412784398699892,0.3412784398699892,True,0.091095882984145,0.09109588298414505,True,0.6752883148104513,0.6752883148104513,True,0.742969805250284,0.742969805250284,True,True
Y8_320 oracle q_traj,calibration_cells.csv S0 all,779,779,True,0.0949935815147625,0.09499358151476252,True,0.0040000532120799,0.004000053212079966,True,0.6896389125273614,0.6896389125273614,True,0.692408583706688,0.692408583706688,True,True
Y8_384 mono q_brake,calibration_cells.csv S0 all,2646,2646,True,0.4459561602418745,0.4459561602418745,True,0.5512850317471808,0.5512850317471811,True,0.1626784511640065,0.16267845116400656,True,0.362542956383722,0.362542956383722,True,True
Y8_384 mono q_traj,calibration_cells.csv S0 all,920,920,True,0.4543478260869565,0.4543478260869565,True,0.2106534435451915,0.21065344354519142,True,0.1781916355995196,0.17819163559951962,True,0.2257457565911603,0.2257457565911603,True,True
Y8_512 mono q_brake,calibration_cells.csv S0 all,2325,2325,True,0.4572043010752688,0.4572043010752688,True,0.6794995286298514,0.6794995286298516,True,0.0798463553764991,0.07984635537649912,True,0.2491302275942212,0.24913022759422127,True,True
Y8_512 mono q_traj,calibration_cells.csv S0 all,624,624,True,0.407051282051282,0.40705128205128205,True,0.4352282261903564,0.43522822619035645,True,0.0472179948396469,0.04721799483964695,True,0.0836054438789323,0.08360544387893236,True,True
