track,position,dist,convention,range_err_min,range_err_median,range_err_max,lat_err_median,lat_err_absmax
KITTI,axis,10.0,F,-0.4091856408153145,-0.4091856408153145,0.4273528655830301,-0.002586736596485839,0.006479273374864869
KITTI,axis,10.0,G,-0.036232888356309445,-0.023298868767431813,-0.009550852574827573,-0.0027040282378245073,0.0061572991301755975
KITTI,axis,10.0,S,-1.5032723542045368,-1.5032723542045368,-0.6553826575557284,0.24568132819144578,0.2783294193869492
KITTI,axis,10.0,T,-0.422772923567587,-0.422772923567587,0.44299868687972577,-0.004363239939475849,0.04886244831785591
KITTI,axis,25.0,F,-2.6488349064169334,-2.6488349064169334,3.5684295841341047,-0.0027460530521284388,0.0064508012837726225
KITTI,axis,25.0,G,-0.09539843509821466,-0.06082801571264085,-0.027101975619920893,-0.0030801661559484717,0.005590424235934033
KITTI,axis,25.0,S,-3.7424769574105703,-3.7424769574105703,2.4864555130375514,0.23232015701119896,0.29338329801202634
KITTI,axis,25.0,T,-2.6619775267736188,-2.6619775267736188,3.584836857473004,-0.01772441111972267,0.1412502136648106
KITTI,axis,50.0,F,-9.84760149036488,-9.84760149036488,8.984737432044135,-0.0025578633854222432,0.006439464039248777
KITTI,axis,50.0,G,-0.24336093069121745,-0.15486581741873096,-0.07220283623995272,-0.0031924038531086496,0.005412901728331199
KITTI,axis,50.0,S,-10.94062280840803,-10.94062280840803,7.901967230053785,0.2140911998525341,0.3182509389290945
KITTI,axis,50.0,T,-9.860123377771082,-9.860123377771082,9.000348574489237,-0.03595336827838752,0.30032076715156425
KITTI,left edge,10.0,F,-0.26213763359569064,-0.26213763359569064,0.7123683692659029,-0.21061494951156057,0.5540013663660135
KITTI,left edge,10.0,G,-0.03644969417536359,-0.02315944054249819,-0.009612250182653881,-0.025711861301646266,0.027769765778416833
KITTI,left edge,10.0,S,-1.3495263415503462,-1.3495263415503462,-0.361408413720385,0.03755786228023883,0.8135249993074627
KITTI,left edge,10.0,T,-0.2690269109133965,-0.2690269109133965,0.7369729307150692,-0.21248670585068297,0.5543783081637343
KITTI,left edge,25.0,F,-1.705894272899208,-1.705894272899208,6.195620933781459,-1.3289639116380698,4.813856737438744
