track,band,mode_role,n,mae_chosen,mae_f
KITTI,0-15,cheap,11274,1.2888708114624023,1.4204595002604856
KITTI,0-15,full,12223,1.2895536422729492,1.4172985947285008
KITTI,15-30,cheap,7842,2.283389091491699,2.706491115211917
KITTI,15-30,full,11955,2.496976852416992,2.970387899394737
KITTI,30-50,cheap,2668,4.178831100463867,6.054801261646425
KITTI,30-50,full,6917,4.68115234375,6.006166827951372
nuScenes,0-15,cheap,1558,1.2626264095306396,1.3496233846490995
nuScenes,0-15,full,1601,1.2524337768554688,1.3955426475324124
nuScenes,15-30,cheap,2488,2.8146438598632812,3.5837010520685944
nuScenes,15-30,full,3215,3.165050506591797,3.8196928641474344
nuScenes,30-50,cheap,1573,6.241363525390625,9.134296572612751
nuScenes,30-50,full,2746,6.598817825317383,9.35924716775321
