track,pair,mode,band,n,bias_cam,bias_ego,mae_cam,mae_ego
KITTI,RT 320->640,cheap,,33,8.480521231889725,9.085336714982986,8.480521231889725,9.085336714982986
KITTI,RT 320->640,cheap,0-15,11042,0.27341365814208984,1.2429478168487549,0.7775716781616211,1.2699952125549316
KITTI,RT 320->640,cheap,15-30,9431,0.7498760223388672,2.0734176635742188,2.652912139892578,2.4852237701416016
KITTI,RT 320->640,cheap,30-50,5017,-2.241090774536133,2.081584930419922,6.488452911376953,4.540058135986328
KITTI,RT 320->640,cheap,>50,938,-6.466451644897461,-1.6992835998535156,9.106908798217773,6.570552825927734
KITTI,RT 320->640,full,,35,7.170218348503113,8.203009009361267,7.170218348503113,8.203009009361267
KITTI,RT 320->640,full,0-15,12073,0.3352365493774414,1.324824333190918,0.7646598815917969,1.3390984535217285
KITTI,RT 320->640,full,15-30,12260,1.2326412200927734,2.3590517044067383,2.71699857711792,2.681781768798828
KITTI,RT 320->640,full,30-50,7935,-0.2592124938964844,3.435382843017578,6.201694488525391,4.810760498046875
KITTI,RT 320->640,full,>50,3247,-4.328334808349609,2.30303955078125,7.575447082519531,7.385467529296875
KITTI,RT 480->640,cheap,,33,7.158888220787048,8.19181478023529,7.158888220787048,8.19181478023529
KITTI,RT 480->640,cheap,0-15,12064,0.29845333099365234,1.269176959991455,0.7602343559265137,1.2862975597381592
KITTI,RT 480->640,cheap,15-30,11938,1.137984275817871,2.258183479309082,2.858158588409424,2.5927181243896484
KITTI,RT 480->640,cheap,30-50,7513,-1.1081161499023438,3.156036376953125,6.4892578125,4.612997055053711
KITTI,RT 480->640,cheap,>50,2585,-5.4398956298828125,0.764801025390625,8.132152557373047,6.842475891113281
KITTI,RT 480->640,full,,35,7.170218348503113,8.203009009361267,7.170218348503113,8.203009009361267
KITTI,RT 480->640,full,0-15,12073,0.3352365493774414,1.324824333190918,0.7646598815917969,1.3390984535217285
KITTI,RT 480->640,full,15-30,12260,1.2326412200927734,2.3590517044067383,2.71699857711792,2.681781768798828
KITTI,RT 480->640,full,30-50,7935,-0.2592124938964844,3.435382843017578,6.201694488525391,4.810760498046875
KITTI,RT 480->640,full,>50,3247,-4.328334808349609,2.30303955078125,7.575447082519531,7.385467529296875
