file,status,identical
kitti_rt_480_mono__c0.100000__f0.100000.npz,compared,True
kitti_rt_480_mono__c0.150000__f0.150000.npz,compared,True
kitti_rt_480_mono__c0.200000__f0.200000.npz,compared,True
kitti_rt_480_mono__c0.250000__f0.250000.npz,compared,True
kitti_rt_480_mono__c0.252686__f0.252686.npz,compared,True
kitti_rt_480_mono__c0.300000__f0.300000.npz,compared,True
kitti_rt_480_mono__c0.350000__f0.350000.npz,compared,True
kitti_rt_480_mono__c0.400000__f0.400000.npz,compared,True
kitti_rt_480_mono__c0.450000__f0.450000.npz,compared,True
kitti_rt_480_mono__c0.500000__f0.500000.npz,compared,True
kitti_rt_480_mono__c0.550000__f0.550000.npz,compared,True
kitti_rt_480_mono__c0.600000__f0.600000.npz,compared,True
kitti_rt_480_mono__c0.650000__f0.650000.npz,compared,True
kitti_rt_480_mono__c0.700000__f0.700000.npz,compared,True
kitti_y8_320_mono__c0.100000__f0.100000.npz,compared,True
kitti_y8_320_mono__c0.150000__f0.150000.npz,compared,True
kitti_y8_320_mono__c0.200000__f0.200000.npz,compared,True
kitti_y8_320_mono__c0.250000__f0.250000.npz,compared,True
kitti_y8_320_mono__c0.300000__f0.300000.npz,compared,True
kitti_y8_320_mono__c0.350000__f0.350000.npz,compared,True
kitti_y8_320_mono__c0.400000__f0.400000.npz,compared,True
kitti_y8_320_mono__c0.450000__f0.450000.npz,compared,True
kitti_y8_320_mono__c0.500000__f0.500000.npz,compared,True
kitti_y8_320_mono__c0.550000__f0.550000.npz,compared,True
kitti_y8_320_mono__c0.563965__f0.563965.npz,compared,True
kitti_y8_320_mono__c0.600000__f0.600000.npz,compared,True
kitti_y8_320_mono__c0.650000__f0.650000.npz,compared,True
kitti_y8_320_mono__c0.700000__f0.700000.npz,compared,True
kitti_y8_320_oracle__c0.100000__f0.100000.npz,compared,True
kitti_y8_320_oracle__c0.150000__f0.150000.npz,compared,True
kitti_y8_320_oracle__c0.200000__f0.200000.npz,compared,True
kitti_y8_320_oracle__c0.250000__f0.250000.npz,compared,True
kitti_y8_320_oracle__c0.300000__f0.300000.npz,compared,True
kitti_y8_320_oracle__c0.350000__f0.350000.npz,compared,True
kitti_y8_320_oracle__c0.400000__f0.400000.npz,compared,True
kitti_y8_320_oracle__c0.450000__f0.450000.npz,compared,True
kitti_y8_320_oracle__c0.500000__f0.500000.npz,compared,True
kitti_y8_320_oracle__c0.550000__f0.550000.npz,compared,True
kitti_y8_320_oracle__c0.563965__f0.563965.npz,compared,True
kitti_y8_320_oracle__c0.600000__f0.600000.npz,compared,True
kitti_y8_320_oracle__c0.650000__f0.650000.npz,compared,True
kitti_y8_320_oracle__c0.700000__f0.700000.npz,compared,True
kitti_y8_384_mono__c0.100000__f0.100000.npz,compared,True
kitti_y8_384_mono__c0.150000__f0.150000.npz,compared,True
kitti_y8_384_mono__c0.150000__f0.450000.npz,compared,True
kitti_y8_384_mono__c0.200000__f0.200000.npz,compared,True
kitti_y8_384_mono__c0.250000__f0.250000.npz,compared,True
kitti_y8_384_mono__c0.290000__f0.290000.npz,compared,True
kitti_y8_384_mono__c0.300000__f0.300000.npz,compared,True
kitti_y8_384_mono__c0.350000__f0.350000.npz,compared,True
kitti_y8_384_mono__c0.400000__f0.400000.npz,compared,True
kitti_y8_384_mono__c0.434082__f0.434082.npz,compared,True
kitti_y8_384_mono__c0.450000__f0.150000.npz,compared,True
kitti_y8_384_mono__c0.450000__f0.450000.npz,compared,True
kitti_y8_384_mono__c0.500000__f0.500000.npz,compared,True
kitti_y8_384_mono__c0.550000__f0.550000.npz,compared,True
kitti_y8_384_mono__c0.600000__f0.600000.npz,compared,True
kitti_y8_384_mono__c0.650000__f0.650000.npz,compared,True
kitti_y8_384_mono__c0.700000__f0.700000.npz,compared,True
kitti_y8_512_mono__c0.100000__f0.100000.npz,compared,True
kitti_y8_512_mono__c0.150000__f0.150000.npz,compared,True
kitti_y8_512_mono__c0.200000__f0.200000.npz,compared,True
kitti_y8_512_mono__c0.250000__f0.250000.npz,compared,True
kitti_y8_512_mono__c0.260000__f0.260000.npz,compared,True
kitti_y8_512_mono__c0.300000__f0.300000.npz,compared,True
kitti_y8_512_mono__c0.300781__f0.300781.npz,compared,True
kitti_y8_512_mono__c0.350000__f0.350000.npz,compared,True
kitti_y8_512_mono__c0.400000__f0.400000.npz,compared,True
kitti_y8_512_mono__c0.450000__f0.450000.npz,compared,True
kitti_y8_512_mono__c0.500000__f0.500000.npz,compared,True
kitti_y8_512_mono__c0.550000__f0.550000.npz,compared,True
kitti_y8_512_mono__c0.600000__f0.600000.npz,compared,True
kitti_y8_512_mono__c0.650000__f0.650000.npz,compared,True
kitti_y8_512_mono__c0.700000__f0.700000.npz,compared,True
nusc_mono__c0.100000__f0.100000.npz,compared,True
nusc_mono__c0.150000__f0.150000.npz,compared,True
nusc_mono__c0.150000__f0.450000.npz,compared,True
nusc_mono__c0.200000__f0.200000.npz,compared,True
nusc_mono__c0.250000__f0.250000.npz,compared,True
nusc_mono__c0.300000__f0.300000.npz,compared,True
nusc_mono__c0.340000__f0.340000.npz,compared,True
nusc_mono__c0.350000__f0.350000.npz,compared,True
nusc_mono__c0.400000__f0.400000.npz,compared,True
nusc_mono__c0.450000__f0.150000.npz,compared,True
nusc_mono__c0.450000__f0.450000.npz,compared,True
nusc_mono__c0.498047__f0.498047.npz,compared,True
nusc_mono__c0.500000__f0.500000.npz,compared,True
nusc_mono__c0.550000__f0.550000.npz,compared,True
nusc_mono__c0.600000__f0.600000.npz,compared,True
nusc_mono__c0.650000__f0.650000.npz,compared,True
nusc_mono__c0.700000__f0.700000.npz,compared,True
nusc_oracle__c0.100000__f0.100000.npz,compared,True
nusc_oracle__c0.150000__f0.150000.npz,compared,True
nusc_oracle__c0.200000__f0.200000.npz,compared,True
nusc_oracle__c0.250000__f0.250000.npz,compared,True
nusc_oracle__c0.300000__f0.300000.npz,compared,True
nusc_oracle__c0.340000__f0.340000.npz,compared,True
nusc_oracle__c0.350000__f0.350000.npz,compared,True
nusc_oracle__c0.400000__f0.400000.npz,compared,True
nusc_oracle__c0.450000__f0.450000.npz,compared,True
nusc_oracle__c0.498047__f0.498047.npz,compared,True
nusc_oracle__c0.500000__f0.500000.npz,compared,True
nusc_oracle__c0.550000__f0.550000.npz,compared,True
nusc_oracle__c0.600000__f0.600000.npz,compared,True
nusc_oracle__c0.650000__f0.650000.npz,compared,True
nusc_oracle__c0.700000__f0.700000.npz,compared,True
