spec,t_cheap,t_full,file,seconds
nusc_oracle,0.1,0.1,nusc_oracle__c0.100000__f0.100000.npz,33.89721751213074
nusc_oracle,0.15,0.15,nusc_oracle__c0.150000__f0.150000.npz,32.503645181655884
nusc_oracle,0.2,0.2,nusc_oracle__c0.200000__f0.200000.npz,31.852365493774414
nusc_oracle,0.25,0.25,nusc_oracle__c0.250000__f0.250000.npz,31.34776258468628
nusc_oracle,0.3,0.3,nusc_oracle__c0.300000__f0.300000.npz,30.961607217788696
nusc_oracle,0.34,0.34,nusc_oracle__c0.340000__f0.340000.npz,30.617197275161743
nusc_oracle,0.35,0.35,nusc_oracle__c0.350000__f0.350000.npz,30.633249282836914
nusc_oracle,0.4,0.4,nusc_oracle__c0.400000__f0.400000.npz,30.091686487197876
nusc_oracle,0.45,0.45,nusc_oracle__c0.450000__f0.450000.npz,29.80194091796875
nusc_oracle,0.498046875,0.498046875,nusc_oracle__c0.498047__f0.498047.npz,29.31244659423828
nusc_oracle,0.5,0.5,nusc_oracle__c0.500000__f0.500000.npz,29.230515718460083
nusc_oracle,0.55,0.55,nusc_oracle__c0.550000__f0.550000.npz,28.45623207092285
nusc_oracle,0.6,0.6,nusc_oracle__c0.600000__f0.600000.npz,27.904489278793335
nusc_oracle,0.65,0.65,nusc_oracle__c0.650000__f0.650000.npz,27.16018271446228
nusc_oracle,0.7,0.7,nusc_oracle__c0.700000__f0.700000.npz,26.0873703956604
nusc_mono,0.1,0.1,nusc_mono__c0.100000__f0.100000.npz,30.535455465316772
nusc_mono,0.15,0.15,nusc_mono__c0.150000__f0.150000.npz,29.704550743103027
nusc_mono,0.2,0.2,nusc_mono__c0.200000__f0.200000.npz,29.13151264190674
nusc_mono,0.25,0.25,nusc_mono__c0.250000__f0.250000.npz,28.736139059066772
nusc_mono,0.3,0.3,nusc_mono__c0.300000__f0.300000.npz,28.26899027824402
nusc_mono,0.34,0.34,nusc_mono__c0.340000__f0.340000.npz,28.150165796279907
nusc_mono,0.35,0.35,nusc_mono__c0.350000__f0.350000.npz,28.051745891571045
nusc_mono,0.4,0.4,nusc_mono__c0.400000__f0.400000.npz,27.798374891281128
nusc_mono,0.45,0.45,nusc_mono__c0.450000__f0.450000.npz,27.651865482330322
nusc_mono,0.498046875,0.498046875,nusc_mono__c0.498047__f0.498047.npz,27.079724073410034
nusc_mono,0.5,0.5,nusc_mono__c0.500000__f0.500000.npz,26.994436264038086
nusc_mono,0.55,0.55,nusc_mono__c0.550000__f0.550000.npz,26.367844581604004
nusc_mono,0.6,0.6,nusc_mono__c0.600000__f0.600000.npz,25.891683101654053
nusc_mono,0.65,0.65,nusc_mono__c0.650000__f0.650000.npz,25.261517763137817
nusc_mono,0.7,0.7,nusc_mono__c0.700000__f0.700000.npz,24.4538094997406
nusc_mono,0.15,0.45,nusc_mono__c0.150000__f0.450000.npz,28.799291372299194
nusc_mono,0.45,0.15,nusc_mono__c0.450000__f0.150000.npz,28.479886770248413
kitti_y8_320_mono,0.1,0.1,kitti_y8_320_mono__c0.100000__f0.100000.npz,171.15205645561218
kitti_y8_320_mono,0.15,0.15,kitti_y8_320_mono__c0.150000__f0.150000.npz,175.70271039009094
kitti_y8_320_mono,0.2,0.2,kitti_y8_320_mono__c0.200000__f0.200000.npz,163.36363744735718
kitti_y8_320_mono,0.25,0.25,kitti_y8_320_mono__c0.250000__f0.250000.npz,153.03462409973145
kitti_y8_320_mono,0.3,0.3,kitti_y8_320_mono__c0.300000__f0.300000.npz,154.36731791496277
kitti_y8_320_mono,0.35,0.35,kitti_y8_320_mono__c0.350000__f0.350000.npz,152.24057030677795
kitti_y8_320_mono,0.4,0.4,kitti_y8_320_mono__c0.400000__f0.400000.npz,149.15533709526062
kitti_y8_320_mono,0.45,0.45,kitti_y8_320_mono__c0.450000__f0.450000.npz,150.40605759620667
kitti_y8_320_mono,0.5,0.5,kitti_y8_320_mono__c0.500000__f0.500000.npz,148.0809211730957
kitti_y8_320_mono,0.55,0.55,kitti_y8_320_mono__c0.550000__f0.550000.npz,146.5051305294037
kitti_y8_320_mono,0.56396484375,0.56396484375,kitti_y8_320_mono__c0.563965__f0.563965.npz,147.81241059303284
kitti_y8_320_mono,0.6,0.6,kitti_y8_320_mono__c0.600000__f0.600000.npz,145.98015427589417
kitti_y8_320_mono,0.65,0.65,kitti_y8_320_mono__c0.650000__f0.650000.npz,143.40467500686646
kitti_y8_320_mono,0.7,0.7,kitti_y8_320_mono__c0.700000__f0.700000.npz,141.99965643882751
kitti_y8_320_oracle,0.1,0.1,kitti_y8_320_oracle__c0.100000__f0.100000.npz,172.5833420753479
kitti_y8_320_oracle,0.15,0.15,kitti_y8_320_oracle__c0.150000__f0.150000.npz,167.63474225997925
kitti_y8_320_oracle,0.2,0.2,kitti_y8_320_oracle__c0.200000__f0.200000.npz,165.55448722839355
kitti_y8_320_oracle,0.25,0.25,kitti_y8_320_oracle__c0.250000__f0.250000.npz,164.98649311065674
kitti_y8_320_oracle,0.3,0.3,kitti_y8_320_oracle__c0.300000__f0.300000.npz,165.21156930923462
kitti_y8_320_oracle,0.35,0.35,kitti_y8_320_oracle__c0.350000__f0.350000.npz,162.57704734802246
kitti_y8_320_oracle,0.4,0.4,kitti_y8_320_oracle__c0.400000__f0.400000.npz,160.60666728019714
kitti_y8_320_oracle,0.45,0.45,kitti_y8_320_oracle__c0.450000__f0.450000.npz,160.3850131034851
kitti_y8_320_oracle,0.5,0.5,kitti_y8_320_oracle__c0.500000__f0.500000.npz,159.889404296875
kitti_y8_320_oracle,0.55,0.55,kitti_y8_320_oracle__c0.550000__f0.550000.npz,158.62663173675537
kitti_y8_320_oracle,0.56396484375,0.56396484375,kitti_y8_320_oracle__c0.563965__f0.563965.npz,157.00944185256958
kitti_y8_320_oracle,0.6,0.6,kitti_y8_320_oracle__c0.600000__f0.600000.npz,156.32842874526978
kitti_y8_320_oracle,0.65,0.65,kitti_y8_320_oracle__c0.650000__f0.650000.npz,155.14935731887817
kitti_y8_320_oracle,0.7,0.7,kitti_y8_320_oracle__c0.700000__f0.700000.npz,151.5839078426361
kitti_y8_384_mono,0.1,0.1,kitti_y8_384_mono__c0.100000__f0.100000.npz,157.5945689678192
kitti_y8_384_mono,0.15,0.15,kitti_y8_384_mono__c0.150000__f0.150000.npz,165.94052982330322
kitti_y8_384_mono,0.2,0.2,kitti_y8_384_mono__c0.200000__f0.200000.npz,163.70792770385742
kitti_y8_384_mono,0.25,0.25,kitti_y8_384_mono__c0.250000__f0.250000.npz,153.28258538246155
kitti_y8_384_mono,0.29,0.29,kitti_y8_384_mono__c0.290000__f0.290000.npz,153.76870393753052
