table,frames,touched,touched_share,excluded_via_state,compared,differing_among_compared,differing_among_untouched_strict,moved_frames_total,ok,strict_ok,gated
core_matrix/KITTI__YOLOv8s__cheap_320tofull_640__oracle.pkl braking,8008,5839,0.7291458541458542,582,1587,0,7,334,True,False,True
core_matrix/KITTI__YOLOv8s__cheap_320tofull_640__oracle.pkl lateral,8008,5839,0.7291458541458542,582,1587,0,7,259,True,False,True
core_matrix/nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle.pkl braking,3376,2395,0.7094194312796208,342,639,0,2,115,True,False,True
core_matrix/nuScenes__YOLOv8s__ns_cheap_320tons_full_640__oracle.pkl lateral,3376,2395,0.7094194312796208,342,639,0,2,14,True,False,True
planner_b/planB__KITTI__YOLOv8s__cheap_320tofull_640__oracle.pkl cheap,8008,5839,0.7291458541458542,13,2156,0,13,215,True,False,True
planner_b/planB__KITTI__YOLOv8s__cheap_320tofull_640__oracle.pkl full,8008,5839,0.7291458541458542,5,2164,0,5,112,True,False,True
calibration_outcomes/nusc_oracle__c0.100000__f0.100000.npz braking,3376,3034,0.898696682464455,144,198,0,3,251,True,False,True
calibration_outcomes/nusc_oracle__c0.100000__f0.100000.npz lateral,3376,3034,0.898696682464455,144,198,0,0,38,True,True,True
calibration_outcomes/nusc_oracle__c0.150000__f0.150000.npz braking,3376,2835,0.8397511848341233,232,309,0,2,177,True,False,True
calibration_outcomes/nusc_oracle__c0.150000__f0.150000.npz lateral,3376,2835,0.8397511848341233,232,309,0,2,24,True,False,True
calibration_outcomes/nusc_oracle__c0.200000__f0.200000.npz braking,3376,2618,0.7754739336492891,297,461,0,2,141,True,False,True
calibration_outcomes/nusc_oracle__c0.200000__f0.200000.npz lateral,3376,2618,0.7754739336492891,297,461,0,2,18,True,False,True
calibration_outcomes/nusc_oracle__c0.250000__f0.250000.npz braking,3376,2395,0.7094194312796208,342,639,0,2,115,True,False,True
calibration_outcomes/nusc_oracle__c0.250000__f0.250000.npz lateral,3376,2395,0.7094194312796208,342,639,0,2,14,True,False,True
calibration_outcomes/nusc_oracle__c0.300000__f0.300000.npz braking,3376,2196,0.6504739336492891,380,800,0,5,98,True,False,True
calibration_outcomes/nusc_oracle__c0.300000__f0.300000.npz lateral,3376,2196,0.6504739336492891,380,800,0,2,11,True,False,True
calibration_outcomes/nusc_oracle__c0.340000__f0.340000.npz braking,3376,2023,0.5992298578199052,415,938,0,3,86,True,False,True
calibration_outcomes/nusc_oracle__c0.340000__f0.340000.npz lateral,3376,2023,0.5992298578199052,415,938,0,3,12,True,False,True
calibration_outcomes/nusc_oracle__c0.350000__f0.350000.npz braking,3376,1992,0.590047393364929,416,968,0,3,86,True,False,True
calibration_outcomes/nusc_oracle__c0.350000__f0.350000.npz lateral,3376,1992,0.590047393364929,416,968,0,3,12,True,False,True
calibration_outcomes/nusc_oracle__c0.400000__f0.400000.npz braking,3376,1794,0.5313981042654028,423,1159,0,3,73,True,False,True
calibration_outcomes/nusc_oracle__c0.400000__f0.400000.npz lateral,3376,1794,0.5313981042654028,423,1159,0,3,12,True,False,True
calibration_outcomes/nusc_oracle__c0.450000__f0.450000.npz braking,3376,1594,0.4721563981042654,433,1349,0,3,59,True,False,True
calibration_outcomes/nusc_oracle__c0.450000__f0.450000.npz lateral,3376,1594,0.4721563981042654,433,1349,0,3,10,True,False,True
calibration_outcomes/nusc_oracle__c0.498047__f0.498047.npz braking,3376,1402,0.4152843601895735,418,1556,0,3,42,True,False,True
calibration_outcomes/nusc_oracle__c0.498047__f0.498047.npz lateral,3376,1402,0.4152843601895735,418,1556,0,2,6,True,False,True
calibration_outcomes/nusc_oracle__c0.500000__f0.500000.npz braking,3376,1396,0.41350710900473936,418,1562,0,3,42,True,False,True
calibration_outcomes/nusc_oracle__c0.500000__f0.500000.npz lateral,3376,1396,0.41350710900473936,418,1562,0,2,6,True,False,True
calibration_outcomes/nusc_oracle__c0.550000__f0.550000.npz braking,3376,1192,0.35308056872037913,409,1775,0,3,35,True,False,True
calibration_outcomes/nusc_oracle__c0.550000__f0.550000.npz lateral,3376,1192,0.35308056872037913,409,1775,0,2,6,True,False,True
calibration_outcomes/nusc_oracle__c0.600000__f0.600000.npz braking,3376,1001,0.2965047393364929,389,1986,0,0,15,True,True,True
calibration_outcomes/nusc_oracle__c0.600000__f0.600000.npz lateral,3376,1001,0.2965047393364929,389,1986,0,2,6,True,False,True
calibration_outcomes/nusc_oracle__c0.650000__f0.650000.npz braking,3376,801,0.23726303317535544,350,2225,0,0,5,True,True,True
calibration_outcomes/nusc_oracle__c0.650000__f0.650000.npz lateral,3376,801,0.23726303317535544,350,2225,0,1,4,True,False,True
calibration_outcomes/nusc_oracle__c0.700000__f0.700000.npz braking,3376,583,0.17268957345971564,301,2492,0,2,5,True,False,True
calibration_outcomes/nusc_oracle__c0.700000__f0.700000.npz lateral,3376,583,0.17268957345971564,301,2492,0,2,4,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.100000__f0.100000.npz braking,8008,7265,0.9072177822177823,221,522,0,2,678,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.100000__f0.100000.npz lateral,8008,7265,0.9072177822177823,221,522,0,6,539,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.100000__f0.100000.npz Planner B,8008,7265,0.9072177822177823,221,522,1,14,714,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.150000__f0.150000.npz braking,8008,6847,0.85501998001998,343,818,0,2,509,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.150000__f0.150000.npz lateral,8008,6847,0.85501998001998,343,818,0,3,396,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.150000__f0.150000.npz Planner B,8008,6847,0.85501998001998,343,818,0,11,497,True,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.200000__f0.200000.npz braking,8008,6343,0.7920829170829171,487,1178,0,3,409,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.200000__f0.200000.npz lateral,8008,6343,0.7920829170829171,487,1178,0,11,305,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.200000__f0.200000.npz Planner B,8008,6343,0.7920829170829171,487,1178,0,16,366,True,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.250000__f0.250000.npz braking,8008,5839,0.7291458541458542,582,1587,0,7,334,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.250000__f0.250000.npz lateral,8008,5839,0.7291458541458542,582,1587,0,7,259,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.250000__f0.250000.npz Planner B,8008,5839,0.7291458541458542,582,1587,2,18,293,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.300000__f0.300000.npz braking,8008,5298,0.6615884115884116,666,2044,0,9,277,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.300000__f0.300000.npz lateral,8008,5298,0.6615884115884116,666,2044,0,11,225,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.300000__f0.300000.npz Planner B,8008,5298,0.6615884115884116,666,2044,2,20,223,False,False,False
calibration_outcomes/kitti_y8_320_oracle__c0.350000__f0.350000.npz braking,8008,4713,0.5885364635364635,680,2615,0,8,220,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.350000__f0.350000.npz lateral,8008,4713,0.5885364635364635,680,2615,0,8,192,True,False,True
calibration_outcomes/kitti_y8_320_oracle__c0.350000__f0.350000.npz Planner B,8008,4713,0.5885364635364635,680,2615,3,14,175,False,False,False
