task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
longitudinal,oracle,random,0.1,0.06290591164018182,-0.034944128788939585,0.15828240679421662,0.0154522475027281
longitudinal,oracle,random,0.2,0.12192626957352913,-0.043303182310104875,0.24949497730640294,0.02995004516127338
longitudinal,oracle,random,0.3,0.19127208175516355,-0.006256295501429276,0.3340424010089193,0.04698419386318726
longitudinal,oracle,random,0.5,0.32485199020677114,0.05585489089379593,0.4644886014878426,0.07979684617148843
longitudinal,oracle,uncertainty,0.1,-0.045992159758103036,-0.1718419192854487,0.10474474699865755,-0.0112975429055425
longitudinal,oracle,uncertainty,0.2,0.005350871117431965,-0.22553635695433635,0.19057353592609919,0.0013143913299389076
longitudinal,oracle,uncertainty,0.3,0.03198138099321331,-0.21017133906132382,0.25314171851177303,0.00785592644158599
longitudinal,oracle,uncertainty,0.5,0.19964723656539252,-0.09914218131571932,0.42708355493947053,0.049041472132065514
longitudinal,oracle,criticality,0.1,0.061498481002948975,-0.09748019976015583,0.26986407470849905,0.015106525360207672
longitudinal,oracle,criticality,0.2,0.18046904348474593,-0.07543128710706205,0.39796918918977175,0.044330528781743504
longitudinal,oracle,criticality,0.3,0.16258671608160305,-0.07584817550212725,0.4417772553202595,0.039937902687415074
longitudinal,oracle,criticality,0.5,0.40618508616772897,0.1196989409529528,0.6877059523864775,0.09977555876277173
longitudinal,oracle,perception_oracle_dE,0.1,0.10121622128723413,0.03377057060302621,0.17821684113696062,0.024862815939578644
longitudinal,oracle,perception_oracle_dE,0.2,0.16996351405375298,0.07108340922471312,0.27741768793896354,0.041749943957801385
longitudinal,oracle,perception_oracle_dE,0.3,0.324700933904962,0.16246342105083433,0.4637665669161005,0.07975974060697881
longitudinal,oracle,perception_oracle_dE,0.5,0.5574541693856628,0.2684034855177633,0.7386348058482689,0.13693339103081598
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.1,0.3930722871579988,0.18590724012099646,0.6427468034826593,0.09655452260784139
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.2,0.566994791077442,0.3126997307119859,0.743233377271484,0.13927695531384432
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.3,0.5659006460230807,0.30285270732515657,0.738544798131846,0.13900818883795912
longitudinal,oracle,best_dE_metric (E6_risk_weighted),0.5,0.5553253686136561,0.2607602504951742,0.7460882559053744,0.13641047107694576
longitudinal,oracle,multimetric_dE_oracle,0.1,0.4464222807430052,0.2317394165271041,0.6376138400174608,0.10965944841926378
longitudinal,oracle,multimetric_dE_oracle,0.2,0.5422739820312407,0.35862004489428334,0.6939283716027534,0.1332045203090938
