track,geometry,system,target,setting,quota,arch,eta,official,ok
nuScenes,oracle,brake,J,quota,0.1,gate_ridge,0.16582340188610034,0.1658234018861003,True
nuScenes,oracle,brake,J,quota,0.2,gate_ridge,0.2489158665201422,0.2489158665201422,True
nuScenes,oracle,brake,J,quota,0.3,gate_ridge,0.4647554568732055,0.4647554568732055,True
nuScenes,oracle,brake,J,quota,0.5,gate_ridge,0.6018691736469697,0.6018691736469697,True
nuScenes,oracle,brake,J,quota,0.1,gate_gbm,0.08969536020892861,0.0896953602089286,True
nuScenes,oracle,brake,J,quota,0.2,gate_gbm,0.16924508953666667,0.1692450895366666,True
nuScenes,oracle,brake,J,quota,0.3,gate_gbm,0.33430475246292357,0.3343047524629235,True
nuScenes,oracle,brake,J,quota,0.5,gate_gbm,0.5620120618103663,0.5620120618103663,True
nuScenes,oracle,brake,J,quota,0.1,R1_mlp_reg,0.12244794769846266,0.1224479476984626,True
nuScenes,oracle,brake,J,quota,0.2,R1_mlp_reg,0.3354129409324891,0.3354129409324891,True
nuScenes,oracle,brake,J,quota,0.3,R1_mlp_reg,0.404805566842622,0.404805566842622,True
nuScenes,oracle,brake,J,quota,0.5,R1_mlp_reg,0.48456343659651824,0.4845634365965182,True
nuScenes,oracle,brake,J,quota,0.1,R1_mlp_clf,0.027320160511008187,0.0273201605110081,True
nuScenes,oracle,brake,J,quota,0.2,R1_mlp_clf,0.1958776557537452,0.1958776557537452,True
nuScenes,oracle,brake,J,quota,0.3,R1_mlp_clf,0.21451302723075102,0.214513027230751,True
nuScenes,oracle,brake,J,quota,0.5,R1_mlp_clf,0.3575488983815698,0.3575488983815698,True
nuScenes,oracle,brake,J,quota,0.1,R1_gbm_reg,0.15171186948559157,0.1517118694855915,True
nuScenes,oracle,brake,J,quota,0.2,R1_gbm_reg,0.39445557456843444,0.3944555745684344,True
nuScenes,oracle,brake,J,quota,0.3,R1_gbm_reg,0.5074179273500434,0.5074179273500434,True
nuScenes,oracle,brake,J,quota,0.5,R1_gbm_reg,0.5790827561992901,0.5790827561992901,True
nuScenes,oracle,brake,J,quota,0.1,R1_gbm_clf,0.093269104620291,0.093269104620291,True
nuScenes,oracle,brake,J,quota,0.2,R1_gbm_clf,0.24695466232469712,0.2469546623246971,True
nuScenes,oracle,brake,J,quota,0.3,R1_gbm_clf,0.4250451923657248,0.4250451923657248,True
nuScenes,oracle,brake,J,quota,0.5,R1_gbm_clf,0.700806005545057,0.700806005545057,True
nuScenes,oracle,brake,J,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,oracle,brake,J,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,oracle,brake,J,budget_ms_20,0.2,R1_mlp_reg,0.28769496901657604,0.287694969016576,True
nuScenes,oracle,brake,J,budget_ms_20,0.2,R1_mlp_clf,0.23682826470959706,0.236828264709597,True
nuScenes,oracle,brake,J,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,oracle,brake,J,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,oracle,brake,J,budget_ms_20,0.2,gate_gbm_batched,0.08946358292098688,0.0894635829209868,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.1,gate_ridge,-0.009265096424390837,-0.0092650964243908,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.2,gate_ridge,-0.14951677306580266,-0.1495167730658026,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.3,gate_ridge,-0.07348990355950233,-0.0734899035595023,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.5,gate_ridge,-0.0341929079617905,-0.0341929079617905,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.1,gate_gbm,-0.18853269470414244,-0.1885326947041424,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.2,gate_gbm,-0.14108214615702183,-0.1410821461570218,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.3,gate_gbm,-0.0797258835987431,-0.0797258835987431,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.5,gate_gbm,0.037893313914468325,0.0378933139144683,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.1,R1_mlp_reg,-0.012594000353492958,-0.0125940003534929,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.2,R1_mlp_reg,-0.07867243592753685,-0.0786724359275368,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.3,R1_mlp_reg,-0.17668922369122764,-0.1766892236912276,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.5,R1_mlp_reg,-0.11926426027116616,-0.1192642602711661,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.1,R1_mlp_clf,-0.06952820996079574,-0.0695282099607957,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.2,R1_mlp_clf,-0.07391448789488352,-0.0739144878948835,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.3,R1_mlp_clf,0.09220658945288547,0.0922065894528854,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.5,R1_mlp_clf,0.12386537931883569,0.1238653793188356,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.1,R1_gbm_reg,-0.11261958935835159,-0.1126195893583515,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.2,R1_gbm_reg,-0.08348500647360639,-0.0834850064736063,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.3,R1_gbm_reg,-0.17087043458068965,-0.1708704345806896,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.5,R1_gbm_reg,-0.11311368626798829,-0.1131136862679882,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.1,R1_gbm_clf,-0.02881496074662096,-0.0288149607466209,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.2,R1_gbm_clf,0.031370783877119605,0.0313707838771196,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.3,R1_gbm_clf,-0.0660281631283882,-0.0660281631283882,True
nuScenes,oracle,plan_ade,JC_ade,quota,0.5,R1_gbm_clf,-0.03697542699215782,-0.0369754269921578,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_reg,-0.06027282173244855,-0.0602728217324485,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_mlp_clf,-0.105665939698093,-0.105665939698093,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,oracle,plan_ade,JC_ade,budget_ms_20,0.2,gate_gbm_batched,-0.005051854785565899,-0.0050518547855658,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,gate_ridge,0.03540876796386835,0.0354087679638683,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,gate_ridge,0.029979351467357293,0.0299793514673572,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,gate_ridge,-0.03659351943047838,-0.0365935194304783,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,gate_ridge,0.0669723709760428,0.0669723709760428,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,gate_gbm,-0.01328344100306386,-0.0132834410030638,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,gate_gbm,0.12469626769972209,0.124696267699722,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,gate_gbm,0.11220797010038654,0.1122079701003865,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,gate_gbm,0.12273991433807198,0.1227399143380719,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_mlp_reg,0.07267983790388434,0.0726798379038843,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_mlp_reg,0.036766717039598974,0.0367667170395989,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_mlp_reg,0.11473647675225888,0.1147364767522588,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_mlp_reg,0.13417540227546623,0.1341754022754662,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_mlp_clf,-0.042341238301168004,-0.042341238301168,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_mlp_clf,-0.04735201316023637,-0.0473520131602363,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_mlp_clf,-0.08304459415173075,-0.0830445941517307,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_mlp_clf,-0.016724703653004415,-0.0167247036530044,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_gbm_reg,-0.0039883128803981285,-0.0039883128803981,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_gbm_reg,-0.09308908145973095,-0.0930890814597309,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_gbm_reg,-0.08452799021485752,-0.0845279902148575,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_gbm_reg,-0.022988671235518066,-0.022988671235518,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.1,R1_gbm_clf,-0.017443552585882666,-0.0174435525858826,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.2,R1_gbm_clf,0.06495945197443771,0.0649594519744377,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.3,R1_gbm_clf,0.046591408739189585,0.0465914087391895,True
nuScenes,oracle,plan_fde,JC_fde,quota,0.5,R1_gbm_clf,0.1282777718760875,0.1282777718760875,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_reg,0.0026061388921204344,0.0026061388921204,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_mlp_clf,-0.039837785583079655,-0.0398377855830796,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,oracle,plan_fde,JC_fde,budget_ms_20,0.2,gate_gbm_batched,-0.006832825012601222,-0.0068328250126012,True
nuScenes,mono,brake,J,quota,0.1,gate_ridge,0.25354712535739377,0.2535471253573937,True
nuScenes,mono,brake,J,quota,0.2,gate_ridge,0.29824029841939104,0.298240298419391,True
nuScenes,mono,brake,J,quota,0.3,gate_ridge,0.2869807574085317,0.2869807574085317,True
nuScenes,mono,brake,J,quota,0.5,gate_ridge,0.3125981169886264,0.3125981169886264,True
nuScenes,mono,brake,J,quota,0.1,gate_gbm,0.24684134110422165,0.2468413411042216,True
nuScenes,mono,brake,J,quota,0.2,gate_gbm,0.39691477624114474,0.3969147762411447,True
nuScenes,mono,brake,J,quota,0.3,gate_gbm,0.4532166666028495,0.4532166666028495,True
nuScenes,mono,brake,J,quota,0.5,gate_gbm,0.5803771463800486,0.5803771463800486,True
nuScenes,mono,brake,J,quota,0.1,R1_mlp_reg,0.12435328566754772,0.1243532856675477,True
nuScenes,mono,brake,J,quota,0.2,R1_mlp_reg,0.30948627394900996,0.3094862739490099,True
nuScenes,mono,brake,J,quota,0.3,R1_mlp_reg,0.379525885455376,0.379525885455376,True
nuScenes,mono,brake,J,quota,0.5,R1_mlp_reg,0.4593847770802444,0.4593847770802444,True
nuScenes,mono,brake,J,quota,0.1,R1_mlp_clf,0.13844807809859735,0.1384480780985973,True
nuScenes,mono,brake,J,quota,0.2,R1_mlp_clf,0.25063237050992715,0.2506323705099271,True
nuScenes,mono,brake,J,quota,0.3,R1_mlp_clf,0.34028534538552363,0.3402853453855236,True
nuScenes,mono,brake,J,quota,0.5,R1_mlp_clf,0.3389171404874944,0.3389171404874944,True
nuScenes,mono,brake,J,quota,0.1,R1_gbm_reg,0.08380121095107769,0.0838012109510776,True
nuScenes,mono,brake,J,quota,0.2,R1_gbm_reg,0.37977490888515203,0.379774908885152,True
nuScenes,mono,brake,J,quota,0.3,R1_gbm_reg,0.33915880749194344,0.3391588074919434,True
nuScenes,mono,brake,J,quota,0.5,R1_gbm_reg,0.5301900932103388,0.5301900932103388,True
nuScenes,mono,brake,J,quota,0.1,R1_gbm_clf,0.2602057047748347,0.2602057047748347,True
nuScenes,mono,brake,J,quota,0.2,R1_gbm_clf,0.3273581565920526,0.3273581565920526,True
nuScenes,mono,brake,J,quota,0.3,R1_gbm_clf,0.33367113716952496,0.3336711371695249,True
nuScenes,mono,brake,J,quota,0.5,R1_gbm_clf,0.265016786247473,0.265016786247473,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_ridge,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_gbm,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_mlp_reg,0.2545628687662854,0.2545628687662854,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_mlp_clf,0.19169819628882492,0.1916981962888249,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_gbm_reg,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,R1_gbm_clf,,,True
nuScenes,mono,brake,J,budget_ms_20,0.2,gate_gbm_batched,0.23596247137340184,0.2359624713734018,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,gate_ridge,-0.00793687566485962,-0.0079368756648596,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,gate_ridge,0.06265610014561854,0.0626561001456185,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,gate_ridge,0.1400342414642978,0.1400342414642978,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,gate_ridge,0.21993989649742204,0.219939896497422,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,gate_gbm,0.029882728307911867,0.0298827283079118,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,gate_gbm,0.042025999851251584,0.0420259998512515,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,gate_gbm,0.10217229219816593,0.1021722921981659,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,gate_gbm,0.25465665751756117,0.2546566575175611,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_mlp_reg,0.1700913752235117,0.1700913752235117,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_mlp_reg,0.2500761136602585,0.2500761136602585,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_mlp_reg,0.2698323484937942,0.2698323484937942,True
nuScenes,mono,plan_ade,JC_ade,quota,0.5,R1_mlp_reg,0.2705258042022175,0.2705258042022175,True
nuScenes,mono,plan_ade,JC_ade,quota,0.1,R1_mlp_clf,0.07113486666854715,0.0711348666685471,True
nuScenes,mono,plan_ade,JC_ade,quota,0.2,R1_mlp_clf,0.10173376493569976,0.1017337649356997,True
nuScenes,mono,plan_ade,JC_ade,quota,0.3,R1_mlp_clf,0.1204799729084085,0.1204799729084085,True
