cell,g_variant,arch,constant,n_distinct_test,tie_frac_20,eta20_recomputed,eta20_in_122,matches_122
nuScenes|oracle|brake|J,primary,gate_ridge,False,955,0.005235602094240838,0.2193866547550158,0.2193866547550158,True
nuScenes|oracle|brake|J,primary,gate_gbm,False,947,0.005235602094240838,0.16569799862406698,0.1656979986240669,True
nuScenes|oracle|brake|J,primary,R1_mlp_reg,False,812,0.005235602094240838,0.37958847580884897,0.3795884758088489,True
nuScenes|oracle|brake|J,primary,R1_mlp_clf,False,807,0.005235602094240838,0.31076210699328605,0.310762106993286,True
nuScenes|oracle|brake|J,primary,R1_gbm_reg,False,756,0.005235602094240838,0.23892579883938464,0.2389257988393846,True
nuScenes|oracle|brake|J,primary,R1_gbm_clf,False,782,0.005235602094240838,0.2606048885354658,0.2606048885354658,True
nuScenes|oracle|brake|J,dE_exact,gate_ridge,False,955,0.005235602094240838,0.14491740851169815,0.1449174085116981,True
nuScenes|oracle|brake|J,dE_exact,gate_gbm,False,934,0.005235602094240838,-0.03897278902097378,-0.0389727890209737,True
nuScenes|oracle|brake|J,dE_exact,R1_mlp_reg,False,812,0.005235602094240838,0.20247584579505834,0.2024758457950583,True
nuScenes|oracle|brake|J,dE_exact,R1_mlp_clf,False,780,0.005235602094240838,0.21446793819633755,0.2144679381963375,True
nuScenes|oracle|brake|J,dE_exact,R1_gbm_reg,False,742,0.005235602094240838,0.03137774974012464,0.0313777497401246,True
nuScenes|oracle|brake|J,dE_exact,R1_gbm_clf,False,777,0.005235602094240838,0.43739861244159217,0.4373986124415921,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,gate_ridge,False,955,0.005235602094240838,0.4595587758768474,0.4595587758768474,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,gate_gbm,False,941,0.005235602094240838,0.4535148722596239,0.4535148722596239,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_mlp_reg,False,812,0.005235602094240838,0.32794010233374055,0.3279401023337405,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_mlp_clf,False,783,0.005235602094240838,0.15633002821768144,0.1563300282176814,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_gbm_reg,False,698,0.005235602094240838,0.2115050565025532,0.2115050565025532,True
nuScenes|oracle|brake|J,dE_E6_risk_weighted,R1_gbm_clf,False,767,0.005235602094240838,0.25960762022007705,0.259607620220077,True
nuScenes|oracle|brake|J,V (official),gate_ridge,False,955,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),gate_gbm,False,935,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),R1_mlp_reg,False,812,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),R1_mlp_clf,False,604,0.11518324607329843,,,
nuScenes|oracle|brake|J,V (official),R1_gbm_reg,False,755,0.005235602094240838,,,
nuScenes|oracle|brake|J,V (official),R1_gbm_clf,False,792,0.005235602094240838,,,
nuScenes|oracle|plan_ade|JC_ade,primary,gate_ridge,False,752,0.006666666666666667,0.07288727627896004,0.07288727627896,True
nuScenes|oracle|plan_ade|JC_ade,primary,gate_gbm,False,743,0.006666666666666667,0.006932198104955524,0.0069321981049555,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_mlp_reg,False,653,0.006666666666666667,0.04344831909231545,0.0434483190923154,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_mlp_clf,False,644,0.006666666666666667,-0.012271112746752744,-0.0122711127467527,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_gbm_reg,False,621,0.006666666666666667,0.12501631182804201,0.125016311828042,True
nuScenes|oracle|plan_ade|JC_ade,primary,R1_gbm_clf,False,631,0.006666666666666667,0.016936955105457323,0.0169369551054573,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,gate_ridge,False,752,0.006666666666666667,0.025686989709015357,0.0256869897090153,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,gate_gbm,False,743,0.006666666666666667,0.05160103707677637,0.0516010370767763,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.12059247042122624,0.1205924704212262,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_mlp_clf,False,616,0.006666666666666667,0.056170295228233,0.056170295228233,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_gbm_reg,False,608,0.006666666666666667,0.04409663111963694,0.0440966311196369,True
nuScenes|oracle|plan_ade|JC_ade,dE_exact,R1_gbm_clf,False,632,0.006666666666666667,0.1454370697696788,0.1454370697696788,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,gate_ridge,False,752,0.006666666666666667,0.07870657446828752,0.0787065744682875,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,gate_gbm,False,743,0.006666666666666667,-0.052956986579418,-0.052956986579418,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_reg,False,653,0.006666666666666667,0.1243790656548621,0.1243790656548621,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_clf,False,640,0.006666666666666667,0.023072758366928257,0.0230727583669282,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_reg,False,586,0.006666666666666667,0.11872617685245837,0.1187261768524583,True
nuScenes|oracle|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_clf,False,623,0.006666666666666667,0.10956416705145493,0.1095641670514549,True
nuScenes|oracle|plan_ade|JC_ade,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),gate_gbm,False,731,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_mlp_clf,False,642,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_gbm_reg,False,626,0.006666666666666667,,,
nuScenes|oracle|plan_ade|JC_ade,V (official),R1_gbm_clf,False,637,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,primary,gate_ridge,False,752,0.006666666666666667,0.18803718468860117,0.1880371846886011,True
nuScenes|oracle|plan_fde|JC_fde,primary,gate_gbm,False,743,0.006666666666666667,0.16839146394786814,0.1683914639478681,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_mlp_reg,False,653,0.006666666666666667,0.22026728197036213,0.2202672819703621,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_mlp_clf,False,644,0.006666666666666667,0.08633138647495005,0.08633138647495,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_gbm_reg,False,621,0.006666666666666667,0.1997210671151029,0.1997210671151029,True
nuScenes|oracle|plan_fde|JC_fde,primary,R1_gbm_clf,False,631,0.006666666666666667,0.17633217200402002,0.17633217200402,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,gate_ridge,False,752,0.006666666666666667,0.11747114066145262,0.1174711406614526,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,gate_gbm,False,743,0.006666666666666667,0.1778159049045727,0.1778159049045727,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.21255005997795356,0.2125500599779535,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,R1_mlp_clf,False,616,0.006666666666666667,0.08324742704602811,0.0832474270460281,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,R1_gbm_reg,False,608,0.006666666666666667,0.16841009685851743,0.1684100968585174,True
nuScenes|oracle|plan_fde|JC_fde,dE_exact,R1_gbm_clf,False,632,0.006666666666666667,0.22002530524631433,0.2200253052463143,True
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,gate_ridge,False,752,0.006666666666666667,0.20296839238811992,0.2029683923881199,True
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,gate_gbm,False,743,0.006666666666666667,0.10952018187725601,0.109520181877256,True
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,R1_mlp_reg,False,653,0.006666666666666667,0.26087188117929444,0.2608718811792944,True
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,R1_mlp_clf,False,640,0.006666666666666667,0.06733944575290676,0.0673394457529067,True
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,R1_gbm_reg,False,586,0.006666666666666667,0.10983868787395895,0.1098386878739589,True
nuScenes|oracle|plan_fde|JC_fde,dE_E6_risk_weighted,R1_gbm_clf,False,623,0.006666666666666667,0.13369540145074804,0.133695401450748,True
nuScenes|oracle|plan_fde|JC_fde,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),gate_gbm,False,740,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_mlp_clf,False,627,0.10666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_gbm_reg,False,607,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_gbm_clf,False,638,0.006666666666666667,,,
nuScenes|mono|brake|J,primary,gate_ridge,False,955,0.005235602094240838,0.14248551088131406,0.142485510881314,True
nuScenes|mono|brake|J,primary,gate_gbm,False,947,0.005235602094240838,0.12383596648792221,0.1238359664879222,True
nuScenes|mono|brake|J,primary,R1_mlp_reg,False,812,0.005235602094240838,0.19098630334364927,0.1909863033436492,True
nuScenes|mono|brake|J,primary,R1_mlp_clf,False,807,0.005235602094240838,0.17854443681731935,0.1785444368173193,True
nuScenes|mono|brake|J,primary,R1_gbm_reg,False,756,0.005235602094240838,0.1808588453464277,0.1808588453464277,True
nuScenes|mono|brake|J,primary,R1_gbm_clf,False,782,0.005235602094240838,0.08200029859914819,0.0820002985991481,True
nuScenes|mono|brake|J,dE_exact,gate_ridge,False,955,0.005235602094240838,0.15460523955232894,0.1546052395523289,True
