cell,t_cheap,t_full,affected,harm_rate,rho
nuScenes oracle Y8 320->640 q_brake,0.15,0.15,312,0.3525641025641026,0.4114867585954026
nuScenes oracle Y8 320->640 q_brake,0.15,0.25,292,0.3219178082191781,0.35743238805260186
nuScenes oracle Y8 320->640 q_brake,0.15,0.35,281,0.3202846975088968,0.358335227892448
nuScenes oracle Y8 320->640 q_brake,0.15,0.45,264,0.3068181818181818,0.4108574610597053
nuScenes oracle Y8 320->640 q_brake,0.15,0.55,274,0.34306569343065696,0.6154391694694864
nuScenes oracle Y8 320->640 q_brake,0.25,0.15,260,0.4346153846153846,0.4850199533229368
nuScenes oracle Y8 320->640 q_brake,0.25,0.25,240,0.4041666666666667,0.42140513212355013
nuScenes oracle Y8 320->640 q_brake,0.25,0.35,226,0.39823008849557523,0.4195725381102913
nuScenes oracle Y8 320->640 q_brake,0.25,0.45,208,0.3894230769230769,0.4897250866335438
nuScenes oracle Y8 320->640 q_brake,0.25,0.55,188,0.42021276595744683,0.7269632205604089
nuScenes oracle Y8 320->640 q_brake,0.35,0.15,251,0.4900398406374502,0.4026090584697588
nuScenes oracle Y8 320->640 q_brake,0.35,0.25,222,0.46396396396396394,0.33316512780516605
nuScenes oracle Y8 320->640 q_brake,0.35,0.35,207,0.463768115942029,0.32345737983118344
nuScenes oracle Y8 320->640 q_brake,0.35,0.45,186,0.45698924731182794,0.35420307398903633
nuScenes oracle Y8 320->640 q_brake,0.35,0.55,165,0.509090909090909,0.47218749603784355
nuScenes oracle Y8 320->640 q_brake,0.45,0.15,278,0.4784172661870504,0.3686209656786079
nuScenes oracle Y8 320->640 q_brake,0.45,0.25,247,0.4574898785425101,0.3041819423262837
nuScenes oracle Y8 320->640 q_brake,0.45,0.35,225,0.4577777777777778,0.2862863182432467
nuScenes oracle Y8 320->640 q_brake,0.45,0.45,200,0.45,0.27914037405587266
nuScenes oracle Y8 320->640 q_brake,0.45,0.55,172,0.4941860465116279,0.3480497794654151
nuScenes oracle Y8 320->640 q_brake,0.55,0.15,317,0.45110410094637227,0.3029807702326222
nuScenes oracle Y8 320->640 q_brake,0.55,0.25,287,0.43205574912891986,0.24919162830734026
nuScenes oracle Y8 320->640 q_brake,0.55,0.35,266,0.42857142857142855,0.23196104887016342
nuScenes oracle Y8 320->640 q_brake,0.55,0.45,242,0.4214876033057851,0.21900267504193818
nuScenes oracle Y8 320->640 q_brake,0.55,0.55,203,0.45320197044334976,0.2354972916051571
nuScenes oracle Y8 320->640 q_plan,0.15,0.15,1382,0.4869753979739508,0.7518397928181331
nuScenes oracle Y8 320->640 q_plan,0.15,0.25,1282,0.48829953198127923,0.7216094894749102
nuScenes oracle Y8 320->640 q_plan,0.15,0.35,1236,0.48705501618122976,0.7237032170828834
nuScenes oracle Y8 320->640 q_plan,0.15,0.45,1214,0.4901153212520593,0.783981003519816
nuScenes oracle Y8 320->640 q_plan,0.15,0.55,1215,0.4773662551440329,0.8396835716183005
nuScenes oracle Y8 320->640 q_plan,0.25,0.15,1300,0.5092307692307693,0.7536217896601556
nuScenes oracle Y8 320->640 q_plan,0.25,0.25,1179,0.5089058524173028,0.7035475557548901
nuScenes oracle Y8 320->640 q_plan,0.25,0.35,1095,0.5068493150684932,0.6929359647051498
nuScenes oracle Y8 320->640 q_plan,0.25,0.45,1044,0.5038314176245211,0.7594206003643746
nuScenes oracle Y8 320->640 q_plan,0.25,0.55,1014,0.48520710059171596,0.8193032430405102
nuScenes oracle Y8 320->640 q_plan,0.35,0.15,1305,0.4957854406130268,0.6757634561989094
nuScenes oracle Y8 320->640 q_plan,0.35,0.25,1185,0.4835443037974684,0.6137663659064991
nuScenes oracle Y8 320->640 q_plan,0.35,0.35,1086,0.4732965009208103,0.5785059264802032
nuScenes oracle Y8 320->640 q_plan,0.35,0.45,1014,0.46153846153846156,0.6037663022823164
nuScenes oracle Y8 320->640 q_plan,0.35,0.55,948,0.45042194092827004,0.6449437416757816
nuScenes oracle Y8 320->640 q_plan,0.45,0.15,1366,0.4978038067349927,0.6443574304570208
nuScenes oracle Y8 320->640 q_plan,0.45,0.25,1244,0.48231511254019294,0.5945782264219736
nuScenes oracle Y8 320->640 q_plan,0.45,0.35,1140,0.4780701754385965,0.5570471167613683
nuScenes oracle Y8 320->640 q_plan,0.45,0.45,1052,0.4781368821292776,0.5685307755751198
nuScenes oracle Y8 320->640 q_plan,0.45,0.55,968,0.4669421487603306,0.584272807611332
nuScenes oracle Y8 320->640 q_plan,0.55,0.15,1482,0.4966261808367072,0.5706231333969277
nuScenes oracle Y8 320->640 q_plan,0.55,0.25,1382,0.48986975397973953,0.531656101786497
nuScenes oracle Y8 320->640 q_plan,0.55,0.35,1297,0.4865073245952197,0.49838723665213985
nuScenes oracle Y8 320->640 q_plan,0.55,0.45,1218,0.4852216748768473,0.5000154054689049
nuScenes oracle Y8 320->640 q_plan,0.55,0.55,1112,0.4748201438848921,0.4917287945179841
nuScenes mono Y8 320->640 q_brake,0.15,0.15,532,0.39849624060150374,0.42295041106219766
nuScenes mono Y8 320->640 q_brake,0.15,0.25,504,0.36507936507936506,0.33181229681690516
nuScenes mono Y8 320->640 q_brake,0.15,0.35,479,0.3465553235908142,0.3019136604727105
nuScenes mono Y8 320->640 q_brake,0.15,0.45,451,0.3237250554323725,0.28807509093084477
nuScenes mono Y8 320->640 q_brake,0.15,0.55,458,0.3165938864628821,0.327868886865476
nuScenes mono Y8 320->640 q_brake,0.25,0.15,486,0.4588477366255144,0.5207958705779819
nuScenes mono Y8 320->640 q_brake,0.25,0.25,454,0.42290748898678415,0.41219725678313957
nuScenes mono Y8 320->640 q_brake,0.25,0.35,424,0.4033018867924528,0.37437809734275523
nuScenes mono Y8 320->640 q_brake,0.25,0.45,395,0.3822784810126582,0.352046947529546
nuScenes mono Y8 320->640 q_brake,0.25,0.55,379,0.36939313984168864,0.3746541218021079
nuScenes mono Y8 320->640 q_brake,0.35,0.15,460,0.5173913043478261,0.6178889689934336
nuScenes mono Y8 320->640 q_brake,0.35,0.25,421,0.4845605700712589,0.49120193018392794
nuScenes mono Y8 320->640 q_brake,0.35,0.35,384,0.4661458333333333,0.44534886878490365
nuScenes mono Y8 320->640 q_brake,0.35,0.45,353,0.4475920679886686,0.4260142122618084
nuScenes mono Y8 320->640 q_brake,0.35,0.55,329,0.43465045592705165,0.43893938212817624
nuScenes mono Y8 320->640 q_brake,0.45,0.15,470,0.551063829787234,0.6714463347053419
nuScenes mono Y8 320->640 q_brake,0.45,0.25,428,0.5257009345794392,0.5381741295607029
nuScenes mono Y8 320->640 q_brake,0.45,0.35,390,0.5102564102564102,0.4923480476267605
nuScenes mono Y8 320->640 q_brake,0.45,0.45,361,0.4930747922437673,0.4742230068410609
nuScenes mono Y8 320->640 q_brake,0.45,0.55,320,0.4875,0.4805207102364533
nuScenes mono Y8 320->640 q_brake,0.55,0.15,471,0.5711252653927813,0.6503674635490121
nuScenes mono Y8 320->640 q_brake,0.55,0.25,427,0.5480093676814989,0.5224034934848026
nuScenes mono Y8 320->640 q_brake,0.55,0.35,390,0.5333333333333333,0.480329208471431
nuScenes mono Y8 320->640 q_brake,0.55,0.45,356,0.5224719101123596,0.46017482053192665
nuScenes mono Y8 320->640 q_brake,0.55,0.55,310,0.5258064516129032,0.45902609221156077
nuScenes mono Y8 320->640 q_plan,0.15,0.15,1734,0.48212226066897346,0.7919522558775998
nuScenes mono Y8 320->640 q_plan,0.15,0.25,1685,0.4771513353115727,0.7663542025783159
nuScenes mono Y8 320->640 q_plan,0.15,0.35,1650,0.47333333333333333,0.7717802593465977
nuScenes mono Y8 320->640 q_plan,0.15,0.45,1634,0.4749082007343941,0.8209446938267358
nuScenes mono Y8 320->640 q_plan,0.15,0.55,1618,0.48763906056860323,0.946712750415353
nuScenes mono Y8 320->640 q_plan,0.25,0.15,1679,0.49791542584871945,0.7523105329379043
nuScenes mono Y8 320->640 q_plan,0.25,0.25,1612,0.49255583126550867,0.7133887667149573
nuScenes mono Y8 320->640 q_plan,0.25,0.35,1565,0.49201277955271566,0.7093000137100861
nuScenes mono Y8 320->640 q_plan,0.25,0.45,1541,0.49318624269954575,0.7555056961374028
nuScenes mono Y8 320->640 q_plan,0.25,0.55,1499,0.5030020013342228,0.892327037228872
nuScenes mono Y8 320->640 q_plan,0.35,0.15,1670,0.48922155688622754,0.7051580583363632
nuScenes mono Y8 320->640 q_plan,0.35,0.25,1599,0.482801751094434,0.6591866631487968
nuScenes mono Y8 320->640 q_plan,0.35,0.35,1551,0.4796905222437137,0.646961552653521
nuScenes mono Y8 320->640 q_plan,0.35,0.45,1511,0.4738583719391132,0.681830883095647
nuScenes mono Y8 320->640 q_plan,0.35,0.55,1460,0.4808219178082192,0.7935745632015448
nuScenes mono Y8 320->640 q_plan,0.45,0.15,1681,0.48483045806067815,0.6671438696574155
nuScenes mono Y8 320->640 q_plan,0.45,0.25,1615,0.47306501547987617,0.6264404360133204
nuScenes mono Y8 320->640 q_plan,0.45,0.35,1561,0.4727738629083921,0.6114152284488125
nuScenes mono Y8 320->640 q_plan,0.45,0.45,1513,0.47719762062128224,0.6324006907817465
nuScenes mono Y8 320->640 q_plan,0.45,0.55,1458,0.48148148148148145,0.7151495623602635
nuScenes mono Y8 320->640 q_plan,0.55,0.15,1716,0.48484848484848486,0.5907862969147144
nuScenes mono Y8 320->640 q_plan,0.55,0.25,1650,0.47575757575757577,0.552974646798606
nuScenes mono Y8 320->640 q_plan,0.55,0.35,1599,0.4815509693558474,0.5351009050085271
nuScenes mono Y8 320->640 q_plan,0.55,0.45,1555,0.4855305466237942,0.5415501161144617
nuScenes mono Y8 320->640 q_plan,0.55,0.55,1491,0.4842387659289068,0.5841449086742222
KITTI mono Y8 320->640 q_traj,0.15,0.15,989,0.40040444893832156,0.479026708796502
KITTI mono Y8 320->640 q_traj,0.15,0.25,957,0.37513061650992685,0.4782008553086967
KITTI mono Y8 320->640 q_traj,0.15,0.35,941,0.3687566418703507,0.483071336091167
KITTI mono Y8 320->640 q_traj,0.15,0.45,936,0.37072649572649574,0.5122447420974513
KITTI mono Y8 320->640 q_traj,0.15,0.55,943,0.37751855779427357,0.5630944314056627
KITTI mono Y8 320->640 q_traj,0.25,0.15,993,0.4431017119838872,0.2766822996567155
KITTI mono Y8 320->640 q_traj,0.25,0.25,957,0.41901776384535006,0.27557156420120077
KITTI mono Y8 320->640 q_traj,0.25,0.35,942,0.4140127388535032,0.27760879301771757
KITTI mono Y8 320->640 q_traj,0.25,0.45,938,0.4157782515991471,0.2968605116634413
KITTI mono Y8 320->640 q_traj,0.25,0.55,940,0.4223404255319149,0.32759170681451155
KITTI mono Y8 320->640 q_traj,0.35,0.15,1054,0.4781783681214421,0.1621657205706636
KITTI mono Y8 320->640 q_traj,0.35,0.25,1016,0.4566929133858268,0.1610082754038597
KITTI mono Y8 320->640 q_traj,0.35,0.35,1002,0.45209580838323354,0.1619888697019342
KITTI mono Y8 320->640 q_traj,0.35,0.45,997,0.4543630892678034,0.17702351307083877
KITTI mono Y8 320->640 q_traj,0.35,0.55,995,0.4592964824120603,0.20043450676141175
KITTI mono Y8 320->640 q_traj,0.45,0.15,1137,0.48284960422163586,0.09962238585381858
KITTI mono Y8 320->640 q_traj,0.45,0.25,1099,0.4640582347588717,0.09852035222756066
KITTI mono Y8 320->640 q_traj,0.45,0.35,1084,0.45940959409594095,0.09898454856918894
KITTI mono Y8 320->640 q_traj,0.45,0.45,1079,0.46153846153846156,0.11071486794225623
KITTI mono Y8 320->640 q_traj,0.45,0.55,1078,0.46660482374768086,0.12607646684487092
KITTI mono Y8 320->640 q_traj,0.55,0.15,1232,0.5089285714285714,0.07071203984743307
KITTI mono Y8 320->640 q_traj,0.55,0.25,1194,0.49246231155778897,0.06974669170726566
KITTI mono Y8 320->640 q_traj,0.55,0.35,1179,0.48854961832061067,0.07000593321852668
KITTI mono Y8 320->640 q_traj,0.55,0.45,1172,0.48976109215017066,0.07110337275439307
KITTI mono Y8 320->640 q_traj,0.55,0.55,1170,0.49401709401709404,0.07894823470551655
KITTI mono Y8 320->640 q_brake,0.15,0.15,3133,0.3925949569103096,0.2717938159138359
KITTI mono Y8 320->640 q_brake,0.15,0.25,2966,0.3607552258934592,0.24041268948164485
