section,track,geometry,system,target,split,n_inputs,n_affected,n_harmed,harmed_over_affected,harmed_over_all_inputs,signal,quota,ndg_recomputed,ndg_released,matches_3dp,trivial,n_test_frames,n_test_units,all_cheap_loss,gain,gain_random,delta_vs_random,delta_share_all_cheap,ndg,oracle_prize,undefined_reason,delta_lo_all_draws,delta_hi_all_draws,delta_share_lo_all_draws,delta_share_hi_all_draws,delta_lo_filtered,delta_hi_filtered,draws_dropped_by_filter,beats_random_all_draws,beats_random_filtered,available,ndg_full,ndg_min_leave_one_out,ndg_max_leave_one_out,gain_full,gain_min_leave_one_out,gain_max_leave_one_out,most_influential_unit,ndg_without_that_unit,gain_without_that_unit,ndg_change_without_that_unit
harm,nuScenes,oracle,brake,J,test,955.0,46.0,15.0,0.32608695652173914,0.015706806282722512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,brake,J,all,3376.0,240.0,97.0,0.4041666666666667,0.028732227488151657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_ade,JC_ade,test,752.0,302.0,156.0,0.5165562913907285,0.2074468085106383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_ade,JC_ade,all,2655.0,1179.0,600.0,0.5089058524173028,0.22598870056497175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_fde,JC_fde,test,752.0,125.0,56.0,0.448,0.07446808510638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_fde,JC_fde,all,2655.0,478.0,219.0,0.4581589958158996,0.08248587570621468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,brake,J,test,955.0,103.0,43.0,0.4174757281553398,0.04502617801047121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,brake,J,all,3376.0,454.0,192.0,0.42290748898678415,0.05687203791469194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_ade,JC_ade,test,752.0,453.0,225.0,0.4966887417218543,0.2992021276595745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_ade,JC_ade,all,2655.0,1612.0,794.0,0.49255583126550867,0.2990583804143126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_fde,JC_fde,test,752.0,181.0,85.0,0.4696132596685083,0.11303191489361702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_fde,JC_fde,all,2655.0,656.0,329.0,0.5015243902439024,0.12391713747645951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,brake,J,test,3536.0,829.0,350.0,0.4221954161640531,0.09898190045248868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,brake,J,all,8008.0,1753.0,542.0,0.3091842555618939,0.06768231768231768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,traj,JB,test,3536.0,146.0,14.0,0.0958904109589041,0.003959276018099547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,traj,JB,all,8008.0,637.0,27.0,0.0423861852433281,0.0033716283716283715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,brake,J,test,3536.0,1431.0,672.0,0.469601677148847,0.19004524886877827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,brake,J,all,8008.0,2931.0,1099.0,0.37495735243944045,0.13723776223776224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,traj,JB,test,3536.0,275.0,132.0,0.48,0.03733031674208145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,mono,traj,JB,all,8008.0,957.0,401.0,0.41901776384535006,0.05007492507492507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,pdm_closed,safety,test,384.0,27.0,9.0,0.3333333333333333,0.0234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,pdm_closed,safety,all,1440.0,45.0,20.0,0.4444444444444444,0.013888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,pdm_closed,scalar_J,test,384.0,48.0,20.0,0.4166666666666667,0.052083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,pdm_closed,scalar_J,all,1440.0,104.0,39.0,0.375,0.027083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,idm,safety,test,384.0,4.0,1.0,0.25,0.0026041666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,idm,safety,all,1440.0,5.0,2.0,0.4,0.001388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,idm,scalar_J,test,384.0,10.0,1.0,0.1,0.0026041666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuPlan,n/a,idm,scalar_J,all,1440.0,30.0,10.0,0.3333333333333333,0.006944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.1,0.047026741437611985,0.0470267414376119,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.2,0.016926260563474644,0.0169262605634746,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.3,0.36371235744371866,0.3637123574437186,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,uncertainty,0.5,0.3825711259355117,0.3825711259355117,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.1,0.30246036311516694,0.3024603631151669,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.2,0.4671829538662049,0.4671829538662049,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.3,0.48872048308792404,0.488720483087924,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_cheap,0.5,0.4049235912429697,0.4049235912429697,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.1,0.19348797270904403,0.193487972709044,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.2,0.2871283820555106,0.2871283820555106,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.3,0.5153768582383849,0.5153768582383849,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,criticality_gt,0.5,0.7766927526397719,0.7766927526397719,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.1,0.42778420099399667,0.4277842009939966,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.2,0.45771291959490223,0.4577129195949022,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.3,0.43536630709527685,0.4353663070952768,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,PKL,0.5,0.4983131957249985,0.4983131957249985,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.1,0.4021207735000438,0.4021207735000438,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.2,0.36454834879664183,0.3645483487966418,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.3,0.3692392767634421,0.3692392767634421,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,TIP,0.5,0.43357200316527394,0.4335720031652739,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.1,0.11529015825592294,0.1152901582559229,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.2,0.25231426417467523,0.2523142641746752,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.3,0.5281766989809411,0.5281766989809411,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.5,0.7691335496902507,0.7691335496902507,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.1,0.11529015825592294,0.1152901582559229,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.2,0.25231426417467523,0.2523142641746752,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.3,0.5281766989809411,0.5281766989809411,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.5,0.7691335496902507,0.7691335496902507,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.1,0.08512834285426123,0.0851283428542612,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.2,0.13873917187208878,0.1387391718720887,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.3,0.18755724937194443,0.1875572493719444,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.5,0.4163006799028402,0.4163006799028402,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.1,0.25608994455565237,0.2560899445556523,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.2,0.5538920528086564,0.5538920528086564,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.3,0.7251693428178716,0.7251693428178716,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.5,0.7486439082778998,0.7486439082778998,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.1,0.09581224376668099,0.0958122437666809,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.2,0.2270128270775652,0.2270128270775652,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.3,0.6659081327605392,0.6659081327605392,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.5,0.7770492374094021,0.7770492374094021,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.1,0.1118858166626255,0.1118858166626255,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.2,0.14096148309419357,0.1409614830941935,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.3,0.4421812122319667,0.4421812122319667,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.5,0.441456391537005,0.441456391537005,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.1,0.016177832577099115,0.0161778325770991,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.2,0.159185546281802,0.159185546281802,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.3,0.15998394691007606,0.159983946910076,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.5,0.24823997395111294,0.2482399739511129,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.1,0.007134831525672196,0.0071348315256721,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.2,0.24706934935628516,0.2470693493562851,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.3,0.2621253906477556,0.2621253906477556,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.5,0.35058980363859393,0.3505898036385939,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.1,0.6583541403962443,0.6583541403962443,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.2,0.6719318687402074,0.6719318687402074,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.3,0.6777117062987978,0.6777117062987978,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.5,0.7156490294521842,0.7156490294521842,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.1,0.16582340188610034,0.1658234018861003,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.2,0.2489158665201422,0.2489158665201422,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.3,0.4647554568732055,0.4647554568732055,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.5,0.6018691736469697,0.6018691736469697,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.1,0.08969536020892861,0.0896953602089286,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.2,0.16924508953666667,0.1692450895366666,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.3,0.33430475246292357,0.3343047524629235,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.5,0.5620120618103663,0.5620120618103663,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.1,0.12244794769846266,0.1224479476984626,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.2,0.3354129409324891,0.3354129409324891,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.3,0.404805566842622,0.404805566842622,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.5,0.48456343659651824,0.4845634365965182,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.1,0.027320160511008187,0.0273201605110081,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.2,0.1958776557537452,0.1958776557537452,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.3,0.21451302723075102,0.214513027230751,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.5,0.3575488983815698,0.3575488983815698,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.1,0.15171186948559157,0.1517118694855915,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.2,0.39445557456843444,0.3944555745684344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.3,0.5074179273500434,0.5074179273500434,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.5,0.5790827561992901,0.5790827561992901,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.1,0.093269104620291,0.093269104620291,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.2,0.24695466232469712,0.2469546623246971,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.3,0.4250451923657248,0.4250451923657248,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.5,0.700806005545057,0.700806005545057,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.1,-0.1074558688206536,-0.1074558688206536,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.2,-0.09667367378700524,-0.0966736737870052,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.3,-0.09667367378700524,-0.0966736737870052,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.5,0.2648074447579419,0.2648074447579419,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.1,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.2,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.3,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
