track,geometry,system,target,split,signal,deployable,input_dim,width_mult,gflops,trt_vs_torch_spearman,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236860056999,0.1,354,0.10508122097965912,0.03880702653155522,0.184742195485542,0.047265146100948646,-0.017439292195266718,0.13774229811971245,0.04627766599597585,0.014124293785310734,0.2504708097928437,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236860056999,0.2,707,0.242848486754005,0.08468176398619705,0.27903041458469197,0.08495737212403734,0.005110816167295193,0.1472984053211696,0.019114688128772636,0.009900990099009901,0.26166902404526166,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236860056999,0.3,1061,0.3383723603454425,0.09032304250445634,0.38931062750416584,0.08913520349214812,-0.0104418309175548,0.15479876921007013,0.04024144869215292,0.003770028275212064,0.2695570216776626,6,6,3536
KITTI,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236860056999,0.5,1768,0.4691349314293993,0.23946844468816306,0.5897528272378304,0.10890187840473486,0.033295092649040396,0.19610211487695595,0.001006036217303823,0.0011312217194570137,0.24490950226244343,6,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999242535508829,0.1,354,0.15149974001886934,0.03009495221409323,0.35700459790983174,0.06614054361702439,-0.06990995260093993,0.25773685260604595,0.297029702970297,0.002824858757062147,0.05447941888619855,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999242535508829,0.2,707,0.26148033880731014,0.12177563129544625,0.4465498371806705,0.08078701878821494,-0.077913866744152,0.24791277886483157,0.19031903190319033,0.007072135785007072,0.0541018387553041,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999242535508829,0.3,1061,0.5060997635300774,0.22906654054769546,0.7199574235322439,0.15162613041509912,-0.0705405521847589,0.42214854553788694,0.1078107810781078,0.000942507068803016,0.061262959472196045,91,6,3536
KITTI,oracle,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999242535508829,0.5,1768,0.735494147277095,0.5371104537255257,0.8815134144226693,0.21588003223920435,0.037950495435158875,0.38559981743394905,0.006600660066006601,0.0016968325791855204,0.051470588235294115,91,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236408788384,0.1,354,0.07489876442899593,-0.05130377072296902,0.14517472855764824,0.02563600663504006,-0.04038018509533806,0.06905401361718913,0.137,0.00847457627118644,0.4387947269303202,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236408788384,0.2,707,0.1072375475129772,-0.06882889499812621,0.216529198918256,0.021126500052263887,-0.04750692047919032,0.08247689970443516,0.213,0.008486562942008486,0.4512022630834512,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236408788384,0.3,1061,0.18164277092977246,-0.17979744509246215,0.31675482504161806,0.020017951283238394,-0.1344642108762539,0.1051595964887766,0.236,0.001885014137606032,0.44769085768143263,0,6,3536
KITTI,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999236408788384,0.5,1768,0.1928212374623115,-0.21416287959504188,0.5078770163579813,-0.001043461256836287,-0.1591792394135504,0.14836311292247453,0.492,0.0011312217194570137,0.424396681749623,0,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999234850187473,0.1,354,-0.010748157132312202,-0.04320556495051469,0.08316496440347437,0.023305289688940484,-0.1168020406264495,0.19397481652429932,0.33703329969727547,0.00847457627118644,0.0971045197740113,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999234850187473,0.2,707,0.03589160690768581,-0.08070056735154672,0.0950061534432702,0.07573130357647362,-0.20923962862103687,0.4127039203868904,0.32896064581231077,0.009900990099009901,0.09162344805909162,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999234850187473,0.3,1061,0.10284161125523093,-0.1315780688892793,0.137303329850892,0.11134897220797176,-0.28121385989866665,0.5745990424076427,0.33097880928355194,0.000942507068803016,0.08718190386427899,9,6,3536
KITTI,mono,traj,JB,test,R2_cnn_clf,True,49152,1.2,0.151328256,0.9999234850187473,0.5,1768,-0.21163697473842832,-0.6959671407677185,0.3522991505631733,0.026234526298105954,-0.43283227329173857,0.6801607326841441,0.5852674066599395,0.0011312217194570137,0.083710407239819,9,6,3536
