track,geometry,system,target,split,signal,deployable,input_dim,width_mult,gflops,trt_vs_torch_spearman,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998812272381249,0.1,96,0.012128877775062025,-0.273383742774441,0.16010572060975647,-0.07439730437131074,-0.2938609594728342,0.08316840824359324,0.8148893360160966,0.010416666666666666,0.020833333333333332,6,24,955
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998812272381249,0.2,191,0.08574205447286967,-0.16642274045935954,0.2865064757214397,-0.05860179312515225,-0.2612522627096072,0.14983598010056062,0.7132796780684104,0.010471204188481676,0.041884816753926704,6,24,955
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998812272381249,0.3,286,0.26010493522552275,-0.10278414531054325,0.5288309632803752,0.025470716838597394,-0.2314286688572896,0.32415783547957444,0.4798792756539235,0.0034965034965034965,0.045454545454545456,6,24,955
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998812272381249,0.5,478,0.4628342395979285,0.03721423792492937,0.683710065832548,0.09693911368192326,-0.13700729087717914,0.37018315755285297,0.1851106639839034,0.0020920502092050207,0.04602510460251046,6,24,955
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998823232068279,0.1,75,0.04287703345656322,-0.13102110085908478,0.20978036803698913,0.04567936264975154,-0.10143162421211716,0.19116803910743657,0.263,0.013333333333333334,0.4666666666666667,0,24,752
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998823232068279,0.2,150,0.10972806752138568,-0.09830636478932628,0.2869546919980679,0.11001884191823354,-0.038099066847729623,0.2549305695404751,0.083,0.006666666666666667,0.4977777777777778,0,24,752
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998823232068279,0.3,226,0.09834820762781832,-0.383764371847627,0.2927878796184737,0.07170790800316348,-0.2791793730392719,0.25143160148411425,0.201,0.004424778761061947,0.4911504424778761,0,24,752
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998823232068279,0.5,376,-0.0161865680322919,-0.5612647648224018,0.3562030386023623,-0.02435047441185269,-0.3180009390665422,0.2594658595570186,0.564,0.0026595744680851063,0.4308510638297872,0,24,752
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998792262668648,0.1,75,0.05816051810830722,-0.09156439646883734,0.1502250887474041,0.018221437954265438,-0.07768594886326745,0.1087526214958514,0.336,0.013333333333333334,0.17333333333333334,0,24,752
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998792262668648,0.2,150,0.07411280873194666,-0.1141080066399634,0.2266648805948805,0.0026527699373261335,-0.12573646060855354,0.1427606884824902,0.504,0.013333333333333334,0.2,0,24,752
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998792262668648,0.3,226,0.030956010591878552,-0.3974012282027644,0.23411463855501055,-0.0675889375295661,-0.364990502867231,0.1398125088551169,0.722,0.004424778761061947,0.17699115044247787,0,24,752
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998792262668648,0.5,376,0.02805395095437777,-0.537299042801562,0.3447919656825128,-0.14054597670941274,-0.41803316723959777,0.09682755283763231,0.849,0.0026595744680851063,0.1702127659574468,0,24,752
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998857049414759,0.1,96,0.008339610016754203,-0.11895888706502003,0.11577488509041463,-0.0527504177411388,-0.14945617981116152,0.06650472147914416,0.849,0.010416666666666666,0.09375,0,24,955
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998857049414759,0.2,191,-0.003072247881312862,-0.23575237276271002,0.1447765066203165,-0.11964691804607795,-0.2833152624789656,0.045987207164689514,0.936,0.005235602094240838,0.08027923211169284,0,24,955
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998857049414759,0.3,286,0.11574126693380637,-0.16059082378762912,0.31069920497723996,-0.07351746047818451,-0.2798612043131306,0.17913627659038897,0.78,0.0034965034965034965,0.09090909090909091,0,24,955
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998857049414759,0.5,478,0.32648256185736974,0.11015026527064822,0.6172117082173725,0.03994673024784592,-0.17580524272420597,0.40459980953870694,0.463,0.0020920502092050207,0.09832635983263599,0,24,955
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.999875903562604,0.1,75,0.12927988909513652,-0.12518221640925345,0.3138373433357676,0.06120869394116676,-0.1264630931728147,0.25370799510344566,0.349,0.013333333333333334,0.7466666666666667,0,24,752
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.999875903562604,0.2,150,0.27678875746927717,-0.13494102638602593,0.5051895713249483,0.13227648526989222,-0.13644428650123755,0.3668273472188481,0.277,0.013333333333333334,0.7133333333333334,0,24,752
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.999875903562604,0.3,226,0.39300850300581264,-0.12430525432903705,0.6171912057528589,0.19647266655973766,-0.1060000339134535,0.4187591652797704,0.119,0.004424778761061947,0.7300884955752213,0,24,752
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.999875903562604,0.5,376,0.405660251233185,-0.1285087878173097,0.6274118318191404,0.14632876807481987,-0.07306005892478763,0.285274899058249,0.09,0.0026595744680851063,0.648936170212766,0,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998750923000082,0.1,75,0.09350409719863999,-0.10802754761883485,0.2662952219375049,0.051460601665897374,-0.1090423998704453,0.20525318718683863,0.312,0.013333333333333334,0.36,0,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998750923000082,0.2,150,0.17399965619341676,-0.20304467754598765,0.4319486148533349,0.06570273553292197,-0.20745550411532673,0.32019788108827485,0.327,0.006666666666666667,0.3333333333333333,0,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998750923000082,0.3,226,0.24407186743951081,-0.21761642574432602,0.5170677711224072,0.08329475132626525,-0.22647860347259824,0.3405352497057292,0.31,0.004424778761061947,0.3141592920353982,0,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9998750923000082,0.5,376,0.27499246373838393,-0.25254186229681735,0.5304015340987203,0.04365203085491173,-0.25574791330602614,0.24117780123293955,0.311,0.0026595744680851063,0.2765957446808511,0,24,752
