system,spec,t_cheap,t_full,file,source
brake,kitti_rt_480_mono,0.15,0.15,brake__kitti_rt_480_mono__c0.150000__f0.150000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.15,0.25,brake__kitti_rt_480_mono__c0.150000__f0.250000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.15,0.35,brake__kitti_rt_480_mono__c0.150000__f0.350000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.15,0.45,brake__kitti_rt_480_mono__c0.150000__f0.450000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.15,0.55,brake__kitti_rt_480_mono__c0.150000__f0.550000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.25,0.15,brake__kitti_rt_480_mono__c0.250000__f0.150000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.25,0.25,brake__kitti_rt_480_mono__c0.250000__f0.250000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.25,0.252685546875,brake__kitti_rt_480_mono__c0.250000__f0.252686.npz,composed from mode builds
brake,kitti_rt_480_mono,0.25,0.35,brake__kitti_rt_480_mono__c0.250000__f0.350000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.25,0.45,brake__kitti_rt_480_mono__c0.250000__f0.450000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.25,0.55,brake__kitti_rt_480_mono__c0.250000__f0.550000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.35,0.15,brake__kitti_rt_480_mono__c0.350000__f0.150000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.35,0.25,brake__kitti_rt_480_mono__c0.350000__f0.250000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.35,0.35,brake__kitti_rt_480_mono__c0.350000__f0.350000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.35,0.45,brake__kitti_rt_480_mono__c0.350000__f0.450000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.35,0.55,brake__kitti_rt_480_mono__c0.350000__f0.550000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.45,0.15,brake__kitti_rt_480_mono__c0.450000__f0.150000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.45,0.25,brake__kitti_rt_480_mono__c0.450000__f0.250000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.45,0.35,brake__kitti_rt_480_mono__c0.450000__f0.350000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.45,0.45,brake__kitti_rt_480_mono__c0.450000__f0.450000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.45,0.55,brake__kitti_rt_480_mono__c0.450000__f0.550000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.5,0.55,brake__kitti_rt_480_mono__c0.500000__f0.550000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.55,0.15,brake__kitti_rt_480_mono__c0.550000__f0.150000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.55,0.25,brake__kitti_rt_480_mono__c0.550000__f0.250000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.55,0.35,brake__kitti_rt_480_mono__c0.550000__f0.350000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.55,0.45,brake__kitti_rt_480_mono__c0.550000__f0.450000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.55,0.55,brake__kitti_rt_480_mono__c0.550000__f0.550000.npz,composed from mode builds
brake,kitti_rt_480_mono,0.55,0.6,brake__kitti_rt_480_mono__c0.550000__f0.600000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.1,0.5,brake__kitti_y8_320_mono__c0.100000__f0.500000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.15,0.15,brake__kitti_y8_320_mono__c0.150000__f0.150000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.15,0.25,brake__kitti_y8_320_mono__c0.150000__f0.250000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.15,0.35,brake__kitti_y8_320_mono__c0.150000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.15,0.45,brake__kitti_y8_320_mono__c0.150000__f0.450000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.15,0.55,brake__kitti_y8_320_mono__c0.150000__f0.550000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.2,0.35,brake__kitti_y8_320_mono__c0.200000__f0.350000.npz,composed from mode builds
brake,kitti_y8_320_mono,0.25,0.15,brake__kitti_y8_320_mono__c0.250000__f0.150000.npz,composed from mode builds
