spec,t,file,seconds
nusc_mono,0.15,nusc_mono__t0.150000.npz,51.8228542804718
nusc_mono,0.25,nusc_mono__t0.250000.npz,7.479289531707764
nusc_mono,0.34,nusc_mono__t0.340000.npz,7.369907379150391
nusc_mono,0.35,nusc_mono__t0.350000.npz,7.304865121841431
nusc_mono,0.4,nusc_mono__t0.400000.npz,7.247582197189331
nusc_mono,0.45,nusc_mono__t0.450000.npz,7.126964330673218
nusc_mono,0.498046875,nusc_mono__t0.498047.npz,7.162202835083008
nusc_mono,0.55,nusc_mono__t0.550000.npz,7.0622169971466064
nusc_oracle,0.1,nusc_oracle__t0.100000.npz,10.321610927581787
nusc_oracle,0.15,nusc_oracle__t0.150000.npz,10.148743867874146
nusc_oracle,0.25,nusc_oracle__t0.250000.npz,9.886917352676392
nusc_oracle,0.34,nusc_oracle__t0.340000.npz,9.699887990951538
nusc_oracle,0.35,nusc_oracle__t0.350000.npz,9.732540845870972
nusc_oracle,0.4,nusc_oracle__t0.400000.npz,9.65338921546936
nusc_oracle,0.45,nusc_oracle__t0.450000.npz,9.528321027755737
nusc_oracle,0.498046875,nusc_oracle__t0.498047.npz,9.355239868164062
nusc_oracle,0.55,nusc_oracle__t0.550000.npz,9.277827024459839
kitti_rt_480_mono,0.15,kitti_rt_480_mono__t0.150000.npz,83.69921541213989
kitti_rt_480_mono,0.25,kitti_rt_480_mono__t0.250000.npz,82.29066801071167
kitti_rt_480_mono,0.252685546875,kitti_rt_480_mono__t0.252686.npz,31.047361612319946
kitti_rt_480_mono,0.35,kitti_rt_480_mono__t0.350000.npz,31.184781074523926
kitti_rt_480_mono,0.45,kitti_rt_480_mono__t0.450000.npz,29.848035097122192
kitti_rt_480_mono,0.5,kitti_rt_480_mono__t0.500000.npz,30.62839937210083
kitti_rt_480_mono,0.55,kitti_rt_480_mono__t0.550000.npz,29.92117214202881
kitti_rt_480_mono,0.6,kitti_rt_480_mono__t0.600000.npz,30.379992246627808
kitti_y8_320_mono,0.1,kitti_y8_320_mono__t0.100000.npz,49.08724522590637
kitti_y8_320_mono,0.15,kitti_y8_320_mono__t0.150000.npz,50.192766427993774
kitti_y8_320_mono,0.2,kitti_y8_320_mono__t0.200000.npz,28.88247585296631
kitti_y8_320_mono,0.25,kitti_y8_320_mono__t0.250000.npz,29.64764714241028
kitti_y8_320_mono,0.3,kitti_y8_320_mono__t0.300000.npz,28.644367933273315
kitti_y8_320_mono,0.35,kitti_y8_320_mono__t0.350000.npz,29.21118950843811
kitti_y8_320_mono,0.45,kitti_y8_320_mono__t0.450000.npz,28.190688610076904
kitti_y8_320_mono,0.5,kitti_y8_320_mono__t0.500000.npz,28.911840677261353
kitti_y8_320_mono,0.55,kitti_y8_320_mono__t0.550000.npz,28.19917869567871
kitti_y8_320_mono,0.56396484375,kitti_y8_320_mono__t0.563965.npz,27.99658179283142
kitti_y8_320_oracle,0.1,kitti_y8_320_oracle__t0.100000.npz,35.88355803489685
kitti_y8_320_oracle,0.15,kitti_y8_320_oracle__t0.150000.npz,35.51344871520996
kitti_y8_320_oracle,0.2,kitti_y8_320_oracle__t0.200000.npz,35.12822699546814
kitti_y8_320_oracle,0.25,kitti_y8_320_oracle__t0.250000.npz,34.88108849525452
kitti_y8_320_oracle,0.3,kitti_y8_320_oracle__t0.300000.npz,40.668325424194336
kitti_y8_320_oracle,0.35,kitti_y8_320_oracle__t0.350000.npz,40.52766418457031
kitti_y8_320_oracle,0.45,kitti_y8_320_oracle__t0.450000.npz,34.58757972717285
kitti_y8_320_oracle,0.55,kitti_y8_320_oracle__t0.550000.npz,34.99059176445007
kitti_y8_320_oracle,0.56396484375,kitti_y8_320_oracle__t0.563965.npz,33.9027304649353
kitti_y8_384_mono,0.1,kitti_y8_384_mono__t0.100000.npz,39.66700839996338
kitti_y8_384_mono,0.15,kitti_y8_384_mono__t0.150000.npz,38.75037240982056
kitti_y8_384_mono,0.25,kitti_y8_384_mono__t0.250000.npz,28.614299535751343
kitti_y8_384_mono,0.29,kitti_y8_384_mono__t0.290000.npz,28.65008783340454
kitti_y8_384_mono,0.35,kitti_y8_384_mono__t0.350000.npz,28.417110443115234
kitti_y8_384_mono,0.43408203125,kitti_y8_384_mono__t0.434082.npz,28.23409104347229
kitti_y8_384_mono,0.45,kitti_y8_384_mono__t0.450000.npz,28.027915000915527
kitti_y8_384_mono,0.5,kitti_y8_384_mono__t0.500000.npz,28.145673990249634
kitti_y8_384_mono,0.55,kitti_y8_384_mono__t0.550000.npz,28.091163873672485
kitti_y8_512_mono,0.15,kitti_y8_512_mono__t0.150000.npz,49.36507225036621
kitti_y8_512_mono,0.25,kitti_y8_512_mono__t0.250000.npz,49.32038116455078
kitti_y8_512_mono,0.26,kitti_y8_512_mono__t0.260000.npz,29.133915424346924
kitti_y8_512_mono,0.3,kitti_y8_512_mono__t0.300000.npz,28.935120344161987
kitti_y8_512_mono,0.30078125,kitti_y8_512_mono__t0.300781.npz,29.008288145065308
kitti_y8_512_mono,0.35,kitti_y8_512_mono__t0.350000.npz,29.07362413406372
kitti_y8_512_mono,0.45,kitti_y8_512_mono__t0.450000.npz,28.62656831741333
kitti_y8_512_mono,0.5,kitti_y8_512_mono__t0.500000.npz,28.685224294662476
kitti_y8_512_mono,0.55,kitti_y8_512_mono__t0.550000.npz,28.20772361755371
