cell,scheme,t_cheap,t_full,at_grid_floor,S3_target_not_reached,S4_tie,spec,system
nuScenes oracle Y8 320->640 q_brake,S0,0.25,0.25,False,False,False,nusc_oracle,brake
nuScenes oracle Y8 320->640 q_brake,S1,0.25,0.498046875,False,False,False,nusc_oracle,brake
nuScenes oracle Y8 320->640 q_brake,S2,0.25,0.4,False,False,False,nusc_oracle,brake
nuScenes oracle Y8 320->640 q_brake,S3,0.25,0.34,False,False,False,nusc_oracle,brake
nuScenes oracle Y8 320->640 q_brake,S4,0.25,0.1,True,False,False,nusc_oracle,brake
nuScenes oracle Y8 320->640 q_plan,S0,0.25,0.25,False,False,False,nusc_oracle,plan
nuScenes oracle Y8 320->640 q_plan,S1,0.25,0.498046875,False,False,False,nusc_oracle,plan
nuScenes oracle Y8 320->640 q_plan,S2,0.25,0.4,False,False,False,nusc_oracle,plan
nuScenes oracle Y8 320->640 q_plan,S3,0.25,0.34,False,False,False,nusc_oracle,plan
nuScenes oracle Y8 320->640 q_plan,S4,0.2,0.3,False,False,False,nusc_oracle,plan
nuScenes mono Y8 320->640 q_brake,S0,0.25,0.25,False,False,False,nusc_mono,brake
nuScenes mono Y8 320->640 q_brake,S1,0.25,0.498046875,False,False,False,nusc_mono,brake
nuScenes mono Y8 320->640 q_brake,S2,0.25,0.4,False,False,False,nusc_mono,brake
nuScenes mono Y8 320->640 q_brake,S3,0.25,0.34,False,False,False,nusc_mono,brake
nuScenes mono Y8 320->640 q_brake,S4,0.45,0.4,False,False,False,nusc_mono,brake
nuScenes mono Y8 320->640 q_plan,S0,0.25,0.25,False,False,False,nusc_mono,plan
nuScenes mono Y8 320->640 q_plan,S1,0.25,0.498046875,False,False,False,nusc_mono,plan
nuScenes mono Y8 320->640 q_plan,S2,0.25,0.4,False,False,False,nusc_mono,plan
nuScenes mono Y8 320->640 q_plan,S3,0.25,0.34,False,False,False,nusc_mono,plan
nuScenes mono Y8 320->640 q_plan,S4,0.1,0.3,True,False,False,nusc_mono,plan
KITTI mono Y8 320->640 q_traj,S0,0.25,0.25,False,False,False,kitti_y8_320_mono,traj
KITTI mono Y8 320->640 q_traj,S1,0.25,0.56396484375,False,False,False,kitti_y8_320_mono,traj
KITTI mono Y8 320->640 q_traj,S2,0.2,0.35,False,False,False,kitti_y8_320_mono,traj
KITTI mono Y8 320->640 q_traj,S3,0.25,0.3,False,False,False,kitti_y8_320_mono,traj
KITTI mono Y8 320->640 q_traj,S4,0.1,0.1,True,False,False,kitti_y8_320_mono,traj
KITTI mono Y8 320->640 q_brake,S0,0.25,0.25,False,False,False,kitti_y8_320_mono,brake
KITTI mono Y8 320->640 q_brake,S1,0.25,0.56396484375,False,False,False,kitti_y8_320_mono,brake
KITTI mono Y8 320->640 q_brake,S2,0.2,0.35,False,False,False,kitti_y8_320_mono,brake
KITTI mono Y8 320->640 q_brake,S3,0.25,0.3,False,False,False,kitti_y8_320_mono,brake
KITTI mono Y8 320->640 q_brake,S4,0.1,0.5,True,False,False,kitti_y8_320_mono,brake
KITTI mono Y8 384->640 q_traj,S0,0.25,0.25,False,False,False,kitti_y8_384_mono,traj
KITTI mono Y8 384->640 q_traj,S1,0.25,0.43408203125,False,False,False,kitti_y8_384_mono,traj
KITTI mono Y8 384->640 q_traj,S2,0.25,0.35,False,False,False,kitti_y8_384_mono,traj
KITTI mono Y8 384->640 q_traj,S3,0.25,0.29,False,False,False,kitti_y8_384_mono,traj
KITTI mono Y8 384->640 q_traj,S4,0.1,0.1,True,False,False,kitti_y8_384_mono,traj
KITTI mono Y8 384->640 q_brake,S0,0.25,0.25,False,False,False,kitti_y8_384_mono,brake
KITTI mono Y8 384->640 q_brake,S1,0.25,0.43408203125,False,False,False,kitti_y8_384_mono,brake
KITTI mono Y8 384->640 q_brake,S2,0.25,0.35,False,False,False,kitti_y8_384_mono,brake
KITTI mono Y8 384->640 q_brake,S3,0.25,0.29,False,False,False,kitti_y8_384_mono,brake
KITTI mono Y8 384->640 q_brake,S4,0.1,0.5,True,False,False,kitti_y8_384_mono,brake
KITTI mono Y8 512->640 q_traj,S0,0.25,0.25,False,False,False,kitti_y8_512_mono,traj
