task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
longitudinal,mono,random,0.1,0.05919481995541567,-0.01951705410362924,0.18629824928495042,0.01643708200366662
longitudinal,mono,random,0.2,0.13539251520827825,-0.00044448915743852425,0.28087730162474756,0.03759548347029891
longitudinal,mono,random,0.3,0.19236741642036734,0.03540389604844818,0.3524167514284711,0.05341614352263569
longitudinal,mono,random,0.5,0.3144250929946723,0.11549863261756363,0.4753715754380106,0.08730883954806415
longitudinal,mono,uncertainty,0.1,0.17503588117018767,0.011865036278301206,0.3549480459155439,0.04860356251687865
longitudinal,mono,uncertainty,0.2,0.24698358188073788,0.10267392584449192,0.3796404339293701,0.06858183523474982
longitudinal,mono,uncertainty,0.3,0.28495700878656366,0.1411070458824706,0.42578424203247,0.07912620942967791
longitudinal,mono,uncertainty,0.5,0.450216681650644,0.27768998541557666,0.5595633849565865,0.1250151368191342
longitudinal,mono,criticality,0.1,0.07723858589822659,0.004793024678244964,0.17110159440203218,0.021447433596598793
longitudinal,mono,criticality,0.2,0.1764053073874748,0.060193073093460586,0.32229732345768003,0.048983821651858245
longitudinal,mono,criticality,0.3,0.3374499812683804,0.12428599581567774,0.4978134039490323,0.09370233777924808
longitudinal,mono,criticality,0.5,0.48386246160218155,0.2990914302502561,0.6502948548023072,0.1343578199214273
longitudinal,mono,perception_oracle_dE,0.1,0.01099136294372247,-0.04065351350223682,0.06750358941362176,0.0030520564835589104
longitudinal,mono,perception_oracle_dE,0.2,0.05275328770516546,-0.029829194174319784,0.1520555751410917,0.014648412084468074
longitudinal,mono,perception_oracle_dE,0.3,0.1171693165706564,0.0069948938855823395,0.26702378409818234,0.03253530741771017
longitudinal,mono,perception_oracle_dE,0.5,0.25986190230747747,0.07944243918473379,0.455122488371048,0.07215785774961257
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.1,0.1582487698621228,0.06075645009725252,0.3144068351689299,0.043942155904219515
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.2,0.22663684210831553,0.06627569696753458,0.39924023716168205,0.0629319991443881
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.3,0.22278245423441004,0.06014063157009843,0.401235997741157,0.061861721549067425
longitudinal,mono,best_dE_metric (E6_risk_weighted),0.5,0.2729006886092984,0.06905802410092554,0.47152613801951954,0.07577843806107795
longitudinal,mono,multimetric_dE_oracle,0.1,0.263937248799924,0.08737254816334145,0.4472510674511919,0.07328949062796497
longitudinal,mono,multimetric_dE_oracle,0.2,0.3500913923487005,0.13052536808603848,0.5221416394203803,0.09721257584950124
longitudinal,mono,multimetric_dE_oracle,0.3,0.34716233670033625,0.125550906066326,0.5122511211103897,0.09639924238684812
longitudinal,mono,multimetric_dE_oracle,0.5,0.4003846785509557,0.21560768001463884,0.5360826701905199,0.11117790035193201
longitudinal,mono,PKL_gain,0.1,0.23675078128502766,0.04963727195169955,0.4189581584549124,0.06574041460629719
longitudinal,mono,PKL_gain,0.2,0.28908772312244596,0.1296400631918072,0.4473169948569037,0.0802732167239607
longitudinal,mono,PKL_gain,0.3,0.37189565033633804,0.2122425655129493,0.5023708201766782,0.10326713225902895
longitudinal,mono,PKL_gain,0.5,0.42228759837744956,0.2688030340021174,0.539298357237074,0.11725985295486203
longitudinal,mono,TIP_gain,0.1,0.24868884373295522,0.07962078706241862,0.43965517893056644,0.06905534843951558
longitudinal,mono,TIP_gain,0.2,0.2706045609605365,0.11191369329518555,0.44171924681332625,0.07514085459546369
longitudinal,mono,TIP_gain,0.3,0.33199310625603956,0.17759325808291673,0.47313423953382877,0.09218708522625169
longitudinal,mono,TIP_gain,0.5,0.421055789471397,0.26199778979021465,0.5257437289358576,0.11691780707961681
longitudinal,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.27767770923277907
longitudinal,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.27767770923277907
longitudinal,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.27767770923277907
longitudinal,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.27767770923277907
longitudinal,mono,uncertainty [scene-z],0.1,0.02079306792879358,-0.040143146134085296,0.09917428689505467,0.005773771470388968
longitudinal,mono,uncertainty [scene-z],0.2,0.05557544927020375,-0.03704507959494816,0.19925913796757505,0.015432063442932702
longitudinal,mono,uncertainty [scene-z],0.3,0.18222634258706957,0.05623637613456693,0.36238363525100303,0.0506001933714451
longitudinal,mono,uncertainty [scene-z],0.5,0.31366404909657375,0.14745886299439062,0.5004830597398173,0.08709751462181455
longitudinal,mono,criticality [scene-z],0.1,0.06028930152557584,-0.022609589030105563,0.15803732583703356,0.016740995138866194
longitudinal,mono,criticality [scene-z],0.2,0.16286898551962295,0.017366967145394072,0.31702143250346126,0.04522508680415557
longitudinal,mono,criticality [scene-z],0.3,0.21012487235640728,0.050977836043012634,0.40838076539752116,0.05834699320875728
longitudinal,mono,criticality [scene-z],0.5,0.5088831986825021,0.21815440436991015,0.641111629291533,0.14130552087720638
longitudinal,mono,perception_oracle_dE [scene-z],0.1,0.08004716090308399,-0.0028612162025974173,0.15803469745358198,0.02222731227015604
longitudinal,mono,perception_oracle_dE [scene-z],0.2,0.13043374751646974,0.02113320159859546,0.25108692313916164,0.036218544217020004
longitudinal,mono,perception_oracle_dE [scene-z],0.3,0.17255562402480756,0.04774092449271674,0.33092272170906945,0.047914850394441266
longitudinal,mono,perception_oracle_dE [scene-z],0.5,0.18841809212147642,0.0002996786227800821,0.3959317858720143,0.052319504198302315
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.1,0.21512518863666028,0.07542606971430667,0.36801923360831623,0.0597354695788973
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.2,0.21587353311710727,0.04914134100737174,0.39794225523118176,0.05994326815994482
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.3,0.21252590896654114,0.04683045828790154,0.3805300583311499,0.05901370755444329
longitudinal,mono,best_dE_metric (E6_risk_weighted) [scene-z],0.5,0.26284857080644786,0.0958520793706233,0.4612278233508961,0.07298718901664439
longitudinal,mono,multimetric_dE_oracle [scene-z],0.1,0.30088059093900915,0.11955510861610909,0.46380680158551296,0.08354783324454892
longitudinal,mono,multimetric_dE_oracle [scene-z],0.2,0.3087466280083642,0.1102420616973047,0.47612359279625144,0.08573205639870758
longitudinal,mono,multimetric_dE_oracle [scene-z],0.3,0.347970439207908,0.13734668420559787,0.5347329814834346,0.09662363443997592
longitudinal,mono,multimetric_dE_oracle [scene-z],0.5,0.4065088905075803,0.22244846096941154,0.5350537203593506,0.11287845749890352
longitudinal,mono,PKL_gain [scene-z],0.1,0.1685080029984541,0.07795741464160515,0.26192256542234954,0.046790916260001
longitudinal,mono,PKL_gain [scene-z],0.2,0.19434380828963468,0.08406251913301267,0.3088938678674283,0.05396494348944014
longitudinal,mono,PKL_gain [scene-z],0.3,0.4142976857723263,0.24620068340972298,0.5541834413686434,0.1150412323257013
longitudinal,mono,PKL_gain [scene-z],0.5,0.5228569458058173,0.35994733665338824,0.6317020598312109,0.1451857189678067
longitudinal,mono,TIP_gain [scene-z],0.1,0.175411337465135,0.0798813942303811,0.24877160089577194,0.048707818360776645
longitudinal,mono,TIP_gain [scene-z],0.2,0.32365364105503575,0.14282679207129031,0.48799673276175487,0.08987140163301047
longitudinal,mono,TIP_gain [scene-z],0.3,0.35856224742164866,0.17913056771282648,0.5175301404241592,0.09956474348140036
longitudinal,mono,TIP_gain [scene-z],0.5,0.46396283607011957,0.2962961411156905,0.5869444655462634,0.12883213748909422
lateral,mono,random,0.1,-0.08004768321425901,-0.3470670713451542,0.17095624110295032,-0.006004864001682681
lateral,mono,random,0.2,-0.10427159137546191,-0.5547001205366934,0.20733249366275125,-0.00782204681393131
lateral,mono,random,0.3,-0.15717130301311183,-0.683962431089029,0.23486140053133173,-0.011790376206576794
lateral,mono,random,0.5,-0.22346456965500866,-1.1385275058746873,0.2608145516147805,-0.016763437692270945
lateral,mono,uncertainty,0.1,0.16677786632630542,-0.06461369807934655,0.38438349582264136,0.012511022999874692
lateral,mono,uncertainty,0.2,0.27988722628126284,-0.11730493610631318,0.5450020659493772,0.0209960446341536
lateral,mono,uncertainty,0.3,0.11820131774844148,-0.3957448307158276,0.40856783446584133,0.008867000385248349
lateral,mono,uncertainty,0.5,-0.10634221429459961,-1.1407318299376514,0.35646325174778865,-0.00797737684384496
lateral,mono,criticality,0.1,-0.2295076944697661,-1.1909093678347498,0.18467095171968562,-0.017216769271658217
lateral,mono,criticality,0.2,-0.2715955968849871,-1.5299787869493904,0.21329048829454417,-0.02037403903851731
lateral,mono,criticality,0.3,-0.4429697990135563,-1.5289030766365888,0.18719997085569007,-0.03322986116674133
lateral,mono,criticality,0.5,-0.3614918555405223,-1.8103750890562167,0.2706451135904706,-0.027117704636454576
lateral,mono,perception_oracle_dE,0.1,0.20786040563565963,0.0,0.4433389275160497,0.015592874360096327
lateral,mono,perception_oracle_dE,0.2,0.33670297965892515,0.044719837340037774,0.5964946685503973,0.025258140156303982
lateral,mono,perception_oracle_dE,0.3,0.07022918545356666,-0.6456787228853007,0.43253239457145437,0.0052683187153441365
lateral,mono,perception_oracle_dE,0.5,-0.3379324034313928,-1.7976518782395388,0.2853160116523746,-0.025350366717494313
lateral,mono,best_dE_metric (E4_localization),0.1,0.26153898594574726,0.0,0.5700148052489307,0.019619631433161252
lateral,mono,best_dE_metric (E4_localization),0.2,0.4521537748200825,-0.04879133643918164,0.651587047342305,0.03391880709869692
lateral,mono,best_dE_metric (E4_localization),0.3,-0.11962319175395884,-0.9354947770865505,0.32252090000508143,-0.008973663809944927
lateral,mono,best_dE_metric (E4_localization),0.5,-0.4313274621887931,-1.997296721832115,0.1986518911945953,-0.0323564986097344
lateral,mono,multimetric_dE_oracle,0.1,0.16796720211569563,0.0,0.33932848724669157,0.012600242317422036
lateral,mono,multimetric_dE_oracle,0.2,0.24547263103507172,0.01359195994696123,0.48263875663121164,0.01841439634867866
lateral,mono,multimetric_dE_oracle,0.3,0.2971429169813249,0.06787204541950652,0.5715976103706106,0.02229049903618326
lateral,mono,multimetric_dE_oracle,0.5,0.412250497361379,0.10556047289942366,0.6915161680217672,0.030925419348553487
lateral,mono,PKL_gain,0.1,-0.22063249380638136,-0.924006210169396,0.1369555247933169,-0.016550986442833312
lateral,mono,PKL_gain,0.2,-0.22063249380638136,-0.914997234513872,0.1745345392133101,-0.016550986442833312
lateral,mono,PKL_gain,0.3,-0.10437435042731448,-0.8282084331871452,0.30531408851427244,-0.007829755395948169
lateral,mono,PKL_gain,0.5,-0.14561333607662852,-0.9507216312391741,0.30155533895007514,-0.010923342748484602
lateral,mono,TIP_gain,0.1,-0.22063249380638136,-0.8245286014930564,0.1965106725999362,-0.016550986442833312
lateral,mono,TIP_gain,0.2,-0.12375070765715805,-0.8752414045775629,0.22168200520856035,-0.00928329390376229
lateral,mono,TIP_gain,0.3,0.02153013490952049,-0.6955472797509051,0.4560589685962118,0.0016151064825136799
lateral,mono,TIP_gain,0.5,0.033455131872814806,-0.7353159469491938,0.48633369692436174,0.002509673097182494
lateral,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.07501608741891766
lateral,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.07501608741891766
lateral,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.07501608741891766
lateral,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.07501608741891766
lateral,mono,uncertainty [scene-z],0.1,0.0495271484239705,-0.40423750819488474,0.23518173683740945,0.003715332895782281
lateral,mono,uncertainty [scene-z],0.2,0.017848160594559546,-0.7077753199253203,0.4223346478504205,0.0013388991754283602
lateral,mono,uncertainty [scene-z],0.3,-0.07167608413420855,-1.0483575092523876,0.3649825727141711,-0.005376859393257486
lateral,mono,uncertainty [scene-z],0.5,-0.01662049891351567,-0.993899299051982,0.47612242166589347,-0.0012468047994423175
lateral,mono,criticality [scene-z],0.1,-0.1931098586210742,-0.9383837491357914,0.24863557324580654,-0.014486346035773333
lateral,mono,criticality [scene-z],0.2,-0.29290621611319323,-1.3201332552862424,0.18975463622364205,-0.021972678313491693
lateral,mono,criticality [scene-z],0.3,-0.20483300866050225,-1.4073202333221044,0.3085006708885066,-0.015365770883956154
lateral,mono,criticality [scene-z],0.5,-0.3783819415807408,-1.8699020352363405,0.2664161650952258,-0.028384732807360646
lateral,mono,perception_oracle_dE [scene-z],0.1,0.048399056417455226,-0.377503069429153,0.37927366980877014,0.003630707847204949
lateral,mono,perception_oracle_dE [scene-z],0.2,-0.17296521587886918,-1.397935593804508,0.3114064097285676,-0.012975173754801214
lateral,mono,perception_oracle_dE [scene-z],0.3,-0.22373674614795014,-1.5417313453628103,0.3469121874422817,-0.01678385530785882
lateral,mono,perception_oracle_dE [scene-z],0.5,-0.31320276760728183,-1.768308874766495,0.29567741059228914,-0.02349524619467481
lateral,mono,best_dE_metric (E4_localization) [scene-z],0.1,-0.032255155926034,-0.5261940539165321,0.367123973556687,-0.0024196555966581866
lateral,mono,best_dE_metric (E4_localization) [scene-z],0.2,-0.17296521587886918,-1.4082866243695862,0.37362673068494506,-0.012975173754801214
lateral,mono,best_dE_metric (E4_localization) [scene-z],0.3,-0.37659139508586453,-1.803806019625671,0.21742227045898976,-0.028250413014973375
lateral,mono,best_dE_metric (E4_localization) [scene-z],0.5,-0.31320276760728183,-1.8058495097723695,0.3006738675307416,-0.02349524619467481
lateral,mono,multimetric_dE_oracle [scene-z],0.1,0.18088477360225802,0.01359195994696123,0.3436403844950287,0.013569267989298117
lateral,mono,multimetric_dE_oracle [scene-z],0.2,0.24547263103507172,0.01359195994696123,0.4886267778545457,0.01841439634867866
lateral,mono,multimetric_dE_oracle [scene-z],0.3,0.2971429169813249,0.06787204541950652,0.5715976103706106,0.02229049903618326
lateral,mono,multimetric_dE_oracle [scene-z],0.5,0.286986551112952,-0.012795846944065381,0.6057623736442282,0.021528608206342892
lateral,mono,PKL_gain [scene-z],0.1,-0.2305923955310183,-0.7349385640304961,0.07495610805691748,-0.017298139301292505
lateral,mono,PKL_gain [scene-z],0.2,-0.28522035123919687,-0.9758307810340426,0.16834595908876662,-0.021396114802213994
lateral,mono,PKL_gain [scene-z],0.3,-0.22063249380638136,-0.9584618721470344,0.23809094278407644,-0.016550986442833312
lateral,mono,PKL_gain [scene-z],0.5,-0.1866160782832566,-0.9830631054493153,0.26501154568507296,-0.013999208042272358
lateral,mono,TIP_gain [scene-z],0.1,-0.162503422116847,-0.895568803203405,0.2160843306083763,-0.012190370919390672
lateral,mono,TIP_gain [scene-z],0.2,-0.16896220786013003,-0.8672319098081348,0.27846887211164434,-0.012674883755328851
lateral,mono,TIP_gain [scene-z],0.3,-0.00745379148771741,-0.7780366305382322,0.45449612029401265,-0.0005591542738449936
lateral,mono,TIP_gain [scene-z],0.5,-9.625006726403681e-05,-0.7703913382754691,0.4132491164037387,-7.2203034599556896e-06
plannerC_path_dev,mono,random,0.1,0.008248125759905443,-0.07322879641617894,0.08621808230389617,0.0006998754240891111
plannerC_path_dev,mono,random,0.2,0.013937881775829473,-0.07880299921989059,0.10511750375683088,0.001410090766411052
plannerC_path_dev,mono,random,0.3,0.017613633630035763,-0.0903513350090248,0.13133575809874085,0.0018720963844153088
plannerC_path_dev,mono,random,0.5,0.0331838746243696,-0.12876035821910542,0.19104636701549776,0.0035272336153273133
plannerC_path_dev,mono,uncertainty,0.1,-0.09839275129778723,-0.22240017138246473,0.01658185032429113,-0.008348886831548835
plannerC_path_dev,mono,uncertainty,0.2,-0.03144523058299309,-0.18200782181553096,0.0659179294839418,-0.0031813033003077087
plannerC_path_dev,mono,uncertainty,0.3,-0.032118575188111835,-0.18379835245007667,0.0854380495392043,-0.003413779901706365
plannerC_path_dev,mono,uncertainty,0.5,0.02495394688745882,-0.17584882043556752,0.17417113998911563,0.0026524449387805397
plannerC_path_dev,mono,criticality,0.1,0.03232761099755401,-0.10447024206466093,0.16776135438569764,0.0027430838368982754
