architecture,comparison,quota,value_before,lo_before,hi_before,value_after,lo_after,hi_after,excludes_zero_before,excludes_zero_after
MLP,rank(V) - V,0.1,-0.08243630586923548,-0.15430166587224275,-0.002883245782607494,-0.11031703224637782,-0.18947437949878504,-0.02745293326955942,True,True
MLP,rank(V) - V,0.2,-0.12652267809269804,-0.19846681729001497,-0.014377421371491882,-0.17010996394053723,-0.24403059952424377,-0.04828825045594831,True,True
MLP,rank(V) - V,0.3,-0.13930598368019584,-0.2081360006369397,0.007873329416868755,-0.11458313753194824,-0.20983171093333486,-0.010237480839257738,False,True
MLP,rank(V) - V,0.5,-0.10247518835002736,-0.19844523357652497,0.03833521195484669,-0.1021760089257225,-0.19433899708133992,0.006244659288255167,False,False
MLP,signed ECDF(V) - V,0.1,-0.0560878995123833,-0.10860523759674448,0.016249962696838757,-0.042779015200698614,-0.0959680609169811,0.026022908849418252,False,False
MLP,signed ECDF(V) - V,0.2,-0.07574720367763792,-0.1404645995460853,0.020460891745103703,-0.06468037861724293,-0.1472968933029284,0.051470294325181534,False,False
MLP,signed ECDF(V) - V,0.3,-0.02655882867325864,-0.09835791298799056,0.06924986459483211,-0.00311487943379931,-0.10471899983179149,0.08827470469263791,False,False
MLP,signed ECDF(V) - V,0.5,0.03720227850928577,-0.034648974539341584,0.12266229028061396,0.02865386532466036,-0.05550773955319547,0.11611255315328353,False,False
MLP,Q - V,0.1,-0.07605608052402638,-0.15270219578484193,1.0246761907052209e-07,-0.07131419331584604,-0.1475841724918831,0.0039582593708679305,False,False
MLP,Q - rank(V),0.1,0.006380225345209109,-0.058116394533084426,0.05487322132353165,0.03900283893053179,-0.031205964728236595,0.09553260257502594,False,False
MLP,Q - signed ECDF(V),0.1,-0.019968181011643066,-0.08802312967064649,0.027930754560961654,-0.028535178115147424,-0.09618263011230523,0.028214918112253844,False,False
MLP,Q - V,0.2,-0.13497770462644024,-0.22639230556839832,-0.02207251492600974,-0.1385406320462599,-0.24401052942742602,-0.02135091106291026,True,True
MLP,Q - rank(V),0.2,-0.008455026533742239,-0.10076205284033929,0.05392873377296559,0.03156933189427732,-0.05786008033635801,0.09482384172200985,False,False
MLP,Q - signed ECDF(V),0.2,-0.05923050094880235,-0.15666851205703528,0.019679909916731034,-0.07386025342901698,-0.16739858832098833,0.004276744651601452,False,False
MLP,Q - V,0.3,-0.12253931561213431,-0.2287610374672505,0.007864810559664526,-0.10352920715980359,-0.2367452416106332,0.01604610199046602,False,False
MLP,Q - rank(V),0.3,0.0167666680680615,-0.11031976854301197,0.08792403189617444,0.011053930372144641,-0.08445143040715436,0.0930261685123073,False,False
MLP,Q - signed ECDF(V),0.3,-0.0959804869388757,-0.19287758305426145,0.0024342090701361184,-0.10041432772600427,-0.20574957951466383,-0.007571397093740558,False,True
MLP,Q - V,0.5,-0.11410998924901672,-0.2231402506002298,0.008779047109412963,-0.12305503379524554,-0.2275610889738793,-0.015566771316320963,False,True
MLP,Q - rank(V),0.5,-0.01163480089898937,-0.13752353668280587,0.09028040512139049,-0.020879024869523043,-0.1327797810524986,0.08356903293011123,False,False
MLP,Q - signed ECDF(V),0.5,-0.15131226775830248,-0.2629451438955695,-0.04944124458794401,-0.1517088991199059,-0.26619681076297724,-0.031423351117893815,True,True
MLP,G - V,0.1,-0.06292780053876064,-0.12029442368721209,0.029364774343414345,-0.0583569596532995,-0.11148573049687799,0.030228998958962795,False,False
MLP,G - rank(V),0.1,0.019508505330474834,-0.03408329384766787,0.09684228396409425,0.05196007259307833,-0.0002710917748497101,0.1307304783290068,False,False
MLP,G - signed ECDF(V),0.1,-0.00683990102637734,-0.062137190275464785,0.06463445093887178,-0.015577944452600884,-0.06523548354023374,0.0630847409750835,False,False
MLP,G - V,0.2,-0.02686212385279496,-0.11792438165918609,0.07145600339844362,-0.02970955396260595,-0.12089596594710728,0.0700349270059614,False,False
MLP,G - rank(V),0.2,0.09966055423990305,0.001509919861079076,0.18123434965274382,0.14040040997793127,0.03246569113525744,0.21250501520849077,True,True
MLP,G - signed ECDF(V),0.2,0.048885079824842956,-0.05847690668376916,0.1317970771913849,0.03497082465463699,-0.08013554852618299,0.1254834059721724,False,False
MLP,G - V,0.3,-0.06553448096709182,-0.1310540334504946,0.06720882739538488,-0.044905018367534924,-0.12713394098069633,0.09211655628662761,False,False
MLP,G - rank(V),0.3,0.073771502713104,-0.04234564533414649,0.18606183935999843,0.0696781191644133,-0.0124779076208418,0.17777120557584375,False,False
MLP,G - signed ECDF(V),0.3,-0.038975652293833166,-0.12337215792898694,0.07781187665217085,-0.0417901389337356,-0.1306462012796967,0.08962437371097942,False,False
MLP,G - V,0.5,-0.04727490853710348,-0.14577310469304208,0.08999140274220126,-0.055609419422531926,-0.13741986967585124,0.07000173738994936,False,False
MLP,G - rank(V),0.5,0.05520027981292387,-0.04467080334600347,0.16671021336137748,0.04656658950319056,-0.04573617964326575,0.15473680635274062,False,False
MLP,G - signed ECDF(V),0.5,-0.08447718704638926,-0.18057439322686872,0.03375842304068924,-0.0842632847471923,-0.16137442472603036,0.04004138018155964,False,False
GBM,rank(V) - V,0.1,-0.02799855614415272,-0.11577895314630517,0.0819167653158955,-0.001136529178985654,-0.09974291217625432,0.10164246609091543,False,False
GBM,rank(V) - V,0.2,-0.0285775215502588,-0.12325008178152301,0.10346567081668834,-0.013535343187284898,-0.12016024509487389,0.12823808289774258,False,False
GBM,rank(V) - V,0.3,-0.0024142361080670416,-0.11275794502048854,0.11701360668261687,0.011918451990777585,-0.11617008356435639,0.14685983415949433,False,False
GBM,rank(V) - V,0.5,-0.0028062257247861546,-0.11802540100374544,0.11912867453754833,-0.020282996748044197,-0.11356379209904996,0.13698519637054413,False,False
GBM,signed ECDF(V) - V,0.1,0.06286014375427836,-0.020964692477937096,0.11444698855674604,0.06300274100374872,-0.007458570612240539,0.12464077018650445,False,False
GBM,signed ECDF(V) - V,0.2,0.022627294298780264,-0.032916230344054505,0.11395148618780265,0.05266061108313218,-0.007901579844986928,0.13842973979762077,False,False
GBM,signed ECDF(V) - V,0.3,0.04757051300747732,-0.0418861083772212,0.1094875034556951,0.0594766271000541,-0.03746047826597354,0.1371047487363184,False,False
GBM,signed ECDF(V) - V,0.5,0.03580332375338154,-0.036530406633309226,0.10409349798300323,0.0007448966128705603,-0.055385250062326655,0.10824254276303567,False,False
GBM,Q - V,0.1,0.04332283158556908,-0.05597849035537449,0.09837579942811567,0.04544430555857839,-0.05525758797866227,0.10234018392911166,False,False
GBM,Q - rank(V),0.1,0.07132138772972181,-0.06375291269939916,0.1267600469567122,0.046580834737564046,-0.08154532214924456,0.11538649902421236,False,False
GBM,Q - signed ECDF(V),0.1,-0.019537312168709273,-0.1108529954660136,0.044652613126186604,-0.01755843544517035,-0.12028781639826695,0.039277125744426995,False,False
GBM,Q - V,0.2,-0.025217588534043524,-0.11554064413370208,0.1055814975795897,-0.006997445290597237,-0.10075571722505529,0.10295777694518726,False,False
GBM,Q - rank(V),0.2,0.0033599330162152703,-0.13689268173567018,0.12372827794826854,0.0065378978966876555,-0.1490487670279268,0.1260037139827249,False,False
GBM,Q - signed ECDF(V),0.2,-0.047844882832823794,-0.15055577495363548,0.045180498054531476,-0.059658056373729416,-0.174522230007829,0.026859197926212997,False,False
GBM,Q - V,0.3,7.437593124633435e-05,-0.11687931603392628,0.13488448998533492,-0.001556317744675012,-0.11143692849148078,0.13083172108334917,False,False
GBM,Q - rank(V),0.3,0.0024886120393133745,-0.13741118885811976,0.14665981393183497,-0.013474769735452582,-0.16926737209849277,0.14323201367746,False,False
GBM,Q - signed ECDF(V),0.3,-0.04749613707623099,-0.14901670272918746,0.08883335852721476,-0.06103294484472912,-0.1632505821478427,0.07641992688114504,False,False
GBM,Q - V,0.5,0.04810399398941305,-0.0404444897710365,0.15800184610764473,0.024559933331256355,-0.054385985973109445,0.16835729269023036,False,False
GBM,Q - rank(V),0.5,0.05091021971419921,-0.07247251160203437,0.2042654136294194,0.04484293007930056,-0.08778687490723468,0.19839568240156957,False,False
GBM,Q - signed ECDF(V),0.5,0.012300670236031508,-0.07006186105309228,0.13197626499299983,0.023815036718385797,-0.06756810250789191,0.130084204024344,False,False
GBM,G - V,0.1,0.06398960238949129,-0.011261434116213252,0.1644657341303009,0.06569706826120218,-0.011642329416311352,0.16520907622744044,False,False
GBM,G - rank(V),0.1,0.09198815853364402,-0.011393044446607355,0.18196899670510883,0.06683359744018784,-0.028548439276821103,0.17111493274777242,False,False
GBM,G - signed ECDF(V),0.1,0.0011294586352129515,-0.05873566448863277,0.10609581909540533,0.002694327257453452,-0.07930068824226537,0.1020486895271042,False,False
GBM,G - V,0.2,0.08783823421582512,-0.017625226015309414,0.2052055678909065,0.1060649177409485,-0.01199645797490789,0.2142345061849301,False,False
GBM,G - rank(V),0.2,0.11641575576608394,0.0054644713575518625,0.21496051230674162,0.11960026092823339,-0.0045753275172273145,0.21866116646471148,True,False
GBM,G - signed ECDF(V),0.2,0.06521093991704487,-0.040729673648542256,0.14787898356256618,0.053404306657816335,-0.057706039558021435,0.12812802310602436,False,False
GBM,G - V,0.3,0.07208918828834772,-0.04533295956426437,0.1926080655749989,0.06942039318789342,-0.04997095070671831,0.19224453963216648,False,False
GBM,G - rank(V),0.3,0.07450342439641475,-0.0346279045190271,0.1850486244867145,0.05750194119711584,-0.059936159376780915,0.18039848484504972,False,False
GBM,G - signed ECDF(V),0.3,0.024518675280870393,-0.06656023576719357,0.14016045774797203,0.009943766087839315,-0.08114841896593572,0.12652780584201961,False,False
GBM,G - V,0.5,-0.007820801965669755,-0.10547295554425798,0.15461361373021676,-0.03249655379000694,-0.12310551247935082,0.1556257030058265,False,False
GBM,G - rank(V),0.5,-0.005014576240883596,-0.11637348095322993,0.13959684221475252,-0.01221355704196272,-0.13283198993805057,0.14633334925154134,False,False
GBM,G - signed ECDF(V),0.5,-0.04362412571905131,-0.13699080586433035,0.11888757424634087,-0.033241450402877494,-0.13525011917134153,0.11526876996384763,False,False
MLP,binary Q>0 - V>0,0.1,-0.04339803974537984,-0.11188726395158607,0.04292972691971869,-0.07195540979240397,-0.144655644209076,0.03083295020252064,False,False
