cell,arch,identical,max_abs_score_diff,eta20_official,eta20_refit
nuScenes|oracle|brake|J,gate_ridge,True,0.0,0.2543874753284293,0.2543874753284293
nuScenes|oracle|brake|J,gate_gbm,True,0.0,0.15541367691653446,0.15541367691653446
nuScenes|oracle|brake|J,R1_mlp_reg,True,0.0,0.3544077412718464,0.3544077412718464
nuScenes|oracle|brake|J,R1_mlp_clf,True,0.0,0.35398151420764795,0.35398151420764795
nuScenes|oracle|brake|J,R1_gbm_reg,True,0.0,0.19633594755466827,0.19633594755466827
nuScenes|oracle|brake|J,R1_gbm_clf,True,0.0,0.42144245544094144,0.42144245544094144
nuScenes|oracle|plan_ade|JC_ade,gate_ridge,True,0.0,-0.14951677306580266,-0.14951677306580266
nuScenes|oracle|plan_ade|JC_ade,gate_gbm,True,0.0,-0.14108214615702183,-0.14108214615702183
nuScenes|oracle|plan_ade|JC_ade,R1_mlp_reg,True,0.0,-0.07867243592753685,-0.07867243592753685
nuScenes|oracle|plan_ade|JC_ade,R1_mlp_clf,True,0.0,-0.07391448789488352,-0.07391448789488352
nuScenes|oracle|plan_ade|JC_ade,R1_gbm_reg,True,0.0,-0.08348500647360639,-0.08348500647360639
nuScenes|oracle|plan_ade|JC_ade,R1_gbm_clf,True,0.0,0.031370783877119605,0.031370783877119605
nuScenes|oracle|plan_fde|JC_fde,gate_ridge,True,0.0,0.029979351467357293,0.029979351467357293
nuScenes|oracle|plan_fde|JC_fde,gate_gbm,True,0.0,0.12469626769972209,0.12469626769972209
nuScenes|oracle|plan_fde|JC_fde,R1_mlp_reg,True,0.0,0.036766717039598974,0.036766717039598974
nuScenes|oracle|plan_fde|JC_fde,R1_mlp_clf,True,0.0,-0.04735201316023637,-0.04735201316023637
nuScenes|oracle|plan_fde|JC_fde,R1_gbm_reg,True,0.0,-0.09308908145973095,-0.09308908145973095
nuScenes|oracle|plan_fde|JC_fde,R1_gbm_clf,True,0.0,0.06495945197443771,0.06495945197443771
nuScenes|mono|brake|J,gate_ridge,True,0.0,0.29314891904692086,0.29314891904692086
nuScenes|mono|brake|J,gate_gbm,True,0.0,0.48159345854694213,0.48159345854694213
nuScenes|mono|brake|J,R1_mlp_reg,True,0.0,0.36610081250937354,0.36610081250937354
nuScenes|mono|brake|J,R1_mlp_clf,True,0.0,0.2550562968293743,0.2550562968293743
nuScenes|mono|brake|J,R1_gbm_reg,True,0.0,0.38294151631249196,0.38294151631249196
nuScenes|mono|brake|J,R1_gbm_clf,True,0.0,0.36887164339645423,0.36887164339645423
nuScenes|mono|plan_ade|JC_ade,gate_ridge,True,0.0,0.06265610014561854,0.06265610014561854
nuScenes|mono|plan_ade|JC_ade,gate_gbm,True,0.0,0.042025999851251584,0.042025999851251584
nuScenes|mono|plan_ade|JC_ade,R1_mlp_reg,True,0.0,0.2500761136602585,0.2500761136602585
nuScenes|mono|plan_ade|JC_ade,R1_mlp_clf,True,0.0,0.10173376493569976,0.10173376493569976
nuScenes|mono|plan_ade|JC_ade,R1_gbm_reg,True,0.0,-0.02159826630051098,-0.02159826630051098
nuScenes|mono|plan_ade|JC_ade,R1_gbm_clf,True,0.0,0.09010515101103672,0.09010515101103672
nuScenes|mono|plan_fde|JC_fde,gate_ridge,True,0.0,-0.04308242201009874,-0.04308242201009874
nuScenes|mono|plan_fde|JC_fde,gate_gbm,True,0.0,0.07862635187025536,0.07862635187025536
nuScenes|mono|plan_fde|JC_fde,R1_mlp_reg,True,0.0,0.2602225170775465,0.2602225170775465
nuScenes|mono|plan_fde|JC_fde,R1_mlp_clf,True,0.0,0.06451563092146581,0.06451563092146581
nuScenes|mono|plan_fde|JC_fde,R1_gbm_reg,True,0.0,-0.06207022040858505,-0.06207022040858505
nuScenes|mono|plan_fde|JC_fde,R1_gbm_clf,True,0.0,0.13124556804721843,0.13124556804721843
KITTI|oracle|brake|J,gate_ridge,True,0.0,0.2379227095968486,0.2379227095968486
KITTI|oracle|brake|J,gate_gbm,True,0.0,0.22621226805083577,0.22621226805083577
KITTI|oracle|brake|J,R1_mlp_reg,True,0.0,0.255483911446442,0.255483911446442
KITTI|oracle|brake|J,R1_mlp_clf,True,0.0,0.31337637996342604,0.31337637996342604
KITTI|oracle|brake|J,R1_gbm_reg,True,0.0,0.2927409444343634,0.2927409444343634
KITTI|oracle|brake|J,R1_gbm_clf,True,0.0,0.3604847504468612,0.3604847504468612
KITTI|oracle|traj|JB,gate_ridge,True,0.0,0.4554771856216117,0.4554771856216117
KITTI|oracle|traj|JB,gate_gbm,True,0.0,0.5382735606266613,0.5382735606266613
KITTI|oracle|traj|JB,R1_mlp_reg,True,0.0,0.35627222688647997,0.35627222688647997
KITTI|oracle|traj|JB,R1_mlp_clf,True,0.0,0.4221724711836316,0.4221724711836316
KITTI|oracle|traj|JB,R1_gbm_reg,True,0.0,0.5160470612892895,0.5160470612892895
KITTI|oracle|traj|JB,R1_gbm_clf,True,0.0,0.4836554181685283,0.4836554181685283
KITTI|mono|brake|J,gate_ridge,True,0.0,0.15592321410855306,0.15592321410855306
KITTI|mono|brake|J,gate_gbm,True,0.0,0.15826369729915046,0.15826369729915046
KITTI|mono|brake|J,R1_mlp_reg,True,0.0,0.17819172422056748,0.17819172422056748
KITTI|mono|brake|J,R1_mlp_clf,True,0.0,0.17216353397166592,0.17216353397166592
KITTI|mono|brake|J,R1_gbm_reg,True,0.0,0.20124611109304952,0.20124611109304952
KITTI|mono|brake|J,R1_gbm_clf,True,0.0,0.21495919906984853,0.21495919906984853
KITTI|mono|traj|JB,gate_ridge,True,0.0,0.2978137617129643,0.2978137617129643
KITTI|mono|traj|JB,gate_gbm,True,0.0,0.1839658206035396,0.1839658206035396
KITTI|mono|traj|JB,R1_mlp_reg,True,0.0,0.10656645869394232,0.10656645869394232
KITTI|mono|traj|JB,R1_mlp_clf,True,0.0,0.12740649448349328,0.12740649448349328
KITTI|mono|traj|JB,R1_gbm_reg,True,0.0,0.12532701685582354,0.12532701685582354
KITTI|mono|traj|JB,R1_gbm_clf,True,0.0,0.058500686007273026,0.058500686007273026
nuPlan|n/a|pdm_closed|safety,gate_ridge,True,0.0,0.9921085889806255,0.9921085889806255
nuPlan|n/a|pdm_closed|safety,gate_gbm,True,0.0,0.9921085889806255,0.9921085889806255
nuPlan|n/a|pdm_closed|safety,R1_mlp_reg,True,0.0,0.1434503857702971,0.1434503857702971
nuPlan|n/a|pdm_closed|safety,R1_mlp_clf,True,0.0,-0.06672041948463618,-0.06672041948463618
nuPlan|n/a|pdm_closed|safety,R1_gbm_reg,True,0.0,0.07183403692296864,0.07183403692296864
nuPlan|n/a|pdm_closed|safety,R1_gbm_clf,True,0.0,0.06897925171245935,0.06897925171245935
nuPlan|n/a|pdm_closed|scalar_J,gate_ridge,True,0.0,0.9881693559402288,0.9881693559402288
nuPlan|n/a|pdm_closed|scalar_J,gate_gbm,True,0.0,0.9893573565223529,0.9893573565223529
nuPlan|n/a|pdm_closed|scalar_J,R1_mlp_reg,True,0.0,0.14051048827290885,0.14051048827290885
nuPlan|n/a|pdm_closed|scalar_J,R1_mlp_clf,True,0.0,0.2775625847881968,0.2775625847881968
nuPlan|n/a|pdm_closed|scalar_J,R1_gbm_reg,True,0.0,0.06457820953947828,0.06457820953947828
nuPlan|n/a|pdm_closed|scalar_J,R1_gbm_clf,True,0.0,0.07226030595436043,0.07226030595436043
nuPlan|n/a|idm|safety,gate_ridge,True,0.0,,
nuPlan|n/a|idm|safety,gate_gbm,True,0.0,,
nuPlan|n/a|idm|safety,R1_mlp_reg,True,0.0,,
nuPlan|n/a|idm|safety,R1_mlp_clf,True,0.0,,
nuPlan|n/a|idm|safety,R1_gbm_reg,True,0.0,,
nuPlan|n/a|idm|safety,R1_gbm_clf,True,0.0,,
nuPlan|n/a|idm|scalar_J,gate_ridge,True,0.0,0.056206833299475525,0.056206833299475525
nuPlan|n/a|idm|scalar_J,gate_gbm,True,0.0,0.0,0.0
nuPlan|n/a|idm|scalar_J,R1_mlp_reg,True,0.0,0.030775317321001854,0.030775317321001854
nuPlan|n/a|idm|scalar_J,R1_mlp_clf,True,0.0,0.937578840322055,0.937578840322055
nuPlan|n/a|idm|scalar_J,R1_gbm_reg,True,0.0,0.0,0.0
nuPlan|n/a|idm|scalar_J,R1_gbm_clf,True,0.0,0.05920998476215632,0.05920998476215632
