setting,source,affected_shipped,affected_recomputed,affected_ok,harmed_shipped,harmed_recomputed,harmed_ok,rho_shipped,rho_recomputed,rho_ok,all_full_shipped,all_full_recomputed,all_full_ok,oracle20_shipped,oracle20_recomputed,oracle20_ok,ok
NS_320 mono q_brake,calibration_cells.csv S0 all,273,273,True,0.3956043956043956,0.3956043956043956,True,0.4070280287265681,0.40702802872656824,True,0.1646550986224518,0.16465509862245187,True,0.2776777092327792,0.27767770923277924,True,True
NS_320 oracle q_brake,calibration_cells.csv S0 all,141,141,True,0.3546099290780142,0.3546099290780142,True,0.4181636073595283,0.41816360735952834,True,0.1400599661990445,0.1400599661990445,True,0.2407205323878569,0.24072053238785693,True,True
RT_320 mono q_brake,the shipped per-frame tables,2354,2354,True,0.44180118946474084,0.44180118946474084,True,0.7007510232636827,0.7007510232636827,True,0.12634550989699628,0.12634550989699628,True,0.42220866141281954,0.42220866141281954,True,True
RT_320 mono q_traj,the shipped per-frame tables,517,517,True,0.49709864603481624,0.49709864603481624,True,0.762449546932958,0.7624495469329581,True,0.023022549545892244,0.023022549545892244,True,0.09691646237102643,0.09691646237102643,True,True
RT_480 mono q_brake,calibration_cells.csv S0 all,1947,1947,True,0.4216743708269132,0.4216743708269132,True,0.720339731721117,0.7203397317211169,True,0.0852156020727073,0.08521560207270736,True,0.3047111504152918,0.30471115041529184,True,True
RT_480 mono q_traj,calibration_cells.csv S0 all,295,295,True,0.4338983050847457,0.43389830508474575,True,0.578935563916635,0.5789355639166351,True,0.0293871919146126,0.02938719191461261,True,0.0697926241122733,0.0697926241122733,True,True
Y8_320 mono q_brake,calibration_cells.csv S0 all,2075,2075,True,0.3421686746987952,0.3421686746987952,True,0.167854783897682,0.16785478389768213,True,0.5168494285990892,0.5168494285990892,True,0.6211048487666122,0.6211048487666122,True,True
Y8_320 mono q_traj,calibration_cells.csv S0 all,678,678,True,0.4837758112094395,0.4837758112094395,True,0.2824709509652807,0.2824709509652807,True,0.1278204919151454,0.1278204919151454,True,0.1781398148090314,0.17813981480903146,True,True
Y8_320 oracle q_brake,calibration_cells.csv S0 all,1296,1296,True,0.2461419753086419,0.24614197530864199,True,0.0802385154245519,0.08023851542455199,True,0.6785748142109286,0.6785748142109286,True,0.7377725916889776,0.7377725916889776,True,True
Y8_320 oracle q_traj,calibration_cells.csv S0 all,463,463,True,0.0302375809935205,0.03023758099352052,True,0.0033946367285793,0.0033946367285793266,True,0.6834446714145355,0.6834446714145355,True,0.6857726203389918,0.6857726203389918,True,True
Y8_384 mono q_brake,calibration_cells.csv S0 all,1771,1771,True,0.3980801806888763,0.39808018068887635,True,0.4731134004370673,0.4731134004370671,True,0.193807677157988,0.19380767715798808,True,0.3678356544249886,0.36783565442498867,True,True
Y8_384 mono q_traj,calibration_cells.csv S0 all,458,458,True,0.4868995633187773,0.4868995633187773,True,0.4585841134217043,0.4585841134217043,True,0.0597027264270057,0.059702726427005706,True,0.1102714713532364,0.11027147135323649,True,True
Y8_512 mono q_brake,calibration_cells.csv S0 all,1470,1470,True,0.4285714285714285,0.42857142857142855,True,0.6152373049046553,0.6152373049046556,True,0.0972599477413022,0.09725994774130227,True,0.2527790479199168,0.2527790479199168,True,True
Y8_512 mono q_traj,calibration_cells.csv S0 all,266,266,True,0.5375939849624061,0.5375939849624061,True,1.114138429663965,1.114138429663965,True,-0.0058902612456943,-0.00589026124569438,True,0.0516062930166107,0.05160629301661071,True,True
