section,track,geometry,system,target,split,n_inputs,n_affected,n_harmed,harmed_over_affected,harmed_over_all_inputs,signal,quota,ndg_recomputed,ndg_released,matches_3dp,trivial,n_test_frames,n_test_units,all_cheap_loss,gain,gain_random,delta_vs_random,delta_share_all_cheap,ndg,oracle_prize,undefined_reason,delta_lo_all_draws,delta_hi_all_draws,delta_share_lo_all_draws,delta_share_hi_all_draws,delta_lo_filtered,delta_hi_filtered,draws_dropped_by_filter,beats_random_all_draws,beats_random_filtered,available,ndg_full,ndg_min_leave_one_out,ndg_max_leave_one_out,gain_full,gain_min_leave_one_out,gain_max_leave_one_out,most_influential_unit,ndg_without_that_unit,gain_without_that_unit,ndg_change_without_that_unit
harm,nuScenes,oracle,brake,J,test,955.0,25.0,8.0,0.32,0.008376963350785341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,brake,J,all,3376.0,141.0,50.0,0.3546099290780142,0.01481042654028436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_ade,JC_ade,test,752.0,302.0,156.0,0.5165562913907285,0.2074468085106383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_ade,JC_ade,all,2655.0,1179.0,600.0,0.5089058524173028,0.22598870056497175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_fde,JC_fde,test,752.0,125.0,56.0,0.448,0.07446808510638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,oracle,plan_fde,JC_fde,all,2655.0,478.0,219.0,0.4581589958158996,0.08248587570621468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,brake,J,test,955.0,57.0,22.0,0.38596491228070173,0.023036649214659685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,brake,J,all,3376.0,273.0,108.0,0.3956043956043956,0.031990521327014215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_ade,JC_ade,test,752.0,453.0,225.0,0.4966887417218543,0.2992021276595745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_ade,JC_ade,all,2655.0,1612.0,794.0,0.49255583126550867,0.2990583804143126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_fde,JC_fde,test,752.0,181.0,85.0,0.4696132596685083,0.11303191489361702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,nuScenes,mono,plan_fde,JC_fde,all,2655.0,656.0,329.0,0.5015243902439024,0.12391713747645951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,brake,J,test,3536.0,584.0,207.0,0.3544520547945205,0.05854072398190045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,brake,J,all,8008.0,1296.0,319.0,0.24614197530864199,0.03983516483516483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,KITTI,oracle,traj,JB,test,3536.0,100.0,8.0,0.08,0.0022624434389140274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
