setting,check,abs_diff,pass,part,reference,quantity,mine,shipped
nuSc Y8 320->640|oracle,terms sum to J_cheap,0.0,True,,,,,
nuSc Y8 320->640|oracle,terms sum to J_full,0.0,True,,,,,
nuSc Y8 320->640|mono,terms sum to J_cheap,0.0,True,,,,,
nuSc Y8 320->640|mono,terms sum to J_full,0.0,True,,,,,
Y8 320->640|mono,terms sum to J_cheap,0.0,True,,,,,
Y8 320->640|mono,terms sum to J_full,0.0,True,,,,,
Y8 320->640|oracle,terms sum to J_cheap,0.0,True,,,,,
Y8 320->640|oracle,terms sum to J_full,0.0,True,,,,,
Y8 384->640|mono,terms sum to J_cheap,0.0,True,,,,,
Y8 384->640|mono,terms sum to J_full,0.0,True,,,,,
Y8 512->640|mono,terms sum to J_cheap,0.0,True,,,,,
Y8 512->640|mono,terms sum to J_full,0.0,True,,,,,
RT 320->640|mono,terms sum to J_cheap,0.0,True,,,,,
RT 320->640|mono,terms sum to J_full,0.0,True,,,,,
RT 480->640|mono,terms sum to J_cheap,0.0,True,,,,,
RT 480->640|mono,terms sum to J_full,0.0,True,,,,,
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,affected,141.0,141.0
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3546099290780142,0.3546099290780142
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,rho,0.4181636073595283,0.4181636073595283
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,all_full,0.1400599661990445,0.1400599661990445
nuSc Y8 320->640|oracle,,2.7755575615628914e-17,True,A,shared_history_effect.csv,oracle20,0.24072053238785693,0.2407205323878569
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,affected,141.0,141.0
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,harmed_share,0.3546099290780142,0.3546099290780142
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,rho,0.4181636073595283,0.4181636073595283
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,all_full,0.1400599661990445,0.1400599661990445
nuSc Y8 320->640|oracle,,2.7755575615628914e-17,True,A,calibration_cells.csv,oracle20,0.24072053238785693,0.2407205323878569
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,affected,141.0,141.0
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3546099290780142,0.3546099290780142
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,rho,0.4181636073595283,0.4181636073595283
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,all_full,0.1400599661990445,0.1400599661990445
nuSc Y8 320->640|oracle,,2.7755575615628914e-17,True,A,shared_history_effect.csv,oracle20,0.24072053238785693,0.2407205323878569
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,affected,141.0,141.0
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,harmed_share,0.3546099290780142,0.3546099290780142
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,rho,0.4181636073595283,0.4181636073595283
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,all_full,0.1400599661990445,0.1400599661990445
nuSc Y8 320->640|oracle,,2.7755575615628914e-17,True,A,calibration_cells.csv,oracle20,0.24072053238785693,0.2407205323878569
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,affected,141.0,141.0
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3546099290780142,0.3546099290780142
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,rho,0.4181636073595283,0.4181636073595283
nuSc Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,all_full,0.1400599661990445,0.1400599661990445
nuSc Y8 320->640|oracle,,2.7755575615628914e-17,True,A,shared_history_effect.csv,oracle20,0.24072053238785693,0.2407205323878569
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,affected,141.0,141.0
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,harmed_share,0.3546099290780142,0.3546099290780142
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,rho,0.4181636073595283,0.4181636073595283
nuSc Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,all_full,0.1400599661990445,0.1400599661990445
nuSc Y8 320->640|oracle,,2.7755575615628914e-17,True,A,calibration_cells.csv,oracle20,0.24072053238785693,0.2407205323878569
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,affected,273.0,273.0
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3956043956043956,0.3956043956043956
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,rho,0.4070280287265681,0.4070280287265682
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,all_full,0.16465509862245187,0.1646550986224518
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,oracle20,0.2776777092327792,0.2776777092327792
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,affected,273.0,273.0
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,harmed_share,0.3956043956043956,0.3956043956043956
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,rho,0.4070280287265681,0.4070280287265681
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,calibration_cells.csv,all_full,0.16465509862245187,0.1646550986224518
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,oracle20,0.2776777092327792,0.2776777092327792
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,affected,273.0,273.0
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3956043956043956,0.3956043956043956
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,rho,0.4070280287265681,0.4070280287265682
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,all_full,0.16465509862245187,0.1646550986224518
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,oracle20,0.2776777092327792,0.2776777092327792
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,affected,273.0,273.0
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,harmed_share,0.3956043956043956,0.3956043956043956
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,rho,0.4070280287265681,0.4070280287265681
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,calibration_cells.csv,all_full,0.16465509862245187,0.1646550986224518
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,oracle20,0.2776777092327792,0.2776777092327792
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,affected,273.0,273.0
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3956043956043956,0.3956043956043956
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,rho,0.4070280287265681,0.4070280287265682
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,all_full,0.16465509862245187,0.1646550986224518
nuSc Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,oracle20,0.2776777092327792,0.2776777092327792
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,affected,273.0,273.0
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,harmed_share,0.3956043956043956,0.3956043956043956
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,rho,0.4070280287265681,0.4070280287265681
nuSc Y8 320->640|mono,,5.551115123125783e-17,True,A,calibration_cells.csv,all_full,0.16465509862245187,0.1646550986224518
nuSc Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,oracle20,0.2776777092327792,0.2776777092327792
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,affected,2075.0,2075.0
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3421686746987952,0.3421686746987952
Y8 320->640|mono,,2.7755575615628914e-17,True,A,shared_history_effect.csv,rho,0.16785478389768207,0.1678547838976821
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,all_full,0.5168494285990892,0.5168494285990892
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,oracle20,0.6211048487666122,0.6211048487666122
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,affected,2075.0,2075.0
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,harmed_share,0.3421686746987952,0.3421686746987952
Y8 320->640|mono,,8.326672684688674e-17,True,A,calibration_cells.csv,rho,0.16785478389768207,0.167854783897682
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,all_full,0.5168494285990892,0.5168494285990892
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,oracle20,0.6211048487666122,0.6211048487666122
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,affected,2075.0,2075.0
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3421686746987952,0.3421686746987952
Y8 320->640|mono,,2.7755575615628914e-17,True,A,shared_history_effect.csv,rho,0.16785478389768207,0.1678547838976821
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,all_full,0.5168494285990892,0.5168494285990892
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,oracle20,0.6211048487666122,0.6211048487666122
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,affected,2075.0,2075.0
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,harmed_share,0.3421686746987952,0.3421686746987952
Y8 320->640|mono,,8.326672684688674e-17,True,A,calibration_cells.csv,rho,0.16785478389768207,0.167854783897682
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,all_full,0.5168494285990892,0.5168494285990892
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,oracle20,0.6211048487666122,0.6211048487666122
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,affected,2075.0,2075.0
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,harmed_share,0.3421686746987952,0.3421686746987952
Y8 320->640|mono,,2.7755575615628914e-17,True,A,shared_history_effect.csv,rho,0.16785478389768207,0.1678547838976821
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,all_full,0.5168494285990892,0.5168494285990892
Y8 320->640|mono,,0.0,True,A,shared_history_effect.csv,oracle20,0.6211048487666122,0.6211048487666122
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,affected,2075.0,2075.0
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,harmed_share,0.3421686746987952,0.3421686746987952
Y8 320->640|mono,,8.326672684688674e-17,True,A,calibration_cells.csv,rho,0.16785478389768207,0.167854783897682
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,all_full,0.5168494285990892,0.5168494285990892
Y8 320->640|mono,,0.0,True,A,calibration_cells.csv,oracle20,0.6211048487666122,0.6211048487666122
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,affected,1296.0,1296.0
Y8 320->640|oracle,,8.326672684688674e-17,True,A,shared_history_effect.csv,harmed_share,0.24614197530864199,0.2461419753086419
Y8 320->640|oracle,,5.551115123125783e-17,True,A,shared_history_effect.csv,rho,0.08023851542455196,0.0802385154245519
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,all_full,0.6785748142109286,0.6785748142109286
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,oracle20,0.7377725916889776,0.7377725916889776
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,affected,1296.0,1296.0
Y8 320->640|oracle,,8.326672684688674e-17,True,A,calibration_cells.csv,harmed_share,0.24614197530864199,0.2461419753086419
Y8 320->640|oracle,,5.551115123125783e-17,True,A,calibration_cells.csv,rho,0.08023851542455196,0.0802385154245519
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,all_full,0.6785748142109286,0.6785748142109286
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,oracle20,0.7377725916889776,0.7377725916889776
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,affected,1296.0,1296.0
Y8 320->640|oracle,,8.326672684688674e-17,True,A,shared_history_effect.csv,harmed_share,0.24614197530864199,0.2461419753086419
Y8 320->640|oracle,,5.551115123125783e-17,True,A,shared_history_effect.csv,rho,0.08023851542455196,0.0802385154245519
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,all_full,0.6785748142109286,0.6785748142109286
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,oracle20,0.7377725916889776,0.7377725916889776
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,affected,1296.0,1296.0
Y8 320->640|oracle,,8.326672684688674e-17,True,A,calibration_cells.csv,harmed_share,0.24614197530864199,0.2461419753086419
Y8 320->640|oracle,,5.551115123125783e-17,True,A,calibration_cells.csv,rho,0.08023851542455196,0.0802385154245519
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,all_full,0.6785748142109286,0.6785748142109286
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,oracle20,0.7377725916889776,0.7377725916889776
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,affected,1296.0,1296.0
Y8 320->640|oracle,,8.326672684688674e-17,True,A,shared_history_effect.csv,harmed_share,0.24614197530864199,0.2461419753086419
Y8 320->640|oracle,,5.551115123125783e-17,True,A,shared_history_effect.csv,rho,0.08023851542455196,0.0802385154245519
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,all_full,0.6785748142109286,0.6785748142109286
Y8 320->640|oracle,,0.0,True,A,shared_history_effect.csv,oracle20,0.7377725916889776,0.7377725916889776
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,affected,1296.0,1296.0
Y8 320->640|oracle,,8.326672684688674e-17,True,A,calibration_cells.csv,harmed_share,0.24614197530864199,0.2461419753086419
Y8 320->640|oracle,,5.551115123125783e-17,True,A,calibration_cells.csv,rho,0.08023851542455196,0.0802385154245519
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,all_full,0.6785748142109286,0.6785748142109286
Y8 320->640|oracle,,0.0,True,A,calibration_cells.csv,oracle20,0.7377725916889776,0.7377725916889776
Y8 384->640|mono,,0.0,True,A,shared_history_effect.csv,affected,1771.0,1771.0
Y8 384->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,harmed_share,0.39808018068887635,0.3980801806888763
Y8 384->640|mono,,1.6653345369377348e-16,True,A,shared_history_effect.csv,rho,0.4731134004370673,0.4731134004370671
Y8 384->640|mono,,8.326672684688674e-17,True,A,shared_history_effect.csv,all_full,0.19380767715798808,0.193807677157988
Y8 384->640|mono,,5.551115123125783e-17,True,A,shared_history_effect.csv,oracle20,0.36783565442498867,0.3678356544249886
Y8 384->640|mono,,0.0,True,A,calibration_cells.csv,affected,1771.0,1771.0
Y8 384->640|mono,,5.551115123125783e-17,True,A,calibration_cells.csv,harmed_share,0.39808018068887635,0.3980801806888763
Y8 384->640|mono,,0.0,True,A,calibration_cells.csv,rho,0.4731134004370673,0.4731134004370673
Y8 384->640|mono,,8.326672684688674e-17,True,A,calibration_cells.csv,all_full,0.19380767715798808,0.193807677157988
Y8 384->640|mono,,5.551115123125783e-17,True,A,calibration_cells.csv,oracle20,0.36783565442498867,0.3678356544249886
