geometry,scheme,split,n_plan_frames,both_nonzero,opposite_sign
oracle,S0,all,2655,79,40
oracle,S0,test,752,16,9
oracle,S1,all,2655,68,36
oracle,S1,test,752,17,14
oracle,S2,all,2655,64,34
oracle,S2,test,752,14,11
oracle,S3,all,2655,74,40
oracle,S3,test,752,17,12
oracle,S4,all,2655,90,51
oracle,S4,test,752,14,10
mono,S0,all,2655,171,88
mono,S0,test,752,37,24
mono,S1,all,2655,150,82
mono,S1,test,752,34,21
mono,S2,all,2655,150,80
mono,S2,test,752,33,22
mono,S3,all,2655,161,83
mono,S3,test,752,36,23
mono,S4,all,2655,156,80
mono,S4,test,752,41,24
