cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,history,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S0,all,0.25,0.25,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,4.177725118483412,0.5787010777084515,0.49871685201026517,141,50,0.3546099290780142,0.2222222222222222,0.4891640786749482,0.4181636073595283,0.18959716357773232,0.7619166867316243,0.1400599661990445,0.24072053238785693,0.25,96.0,0.07898202256660859,0.014445173998686802,0.24444444444444444,0.31932773109243695,119.0,0.07451201819984365,0.007619047619047619,0.1568627450980392,0.3900709219858156,141.0,0.06947551712458758,0.007681564245810056,0.1896551724137931,0.26804123711340205,97.0,0.10592032788075163,0.016556291390728478,0.23809523809523808,79.0,40.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S0,test,0.25,0.25,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,3.1905759162303666,0.6160157531998687,0.4915792042958262,25,8,0.32,0.0967357910906298,0.5416964285714285,0.25902392026705606,0.0335136254264943,0.9695291406574814,0.142198850325279,0.191907477467463,0.11764705882352941,17.0,0.10009741093190282,0.00546448087431694,0.13333333333333333,0.3333333333333333,18.0,0.05208134912792438,0.007017543859649123,0.25,0.36,25.0,0.06392553767601927,0.002512562814070352,0.1,0.06666666666666667,15.0,0.1561313414655223,0.003968253968253968,0.07692307692307693,16.0,9.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S1,all,0.25,0.498046875,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,2.593601895734597,0.7643901324805847,0.4099230111206159,109,42,0.3853211009174312,0.27353540647565805,0.5048645886561063,0.5397001036803504,0.252052018256494,0.9789398712190125,0.08521175848065646,0.18512226303323398,0.2608695652173913,69.0,0.07774348349199788,0.013986013986013986,0.2857142857142857,0.2553191489361702,94.0,0.08300829618758304,0.012195121951219513,0.25,0.26851851851851855,108.0,0.09248676805535702,0.009559214020180564,0.24324324324324326,0.2702702702702703,74.0,0.0946129606830453,0.014251781472684086,0.25,68.0,36.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S1,test,0.25,0.498046875,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.095287958115183,0.7731134432783608,0.4068830851842812,27,12,0.4444444444444444,0.23496732026143793,0.6538793103448276,0.4474063751966052,0.18154980900769468,1.0334146364309045,0.09711811509044398,0.17574961188703045,0.09523809523809523,21.0,0.17419201483485675,0.004016064257028112,0.09090909090909091,0.13636363636363635,22.0,0.12387443919840456,0.005698005698005698,0.16666666666666666,0.18518518518518517,27.0,0.12720712716775168,0.00411522633744856,0.14285714285714285,0.09523809523809523,21.0,0.20427165332693517,0.005714285714285714,0.09090909090909091,17.0,14.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S2,all,0.25,0.4,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.0906398104265405,0.7026068621813303,0.4495580268035358,116,40,0.3448275862068966,0.2221955128205128,0.45588529411764706,0.38710235707179674,0.1645571792879382,0.7080602130519424,0.1268130970370263,0.2069074640769693,0.2702702702702703,74.0,0.06103256558840107,0.014729950900163666,0.28125,0.2653061224489796,98.0,0.07137769646720142,0.011940298507462687,0.22857142857142856,0.30434782608695654,115.0,0.07917297923290466,0.010620458356623811,0.24050632911392406,0.2911392405063291,79.0,0.08292520770043857,0.016,0.25806451612903225,64.0,34.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S2,test,0.25,0.4,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.4544502617801047,0.7226962457337884,0.4449597266292409,24,8,0.3333333333333333,0.1499537037037037,0.5294117647058824,0.1924921399593204,0.056600909679590465,0.5908625306995581,0.1467782973512074,0.18176702000623643,0.1111111111111111,18.0,0.1217110933312999,0.006666666666666667,0.15384615384615385,0.15789473684210525,19.0,0.09363136653978882,0.005988023952095809,0.15384615384615385,0.25,24.0,0.09120640093547551,0.004329004329004329,0.14285714285714285,0.058823529411764705,17.0,0.18103826092158662,0.004830917874396135,0.08333333333333333,14.0,11.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S3,all,0.25,0.34,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,3.4410545023696684,0.6597228200051648,0.4695181066438551,129,44,0.34108527131782945,0.234867967132911,0.45655235762400487,0.40828540008901776,0.18288017363372153,0.7326516596193594,0.13260511442204725,0.22410316467093502,0.25287356321839083,87.0,0.07375569789142782,0.014925373134328358,0.2597402597402597,0.30303030303030304,99.0,0.06696438493706533,0.011164274322169059,0.22950819672131148,0.34108527131782945,129.0,0.07504111214957274,0.011876484560570071,0.24691358024691357,0.26666666666666666,90.0,0.1007930667312794,0.016682113067655237,0.24324324324324326,74.0,40.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S3,test,0.25,0.34,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,2.6848167539267016,0.6879875195007801,0.4639980473517208,27,10,0.37037037037037035,0.2,0.5714285714285714,0.29198148516890665,0.09336081151651823,0.9981747063273112,0.13587404718149468,0.191907477467463,0.1,20.0,0.13385314857862407,0.006060606060606061,0.13333333333333333,0.21052631578947367,19.0,0.07972652605905672,0.006134969325153374,0.2,0.2962962962962963,27.0,0.08914991862161845,0.004484304932735426,0.15384615384615385,0.05555555555555555,18.0,0.18582046649930892,0.004464285714285714,0.07692307692307693,17.0,12.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S4,all,0.25,0.1,shared,3376,85,2.5589454976303316,0.6541266350272023,0.3439406900484745,7.063388625592417,0.386899270317873,0.5597946963216425,176,73,0.4147727272727273,0.2716028942850135,0.5511639246947082,0.44091879244578114,0.20526427367093586,0.8580395197893695,0.1817012696537895,0.3249997803515305,0.31496062992125984,127.0,0.07052253353958667,0.0209366391184573,0.3064516129032258,0.46153846153846156,156.0,0.07402634774449214,0.006726457399103139,0.15789473684210525,0.48295454545454547,176.0,0.06554852473359668,0.00644122383252818,0.15384615384615385,0.3089430894308943,123.0,0.11937513998029727,0.02328863796753705,0.2920353982300885,90.0,51.0
nuScenes oracle Y8 320->640 q_brake,nuScenes,brake,oracle,False,S4,test,0.25,0.1,shared,955,24,1.974869109947644,0.6755037115588547,0.3295093971198438,5.281675392670157,0.41871530531324347,0.5499145716377838,31,12,0.3870967741935484,0.1427579365079365,0.625,0.23820681315632583,0.04527679974851961,0.8713663037656568,0.17650748792166293,0.23170000857185882,0.3,20.0,0.041541994039149405,0.011764705882352941,0.2631578947368421,0.5517241379310345,29.0,-0.020997970353661077,0.015151515151515152,0.4,0.5161290322580645,31.0,-0.008689136983492898,0.005025125628140704,0.2,0.2222222222222222,18.0,0.12206099444482339,0.013201320132013201,0.2222222222222222,14.0,10.0
