part,pair,geometry,parameter,value,file,seconds
B,Y8 320->640,mono,default,0.0,B__Y8_320to640__mono__default_0.0.pkl,86.873939037323
B,Y8 320->640,oracle,default,0.0,B__Y8_320to640__oracle__default_0.0.pkl,93.91521620750427
B,Y8 384->640,mono,default,0.0,B__Y8_384to640__mono__default_0.0.pkl,85.68182134628296
B,Y8 512->640,mono,default,0.0,B__Y8_512to640__mono__default_0.0.pkl,77.09656858444214
B,RT 320->640,mono,default,0.0,B__RT_320to640__mono__default_0.0.pkl,94.92869353294373
B,RT 480->640,mono,default,0.0,B__RT_480to640__mono__default_0.0.pkl,99.20931601524353
B,Y8 320->640,mono,w_collision,5.0,B__Y8_320to640__mono__w_collision_5.0.pkl,65.37011885643005
B,Y8 320->640,mono,w_collision,20.0,B__Y8_320to640__mono__w_collision_20.0.pkl,55.32936406135559
B,Y8 320->640,mono,w_clearance,0.75,B__Y8_320to640__mono__w_clearance_0.75.pkl,56.394781827926636
B,Y8 320->640,mono,w_clearance,3.0,B__Y8_320to640__mono__w_clearance_3.0.pkl,55.32607913017273
B,Y8 320->640,mono,w_progress,0.5,B__Y8_320to640__mono__w_progress_0.5.pkl,55.26325440406799
B,Y8 320->640,mono,w_progress,2.0,B__Y8_320to640__mono__w_progress_2.0.pkl,56.846402406692505
B,Y8 320->640,oracle,w_collision,5.0,B__Y8_320to640__oracle__w_collision_5.0.pkl,63.13638234138489
B,Y8 320->640,oracle,w_collision,20.0,B__Y8_320to640__oracle__w_collision_20.0.pkl,62.98785758018494
B,Y8 320->640,oracle,w_clearance,0.75,B__Y8_320to640__oracle__w_clearance_0.75.pkl,65.08567118644714
B,Y8 320->640,oracle,w_clearance,3.0,B__Y8_320to640__oracle__w_clearance_3.0.pkl,68.79827332496643
B,Y8 320->640,oracle,w_progress,0.5,B__Y8_320to640__oracle__w_progress_0.5.pkl,70.3510856628418
B,Y8 320->640,oracle,w_progress,2.0,B__Y8_320to640__oracle__w_progress_2.0.pkl,70.22703003883362
B,Y8 384->640,mono,w_collision,5.0,B__Y8_384to640__mono__w_collision_5.0.pkl,56.52562212944031
B,Y8 384->640,mono,w_collision,20.0,B__Y8_384to640__mono__w_collision_20.0.pkl,66.42427897453308
B,Y8 384->640,mono,w_clearance,0.75,B__Y8_384to640__mono__w_clearance_0.75.pkl,65.40447616577148
B,Y8 384->640,mono,w_clearance,3.0,B__Y8_384to640__mono__w_clearance_3.0.pkl,55.55532717704773
B,Y8 384->640,mono,w_progress,0.5,B__Y8_384to640__mono__w_progress_0.5.pkl,57.18541955947876
B,Y8 384->640,mono,w_progress,2.0,B__Y8_384to640__mono__w_progress_2.0.pkl,55.48563885688782
B,Y8 512->640,mono,w_collision,5.0,B__Y8_512to640__mono__w_collision_5.0.pkl,55.90811634063721
B,Y8 512->640,mono,w_collision,20.0,B__Y8_512to640__mono__w_collision_20.0.pkl,79.6297562122345
B,Y8 512->640,mono,w_clearance,0.75,B__Y8_512to640__mono__w_clearance_0.75.pkl,77.46089196205139
B,Y8 512->640,mono,w_clearance,3.0,B__Y8_512to640__mono__w_clearance_3.0.pkl,55.84674668312073
B,Y8 512->640,mono,w_progress,0.5,B__Y8_512to640__mono__w_progress_0.5.pkl,58.23400545120239
B,Y8 512->640,mono,w_progress,2.0,B__Y8_512to640__mono__w_progress_2.0.pkl,56.36400628089905
B,RT 320->640,mono,w_collision,5.0,B__RT_320to640__mono__w_collision_5.0.pkl,95.88280034065247
B,RT 320->640,mono,w_collision,20.0,B__RT_320to640__mono__w_collision_20.0.pkl,58.38278102874756
B,RT 320->640,mono,w_clearance,0.75,B__RT_320to640__mono__w_clearance_0.75.pkl,102.671630859375
B,RT 320->640,mono,w_clearance,3.0,B__RT_320to640__mono__w_clearance_3.0.pkl,63.580050468444824
B,RT 320->640,mono,w_progress,0.5,B__RT_320to640__mono__w_progress_0.5.pkl,65.08637690544128
B,RT 320->640,mono,w_progress,2.0,B__RT_320to640__mono__w_progress_2.0.pkl,57.19503712654114
B,RT 480->640,mono,w_collision,5.0,B__RT_480to640__mono__w_collision_5.0.pkl,57.59783864021301
B,RT 480->640,mono,w_collision,20.0,B__RT_480to640__mono__w_collision_20.0.pkl,99.77791714668274
B,RT 480->640,mono,w_clearance,0.75,B__RT_480to640__mono__w_clearance_0.75.pkl,98.3194568157196
B,RT 480->640,mono,w_clearance,3.0,B__RT_480to640__mono__w_clearance_3.0.pkl,57.75122141838074
B,RT 480->640,mono,w_progress,0.5,B__RT_480to640__mono__w_progress_0.5.pkl,57.90360927581787
B,RT 480->640,mono,w_progress,2.0,B__RT_480to640__mono__w_progress_2.0.pkl,57.022767066955566
