part,system,setting,pair,geometry,parameter,value,default_value,is_default,n_inputs,affected,harmed,harmed_share,harmed_share_lo,harmed_share_hi,rho,rho_lo,rho_hi,all_full,oracle20
C,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,corridor_half_width,1.2,1.2,True,3376,141,50,0.3546099290780142,0.22445447409733124,0.48026315789473684,0.4181636073595283,0.19745866262622805,0.7440473887703136,0.1400599661990445,0.24072053238785693
C,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,corridor_half_width,1.2,1.2,True,3376,273,108,0.3956043956043956,0.31968417510575564,0.47254001185536454,0.4070280287265681,0.28723202601800074,0.5887001269547766,0.16465509862245187,0.2776777092327792
C,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,corridor_half_width,1.0,1.2,False,3376,131,47,0.35877862595419846,0.21963090204369273,0.5,0.4578864388799912,0.19104639768644913,0.9122418488358601,0.1220630709025216,0.22516144154434883
C,brake,nuSc Y8 320->640|oracle,nuSc Y8 320->640,oracle,corridor_half_width,1.5,1.2,False,3376,159,58,0.36477987421383645,0.24386548410938655,0.4859627275850223,0.3311757865543931,0.16415480119512738,0.6609355501954294,0.20157654894552132,0.3013894307250808
C,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,corridor_half_width,1.0,1.2,False,3376,260,102,0.3923076923076923,0.30072206949090785,0.4699428749480681,0.4124431714877123,0.2665103991890956,0.5914777730718713,0.17344917806342072,0.29520408860296893
C,brake,nuSc Y8 320->640|mono,nuSc Y8 320->640,mono,corridor_half_width,1.5,1.2,False,3376,310,129,0.4161290322580645,0.3429468876490537,0.48720588235294116,0.37160469373327376,0.2593656830569535,0.5470687711571421,0.18010793961369495,0.28661566663142274
C,brake,Y8 320->640|mono,Y8 320->640,mono,corridor_half_width,1.2,1.2,True,8008,2075,710,0.3421686746987952,0.20825544902451207,0.4659097062889228,0.16785478389768207,0.04631073163695738,0.5915046844022892,0.5168494285990892,0.6211048487666122
C,brake,Y8 320->640|oracle,Y8 320->640,oracle,corridor_half_width,1.2,1.2,True,8008,1296,319,0.24614197530864199,0.10488546670918154,0.4195543778880473,0.08023851542455196,0.023210239214953472,0.3709609455980554,0.6785748142109286,0.7377725916889776
C,brake,Y8 384->640|mono,Y8 384->640,mono,corridor_half_width,1.2,1.2,True,8008,1771,705,0.39808018068887635,0.28886592833856584,0.4972797584934496,0.4731134004370673,0.18763866268907287,0.9014680315376554,0.19380767715798808,0.36783565442498867
C,brake,Y8 512->640|mono,Y8 512->640,mono,corridor_half_width,1.2,1.2,True,8008,1470,630,0.42857142857142855,0.37202693226498845,0.48003624282694046,0.6152373049046553,0.3994381274609477,0.8147009936768963,0.09725994774130227,0.2527790479199168
C,brake,RT 320->640|mono,RT 320->640,mono,corridor_half_width,1.2,1.2,True,8008,2354,1040,0.44180118946474084,0.3781980140186916,0.5100826822768375,0.7007510232636827,0.41922661280983203,0.9938645386618851,0.12634550989699628,0.42220866141281954
C,brake,RT 480->640|mono,RT 480->640,mono,corridor_half_width,1.2,1.2,True,8008,1947,821,0.4216743708269132,0.38803616247527445,0.4598346569723963,0.720339731721117,0.6019290092533345,0.9334519075244925,0.08521560207270736,0.3047111504152918
C,brake,Y8 320->640|mono,Y8 320->640,mono,corridor_half_width,1.0,1.2,False,8008,2023,662,0.3272367770637667,0.1984860609662362,0.4564062911209713,0.15395766828418517,0.041299244213213585,0.5686673662076588,0.5858054393651339,0.6924067713929785
C,brake,Y8 320->640|mono,Y8 320->640,mono,corridor_half_width,1.5,1.2,False,8008,2191,757,0.3455043359196714,0.22528033176417844,0.4604018267927093,0.215484967455663,0.07521138827780943,0.6244116720144519,0.39736573496937194,0.5065113076044406
C,brake,Y8 320->640|oracle,Y8 320->640,oracle,corridor_half_width,1.0,1.2,False,8008,1214,269,0.2215815485996705,0.08408463348445969,0.39005599528253004,0.07004716749117063,0.01962292043404572,0.31599516544876965,0.711659998427941,0.7652646172473322
C,brake,Y8 320->640|oracle,Y8 320->640,oracle,corridor_half_width,1.5,1.2,False,8008,1420,374,0.2633802816901408,0.11771100284993151,0.41823279019307047,0.09664896908165195,0.027356396768185604,0.38894750740731754,0.589477258712087,0.6525450666866733
C,brake,Y8 384->640|mono,Y8 384->640,mono,corridor_half_width,1.0,1.2,False,8008,1706,664,0.3892145369284877,0.2814707602197876,0.4985788347366652,0.41087089942855126,0.19036656365256424,0.8021213432963601,0.25497862997669896,0.4328060347543053
C,brake,Y8 384->640|mono,Y8 384->640,mono,corridor_half_width,1.5,1.2,False,8008,1878,742,0.3951011714589989,0.2941683210111624,0.4868986019604692,0.5065207890923127,0.25488936621125496,0.8046903772871237,0.14484964433342878,0.2935273485320644
C,brake,Y8 512->640|mono,Y8 512->640,mono,corridor_half_width,1.0,1.2,False,8008,1412,602,0.4263456090651558,0.36580285288910347,0.4784397663174859,0.5942223705266921,0.39511284028008503,0.7763226650512285,0.12151614978315758,0.2994648816419076
C,brake,Y8 512->640|mono,Y8 512->640,mono,corridor_half_width,1.5,1.2,False,8008,1525,653,0.4281967213114754,0.3775968521482597,0.4776585723181136,0.7137580156243241,0.5206669729332903,0.9412097994567807,0.06605875261917091,0.23077939724059726
C,brake,RT 320->640|mono,RT 320->640,mono,corridor_half_width,1.0,1.2,False,8008,2320,1020,0.4396551724137931,0.36989327435057984,0.5105745477856308,0.6702263766710158,0.404919208723565,0.9955989783028548,0.16059535725212348,0.4869866656737206
C,brake,RT 320->640|mono,RT 320->640,mono,corridor_half_width,1.5,1.2,False,8008,2375,1064,0.448,0.3937285922910121,0.5167240806589859,0.8076659414115867,0.5471974842949384,1.1246713048431765,0.07806130334190442,0.40586313165133303
